,parent,file,context
0,s1,0005_0005,"denne dagh licka som Edhsworne borgare giordt, och dher Stadhen under dagen Contribution på lägges, betahla, Inhysesmänen intet, uthan taga flych- ten uthur Stadhen; Nu Alldenstundh mera bem:te Inhys- män i"
1,s1,0006_0006,"aff Joseph Jacobson haf:r att sökia beståndhe till 6 mk Kopp.r för all giälld, affsadhes Joseph att betahla, och sökie bäst han gitter Simon Mä- tain, som medh honom druckit och oärtt borgat, och skall"
2,s1,0009_0009,"sedhan honom igenom eet häste kiöp ähr wordhen skylldigh 30 D:r Kopp m:tt, och sedhan något dher på betahlt. men resten skall ännu wara 22 D:r 8 öre Kopp, badh för- dhen skull Pullkin honom till sin betahln"
3,s1,0009_0009," betahlt. men resten skall ännu wara 22 D:r 8 öre Kopp, badh för- dhen skull Pullkin honom till sin betahlningh skulle hielpas då Kokainen begynte inspråk fatta och Disputerade 5 D:r Kopp: hwilka han förmen"
4,s1,0009_0009,"nar hans brodher skall Pullkin tillstält, dhet Pullkin förwägrar, och ständigdt bedher han till sin betahl- ningh kundhe förhielpas, Emedhan han nu så länge bidat Och denne Kokainen nu här igenom Stadhen ti"
5,s1,0009_0009,"dhen till Wijborgh medh waror reesefärdigh ähr, swaradhe Kockain sigh i gåår bu- dit ½ tunna Rågh i betahlningh, då sadhe Pullkin att när iagh i gåår gick och tänckte sökia Arrest oppå hans häst och waror, "
6,s1,0009_0009,"it,  ty dömdes Kockain effter han skulden siölff tillståår, Matz Pulkin desse 22 D:r 8 öre Kopp att betahla, och dher han dhem nu strax ehrläggia kundhe, då skaffr borgan el:r Blifwe siölf:r  borgan. Sedhan"
7,s1,0009_0009,"in benämdh, hwilken Caverade för honom till Kockains åtherkompst ifrån Wijborgh el:r siölf:r då att betahla, dätta bleff effter Pulkins begiä- ran fördt i Protocollet. 6 Anno 1673 den 14 Decemb: höltz Ordin"
8,s1,0009_0009,"han dit kommit och eij till någon annan ända, och som Ikoin Erikain nå- get hårdt tilltahlt för sin betahlningh, haf:r Carpralen kommit Erikin tillhielp och swar, dherföre dhem Emel- lan een twist opwuxit, "
9,s1,0010_0010,"wargar- ne wedh stranden opätin, Ty begiärer Mattikain att Tarta- rena skulle på läggias hästen att betahla, effter dhe hans stall innehafft, och hon dhen fremmande hästen intet kun- dhe dher infåå sättia. "
