,file,context
0,0016_0016,"t honom frågadhe, hwarföre han eij wedh hännes Sahl:gh Mans lijfstijdh ansöckningh giordhe om samma Giäldh, beropandhes sigh på Råd- männen och samptellige Borgarskapet som någon tillförende hördt, att han "
1,0018_0018,"ckenhagen uthi fördätta Borgarens Sahl. Jöran Meijers Enkia, hustru Anna Tumählen benämdh, om någon Giäldh, som hännes Sahl:r Man ähr honom skylldigh blifwen, hwar oppå han redan uthi förige Borgmästarens t"
2,0024_0024,"erat, men Kyro säger sigh intet minnas kunna, uthan å Nyio fordrar och förledhen Sommars för bem:te Giäldh låtit hans häst för i Skadhan hoos Rådman Pusa för Arestera, hwilken häst denne Lukas Son Thomas An"
3,0035_0035,"tkoin 1676 om sommaren skolle Caverat för een denne Stadz Borgare Jacob Hijri benämdh, oppå hwilken giäldh än wore så mycket obetahlt, förwägrandes han Putkoin nu här för Rätta sigh aldrigh för denne Jacob "
4,0041_0041,"wijss ifrån Nyien (ifrån) Och annorstädhes sigh att förreser, och sedhan medh inkomma skulle om sin Giäld, som han förrebär, sigh han tijdh förige hustrun dödde, till En och annan skylldigh warit, men som "
5,0042_0042,ent: Emedhan som Påhl Ryttken sig eij förskaffat dhe skiähl och Attester hoos sin Creditoter om sin Giäldh dhen tijdh han i annat gifftte trädde och sidstledne dhen 1 Decemb: honom här lageligen pålagdt ble
6,0048_0048,"häradzTingh i Poduskawara förrekommit och häradsRätten berättat, det hännes Sahl:gh Man skall någon Giäldh /: som bägge brö- derne wedh det dhe lefde och än tillsammans wore :/ uthi landet hoos bönderne uth"
7,0049_0049,"dh dese så länge töfwat, att komma till sin betahlningh, hälst effter han nu 3:die reesan för samma Giäldh hit giör, gif- wandes Ryttken alt skuldh der till som undanflycht och insprådk medh betahl- ningen "
8,0068_0069,"gian emoth Stadhen och Kyrckian ähr belägin, och förrige Köpaman i Wijborg Henrich Köning tagit för giäldh aff Ja- kop Jacobsson Jordhan, hwilken bodh till 12 D:r wär- derat bleff att dhen som behagar den k"
9,0070_0071,"en här på Rådstugun Jöran Siffwo der om tilltahlt sidsstledhen den 18 Augustij och begiärdt han sin giäldh bettahla skulle, men Jöran igenom ett honom otilldömbt arff söker komma Ryttken att bettala denne s"
