,parent,file,context
0,s1,0007_0007,"t intet förordh war, uthan han Cappe- tahlss och 5 öre kopp för Cappan Rågen såldt, dhet Taskin och tillståår, men sadhe Taskin, på dhet snarare kundhe mätit blifwa, måtte han medh Nällikan, seijandes sigh"
1,s1,0009_0009,"cticera sin häst och släda bårt och sielf qwarblifwit,  ty dömdes Kockain effter han skulden siölff tillståår, Matz Pulkin desse 22 D:r 8 öre Kopp att betahla, och dher han dhem nu strax ehrläggia kundhe, då"
2,s1,0011_0011," fyllest giöra, och wari Röppoin för denne beskylldningh befriadher. Emedan Staphan Mattikain sielf tillstår sigh skylldigh wara till Lucka Lars Enckia i Otzisby 18 D:r Kopp, ty affsadhes han dhem och att be"
3,s1,0014_0014,"ll honom och i Räckningen gådt giöra licka som dhe 4 D:r i halförar och een 6 D:rs Plåth Ondri siöf tillståår sigh bekommit, men dhe resterande 2 D:r 28 öre Kopp:r som ännu oppå Obligation åtherståår, dömdes"
4,s1,0021_0021,":r Plått bekommo dhe igen dhem dhe under sniön giömdt, och sedan dhen igen bekommit dhet och Coroll tillståår, war och på Båthen fåhrskin, harskin och Grååwärk i een Carp som dhe till landz bekommo, men wist"
5,s1,0022_0022,"ck, då Eskill, det han än igen oskurit hadhe /: och på Bordet lågh :/ bårttagit, och strax gådt hit tillstadhen, frågades altså Eskell, hwarföre han dätta, som redan Juhledagen passerat ähr, icke tilförandhe"
6,s1,0023_0023,"ltså dhen nu intet försällia, men kiöpet wore wist. Sent: Alldenstundh Jacob Afwin icke nekar uthan tillståår sigh godh- willeligen och fulkombligen een kölder aff Martino Canutij för 35 D:r Kopp:r m:tt kiöp"
7,s1,0025_0025,"gh som Peter Ollikain skylldigh ähr till Anders Tuckoin dömdes han att betahla, Emedhan han skulden tillståår, och böthe Ollikain sine 3 mk:r för olydno, effter han intet Comparerat då Stadztienaren honom 2:"
8,s1,0025_0025," då Stadztienaren honom 2:ne reesor Citerat, dhet och Ryttaren Isack, Jambi säger sigh hördt hafwa. Tillstår och Peter Ollikain sigh wara skylldigh till Jöran Räppoin 1 D:r 18 öre Kopp:r, till Matz Junin 1 D"
9,s1,0026_0026," ächta willia. Sent: Alldenstundh Påhl Somalain siölf sit Lägersmåhl medh Ocafei Re- wansdåter Puio tillståår, och ingalunda hänne ächta will, ty fäl- les han till sine 40 mk:r Sölf:r myndt, och uthståå kyrk"
10,s1,0027_0027,"n aff oförståndh dätta giordt, ty opskötz denne saak till annan Rådstudagh. Aldenstundh Ondri Carol tillståår sin skuldh Nembl:gh 4 D:r Koppar  till Capitain Manhafftigh Lars Örn, och Capitens Mågh Mons:r Ch"
11,s1,0028_0028,"ij Påhl Warroin. Anders Taskin. Johan Mutka Dhe resterande 9½ D:r Kopp:r som Staphan Matikain siölf tillståår sigh skulldigh wa- ra till Jöran Räppo på eet hästekiöp, dömdes och Matikain att betahla, dåch Em"
12,s1,0028_0028,"et opståå och bedia, att hon som een owetugh qwinsperson måtte förskondt blifwa, så hafwe och ingen tillståndh wedh sam- ma böthers wijthe hon om Sokrans oppå något rum el:r ställe här om att förkasta. 25 An"
