,file,context
0,0041_0041,"a. Martinus Canutij Påhl Warroin. Johan Mutka. Företrädde Bertill Påhlson Ryttken och badh att hans fadher skulle tillhållas Hans medh 3:ne sine (söners) Syskons Möderne att afwitra, och sigh från läg- gia "
1,0047_0047,"tkoim uthi Edstadh bekänna effter dhe och dhen gångh der i stufwon warit, der effter och Heinrichs  fadher Anders Taskin inkommit och sin Son ifrån Bärtill skildt, Turi- kain tillspordes till hwadh ända han"
2,0048_0048,"ordt någon tiuffnadt aff sine Cammeraters slächt och anförwanther, uthan aff Christer Sijllfwenoins fadher haf:r offta Tiufwa rijchtet hördt blifwit, jämwähl säger hon och att denne Christer dhen affton eij"
3,0048_0048,"och Henrich Mustapää medh Nikolaus och Matz Heinen, dåch seija dhe att (ändoch) ehuruwähl Christers fadher hafft illakt rychte och efftertahl oppå sig, så ähr dåch aldrigh någon odygdh blifwit aff Sonnen hä"
4,0048_0048," denne beskylldnadt effter dhe alle af wackre och behållne föräldrar wore, Men Christer Silfwenoins fadher gaff han släth beröm, menthe sigh eij häller Sonnen stoort troo kunna kundhe dåch intet på något sä"
5,0049_0049,"ledia och swäria aldrigh någon stöldh brukat förr, mindre nu aff dese penningar wiste, och fast des fädher änteligen under Rupturs tijdhen förre- kastas något illa giordt, så war han då Ett barn hwilken til"
6,0049_0049,"llan då han uthgådt kunnat sin pungh medh penningar bårtappa, och ändåch denne Christer Silfwenoins fadher be- skyllas, det handtwärk förr brukat, så ähr dåch Sonnen intet der medh be- träffat, derföre han "
7,0060_0061,n sommars oppå lådjan (då alle desse till Stockholm uthi sällskap reest) hördt hafwa tahlas om hans fadher uthaff een bondhe ifrån Räntmästaren Sahl. Wälborne Cronbergz Godz och Miglis by Michiel Jeremieson
8,0062_0063, Samuel Jambj (hwilken effter dennas bortt  reesa hith till orthen der qwar blifwit medh sin Sahl.  Fadher uthi Boolag) alt behållit hwad effter blifwit då  fadhren bort dödde. Ty befinner Rätten icke skiäl
9,0062_0063,"skapet Isak Jambi eij allenast medh sin Edh ehrhölt sigh inttet niutit ell:r Erfft effter sin Sahl. Fadher uthi Saffwolax och Randa sallmi Sochen, uthan och fram hadhe een Bohl. fast bon- de ifrån bem:te So"
10,0062_0063," aff Rådman Johan Mutka pra- tenderar för Styrmans löhn (för dett han redan 1675  då denne Ryttkens fadher een Lådja medh Mutka  till hopa hafft, hwilken Bertill till Stockholm Styrde) wedkommer, så blefwe "
11,0069_0070,"ätten ähnu intet der uthinnan resolvera, Eme- dan hoon inga wittnen producera kan, om hennes Sahl:e Fadher medh sigh något i boo fördt, då han förr rupturs tijdhen trädde uthi giffte medh denne Rytkens Modh"
12,0071_0072,"70 Om dett Arff som Olof Afwinen aff sin fadher Ja- cob Afwin söker skall resolverat blifwa, Enähr man informerat blifwer uthaff Prästen i Kexholm "
13,0074_0075," åkrar som nu Pukerj besittier, såssom och will dhe medh Edh bekräffta sandt wara, att dheras Sahl. Fadher ymsom detta ängstycke medh Oloff Ollikain som före på Mårthens innehaföremdhe ländher bed  brukat, "
14,0074_0075,"lkänna will, enskyldt H:r Mårthen till kommer och under dess ländher lydher, effter desse och deras fadher aldrig detta arbetat. Ähn tilltahlte och frågadhe H:r Mårthen Jöran Räppoin  medh hwems förlåff han"
15,0076_0077,"Swijnet betahlt, som Staphan Laitinen ifrån Suistamo by betahlningh för- söker, och Laitans Sahl:ge Fadher hoos Pamphillia inlagdt uthi förwarningh, och Pamphillia förebähr derföre 3 D:r till des fadher bet"
16,0076_0077,":ge Fadher hoos Pamphillia inlagdt uthi förwarningh, och Pamphillia förebähr derföre 3 D:r till des fadher betahlt, altså dömdes  Klimpo berördhe 3 D:r nu till Laitonen att gifwa.  Ryska"
17,0077_0078,"adhen nu bekänna att han Heinrich Condrat ähr uthi denne  Sordawalla stadh födder, och hans Sahl:ge fadher fordom warit Borgme- stare här i stadhen, nu mehra hoos Gudh Sahl:ge H:r Johan Brantz,  sampt Modhr"
18,0092_0093,"ij kunnat mindre denne Rättz Egenteliga uthslagh komma till rätta eller någon Liqui- dation med sin Fadher Jacob Afwinen, angående dess möderne han medh 3:ne sine Systrar söker, Eme- dan fadren för 2:ne åhr"
19,0097_0098,"t) någon Tiära sielf och af egen me- dell förleden Wintras kiöpt, der till bådhe denne Trifihz egen fadher som och alla andre bekende Eij skedt wara. Dhe 8 Cappor Salt och 12 /: Koppar som Hinrich Kåistin t"
20,0099_0100,"era- ter och denne Taskin för 2:ne åhr sedan, då dhe i ett säll- skap medh Mackoin på denne Taskins fadher Anders Låidia till Nyen reest, ähr deras Tiära een deel uth rummen på Skuthebåtten, den alt effter "
