,parent,file,context
0,s1,0005_0005,"lution, sigh medh 12 manna Edh befrijat, Och begiärte att een Inhysesmans här i Sta Petter Simbains hustru Marta Turuin skulle straffa 2 för dhet hon hon honom kallat till Megisallon Surma, Emedhan dhe druc"
1,s1,0005_0005,"chi- ta frågat, hwilken dhet wore, hon då swarat Rytta- ren Jacobi; Men som Peter Simbain el:r hans hustru intet tillstädhes ähre, och dåch lickwähl stämbde, ty op- kötz saaken, och Simbains hustru fälltes "
2,s1,0005_0005,"l:r hans hustru intet tillstädhes ähre, och dåch lickwähl stämbde, ty op- kötz saaken, och Simbains hustru fälltes till sine 3 mk:r effter dhet 8 Capp: Rådstu B: och Jacobi Pålades bondhen ifrån Ryttis Hend"
3,s1,0012_0012,ppå denne församblingz Kyrkioherdes fordom dhen wällärdhe Dom: Nicolaij Rönbergz effterlåtne Enkias hustru Chirstin Ståhl- mans wägnar tillsporde denne Stadz samptelige Borgarskap om Sahl Kyrkioherdens i si
4,s1,0013_0013,"at  färdigh giöra, effter han så offta tillförendhe dher till för mandt ähr. Borgarens Johan Mutkas hustru, Engebår Thomasdåtter be- Treredhe"
5,s1,0014_0014,"*) förige swärandhe sigh uthöf:r Påhl Ikoins hustru härsammastä Brita An- ders dåtter benämdh, hwilken skall hänne kallat till Caplan  herr Johan Pulsk"
6,s1,0014_0014,"Johans  swijn slachtadt och opätit, haf:r hon swaradt att dhet stodh  intet att förundra, ty Mutkas hustru och tillförendhe, då hans tiente, skall någre Ducater stullit, och än mehra att hon in- tet alt för"
7,s1,0014_0014,"dätta kahlat haf:r. Sent: Alldenstundh Brita Andersdåtter här sielf bekänner dhet hon  Johan Mutkas hustru Engebor Thomasdåtter om h:r Johans swijns bårtstiällandhe förlijkat, sampt och medh håffwens förige"
8,s1,0014_0014,"ar bewijsa kan, ty fältes hon till sine 60 mk:r Sölf:r m:t, effter det 30 Cap: Rådstu B: och Mutkas hustru ehrkännes all- deeles frij ifrån Alla desse beskyllningar. Men hwadh Brita Andersdåtter uthi förstu"
9,s1,0014_0014,"änne bedher. Hwadh Ondri Carols. tilltahlan kan wara Emodt Borgmästaren Sahl:r Johan Berentz Enckia hustru Elisabeth Holmbäk, angående skulld fördran, opskiötz till annan Rådstudagh, Emedhan hon om Dilation"
10,s1,0015_0015,"ät Swijn han hooß Johan Mutka slachtadhe, Emedhan honom eet sådant bårtkommit war, och denne Ikoins hustru honom sagdt dhet hän- nes man hoos Mutka hans Swijn slachtat, der Emoot förre- trädde Mutka och bad"
11,s1,0015_0015,"o- tocollet skulle införas, mindre till tronde tagas, ty han honom all- deles jäfwar, effter Ikoins hustru senaste Rådstudagh för denne be- skyllningh till hans hustru, saakfältes för obewisligit tilltallan"
12,s1,0015_0015,"honom all- deles jäfwar, effter Ikoins hustru senaste Rådstudagh för denne be- skyllningh till hans hustru, saakfältes för obewisligit tilltallandhe men sade Mutka att dher Caplan under bewittnen producera "
13,s1,0015_0015,"er Domare Reglan. Ondri Caroll ifrån Olenitz inladhe emoot Sahl:gh Borgmästaren Johan Berentz Enkia hustru Elisabeth Holmbäck een Räckningh oppå 81 D:r 11 öre Kopp:r m:tt, sampt hännes Sahl:gh mans ob- liga"
14,s1,0018_0018,"emedhan skullden redhan någre åhr bårt åth inne hoos Sahl:gh  Borgmästaren stådt, hwar till Enckian hustru Elisabeth Hålmbäck swarade sigh nu omögeligen kunna Blankenhagens Räckningh beswara, för än hon någ"
15,s1,0018_0018," Clarerat. Sammaledhes klagade h:r Blanckenhagen uthi fördätta Borgarens Sahl. Jöran Meijers Enkia, hustru Anna Tumählen benämdh, om någon Giäldh, som hännes Sahl:r Man ähr honom skylldigh blifwen, hwar opp"
16,s1,0022_0022,"rgifwa wille för Rätta kom herr Henrich Sundius, och oppå Sahl: Kyrkioher- dens Enckias, dygdesamme hustru Chirstin Ståhlmans begiäran föredrogh Rätten, huru Enckian skall wara förrekommit att een Inhysesma"
17,s1,0023_0023,"uthaf Ifwan Puckello, emedhan han redan förledhen Sommars då Pukello i Stockholm wår, till Pukellos hustru ländt een tun- na Rågh, och 3 3/4 D:r Kopp:r, då tillstodh Pukello, och badh det Tasckin hans fatti"
