,file,context
0,0028_0028,"h aff een Gamal Ährligh hustru här i Staden Helena Rautia benämdh hafwa hördt, det hon medh Klimpos Modher här om tahlat haf:r Klimpos Modher sagdt det Enkian skall fåå strumporne, men korn äga wij intet, d"
1,0028_0028,"i Staden Helena Rautia benämdh hafwa hördt, det hon medh Klimpos Modher här om tahlat haf:r Klimpos Modher sagdt det Enkian skall fåå strumporne, men korn äga wij intet, doch will hon hafwa Rågh skall hon o"
2,0041_0041,"h sin Räkningh inkomma skulle om sin ägendom i Contant och löösöhren, hwadh effter blifwit då deras Modher dogh och Han i annat Giffte medh denne sin hustru, H: Sijsia Mårthens dåtter trädde, som redan A:o "
3,0069_0070,"dher medh sigh något i boo fördt, då han förr rupturs tijdhen trädde uthi giffte medh denne Rytkens Modher, der till medh seijer Ryttken att då Ryssen i Landet inföll, hafwer all förälldrarnes ägendom blifw"
4,0071_0072, honom och hans Käresta olydheliga wijsor till gehörs; Badh altså dett Rätten wille till deras Matt modher sändha och Ty
5,0073_0074,"h wedh påfordran lofwadhe medh Edh bekräffta willia sigh hooss warit och anhördt, då Mäckelläin sin Modher aff sin Dragun löhn tillsagdt een ta Rågh, 1  Tunna Korn och 1 llb humbla att bekomma, uthaf gården"
6,0082_0083,"den tijdh han der tienthe, så haf:r det Mårthen allena  intet till godo kommit, Emedhan des Sahl:ge Modher och 3:ne des andre brödher  medh i bolagh warit, uthom det så hafwer och altijdh Johan hemman ifrån"
7,0098_0099,"ändt till denne Margaretha igenom dess egen flicka, doch alt med förtäckte ordh, och sagdt, säg tin Moder att hwadh hon om migh tahlat, må hon alt sticka i sin egen barm, säger denne Margaretha sigh intet "
8,0100_0101,"rdera effter den luth dhe Erfft, så fadern effter sin förige hu- strun som Sonen effter sin Sahl:ge Modher. Företog"
9,0126_0127," affton hadhe Tråssi sigh litet förrekommit gådt till Halloins Porth och begiärat inkomma, Halloins Modher säger honom hafft En bahr knif i handen, hade doch intet wittne, Stadztienaren säger sigh honom sed"
10,0157_0158,"n flere wittnen hafwa om dhe Skälssordh Daniels hustru föresändt igenom Hurris piga till dess Maath Modher, dhe eij till städes ähre, Ty opskötz saaken till annan Rådh- stufwodagh. Rådmannen Jacob Thomasson"
11,0183_0184,"ill swaradhe Petter Låikas med sin hustrun att hoon samma kårs som Pukari wed käns Erfft Effter sin Modher, Men dett 3:die dess Sohn funnit, der hemma på åckeren, hwilket och Pulkare säger sig fremmandt war"
12,0184_0185,"teligh frågades Broderen Påhl om han igen känna kunde dhe kårs som han säger sin Syster effter dess Modher Erfft, grep altså till ett af dhe strij- dige, Men dett andra han togh, ward af dhe fremmandhe kårs"
13,0184_0185," Fedotza Carpasdotter benemd, som sadhe sig jäm- wähl igen kiänna ett kårs som Pukaris hustrus Moor Modher hafft, aldenstund han i den gården födder ähr som kårset uth kommit; denna Fedotza tog icke mindre "
14,0184_0185,"traxt till grep dett andra kårsset, säjandes detta ähr dett kårset, som Pukaris hustru aff sin Moor Modher fick, hwar oppå bägge hustrurne dhe optagne kårssen kyste, och således swore, att Puckari dessa kår"
15,0200_0201,"e och deelning emedan bem:te Saf- fan Climpo och hans Swåger ryska Diacken Ifwan Kounon eftter hans moder Irina Rådifwans dotter. Staf- fan Climpo säger sigh dem der till hwarken begiärt, eller låfuo att d"
16,0273_0274,"- poser, och diachan Ifwan Conous hu: deras Syster, Ogulina Jörans d:r, an- gående arf effter deras moder; hwar- före såsom bem:te Diach Ifwan Co- nou befinnes hafwa på sin deel  till dem för deras omaak g"
17,0305_0306,"ra sigh till An- ders Ringins gårdz, dernest han fattat Hämäläin i håret, kommandes sedan Hämäläins Moder Helga honom tillhielp, att skilllia dem åth, hwarpå An- ders Tuchkonen kommit drengen Mickel till h"
18,0325_0326,"an warit, skulle Tuhkoises E:a tilltahlt henne medh desse orden; hwadh will du här din Pijga hooras Modher, då Suomalaises E:a henne ombidit, hon intet skulle öfwerfalla henne, men hon opstijgit ifrån Borde"
19,0332_0333,"ör den goda giorda effter begiäran, anstalten, utj arfskifftande d. 10 Huij. emellan honom och hans Modher, effter hon wore sinnat uthi ett annat giffte att träda; Beklagandes sigh här jempte där öfwer att "
20,0343_0344,"nte sigh intet mehr wara honom skyldigh; Uthi denne Saken kunde Rätten intet giöra, för än Parphois Modher effter hellgen framkommer, och öppenbarar all sin egendom hon hafft, då hon i gifftermåhl un- gefäh"
21,0346_0347,"ckel och Tygz försälliande af Eskell Råiha 28. Anders Andersson Tuchkuin om Arffskifttande medh sin Modher H:o Brijta Oloffzdotter 40, 40, 46. Anders Tuchkuins fordran af Simon Hurri för een giordh Reesa ti"
