,parent,file,context
0,s1,0020_0020,"l Thomson framträdde och ittererade sin klagan emot Eskell Heiskain een Inhysesman ifrån Ylläuxby i Suistama  pogost, Angåndhe landzkiöp, Hwar om tillförande Nästförleden den 23 Januarij här på Rådstufun Rans"
1,s1,0044_0044,"tell sampt Rådmännen Jöran Pusa. Martinus Canutij. Påhl Warroin. Johan Mutka. Håfwat Romanoff ifrån Suistamo, pogost stegh fram, och tillkänna gaff huru han medh borgaren Påhl Ryttken Nyåhrs Mårgon bitida wed"
2,s1,0076_0077,"Klimpo intet och ehrhålla kan medh sin Edh, att han det Swijnet betahlt, som Staphan Laitinen ifrån Suistamo by betahlningh för- söker, och Laitans Sahl:ge Fadher hoos Pamphillia inlagdt uthi förwarningh, och"
3,s1,0079_0080,ännu En deel hoos honom ähre inseqvestro. Hwadh Sahl:gh Erich Hyrkis Enckias ifrån Kerisörie by och Suistamo Pågost Elin  Oloffzdåtter Kasuratz fordran om 80 D:r Koppar af Sahl:gh Anders Mätäins  Enkia Ingred
4,s1,0083_0084,"r tillsammans Boolagh hölthe. Der jämpte dömdes Johan Poutia att betahla till Heinrich Tuckain från Suistamo Pågost och Allanuxoby 36 D:r koppar Myndt, för 8 tunnor Tiära  han denne Sommaren á 4 ½ D:r tagit, "
5,s1,0116_0117,"Lars Kaipons huuss hehl tyst och allom grannen o- witterligit skall begångit wara på een bonde uthi Suistamo Pågost och Koitonselkaby Peter Asikain benämbdt, och een Inhysare i Kaipons gård Johan Radicka, hwi"
6,s1,0129_0130,"inus Canutij, Påhl Warroin, Johan Mutka, Jacob Thomsson, Jöran Wallius, Förekom Olof Assikain ifrån Suistamo Pågost och Koithonsälkäby och gaf klageligen tillkänna huru som hans Broder Pether Assikain sidst l"
7,s1,0147_0148,"dh Dobbin Clarera eller samma 6 D:r Taifwain igen restituera. Fältes Petter Ifwarsson Julguin ifrån Suistama Pågost och Ulmolaby till sine 3 m:kr sampt sin Rätt för- giordt, effter dett 9 Cap: Rådstufwo Ballk"
8,s1,0151_0152,"a, dömbdes han och att betahla. Wedh dätta tillfälle förestälte sigh Oloff Andersson Hirfwoin ifrån Suistamo Pågost och Huntilaby, och tilltahlte Rådmannen Jöran Wallius för det att han hans lådia (som förled"
9,s1,0151_0152,"m dhe 7 D:r Kopp:r han för Fracht låfwat, skulle lådian hämpta ifrån Nyen till Hirwoins heemwijst i Suistamo, då och Sordawalla den tijdh der i hampnen anlände Borgaren Hinrich Kåistin, sampt bönderne Petter "
10,s1,0160_0161,"us till sine 3 mk:r effter det 7. Cap: Rådstufwo Balken, för swars lösen emoth Christer Naati ifrån Suistamo Pågost och Piörittäiäby effter Rådman Martinus Canuti säger sigh honom Stämma låttit, att swara til"
11,s1,0169_0170,s ordh Emodt förrige ampt- mans Måns Heinriczson till 3 mk:r 16 16 16 Pether Ifwarson Julguin ifrån Suistamo Pågost och Ilmolaby för sin kärors åtherwändande Emodt Anders Taskin till sine 3 mk:r 8 8 8 Signeur
12,s1,0169_0170,t Kyrkioherden herr Mårthen Thoranium 8 8 8 Jören Wallius för swars lösen Emodt Christer Naati från Suistamo Pågost till 3 mk:r 8 8 8 Anders Nefwoin ifrån Ojallarandaby för Böön- dagzförbrytande till sine 40 
13,s1,0275_0276,"l bem:te Anders Wares allhelgonetijdh, att dhe nu Uth medio Martij i hans frånwaro till Imbilax och Suistama, sin giäld der att opkräfia, haa om nattetijdh stu- lit af honom 15 knippor kiöt, och lijtet tillfö"
14,s1,0360-83,"ordh: / 77 Nu såssom desse på både sijdor anhålla om dilation  till des at Ulasia Prokonpoika ifrån Suistama S:n  som warit ifrån sielf:a  begynnelsen och sedt på dheras  träta och slagzmåhl, skaffas för Rätt"
15,s1,0390_0390,"- W 388. 77 Nu såssom desse på både sijdor anhålla om dilation till des at Blasia Prokonpoika ifrån Suistama S:r som warit ifrån sielf:e begynnelsen och sedt på dheras wäta och slagzmåhl, skaffes för Rätta, d"
16,s1,0399-423," [1]691 effter  begge parters begiäran medelst det opskuten bleeff,  att Ulassia Prokonpoicka ifrån Suistama S:n skulle  för Rätta skaffas till ett witne: Men såssom Snic- karin föregeer denne Ulassia icke he"
17,s1,0436_0436,"ltijdh ree- sande Persohn, så sin handel som utj sitt Giutar handt- wärck, doch een Boofast bonde i Suistamaby och Pågost ähr :/ icke altijdh kan skaffas för Rätta, och denne Saak alre- do länge nogh igenom h"
18,s1,0455_0455,ta förehöltes Cuisma som wähl bekände sigh i denne Som- mar medh 2:ne andre Ryssar och Bröder ifrån Suistamaby och Pogost Hilivana och Hodar Rymas söner fiskiat effter Parlor i Åån som ligger under Tuoxlaxby 
19,s1,0464_0464, remitterat. Såsom Rådman Johan Mutkas drengh Michel Terfwoin  under reesan i förledne wintras till Suistama låtit igenom  sin wårdzlöös- och oachtsamheet bårtstiäla 2½ mk:r Toback; dy dömbdes han Terfwoin at
20,s3,0034_0035, käran. Emedan Borgaren Michel Turuin tillstår sigh wara  skyldigh Ryssen ifrån Sojerfwi Pogost och Suistama  Sochn Iwan Avasika Contant 33 D:r K:mt och 2 t:r skarp- sädh till uthsäde flytande aff försträckt 
