,parent,file,context
0,s1,0018_0018,"rdinarie Rådstudagh närwarandhe Rådmännen Jöran Pusa, Martinus Canutij. Påhl Warroin Ifwan Pukello. Handelsman ifrån Nyienshant Wäll:tt Heinrich Blankenhagen förre- kom och inlade een Räckningh beståndhe summan"
1,s1,0026_0026,"h hafwa fogh honom till gamal hundh kalla, Emedhan Pukello för 14 dagar sedan hoos denne Taskin aff handelsman ifrån Nyienshantz H:r Heinrich Blanckenhagen för gamal hundh skällm och Narr kallader bleff, framha"
2,s1,0029_0029,"Edhswerne borgare. Jöran Pusa. Martinus Canutij Påhl Warroin. Jacob Thomson. Jöran Wallius. Förekom handelsman ifrån Nyienschantz S:r Heinrich Blanken- hagen, och ittererade sin klagan som förleden den 14 janua"
3,s1,0035_0035,sändhe warror igenom Oloff Pullkin och Johan Sijlfwoin bekommit :/ för Arrestera 20 D:r Koppar hoos Handelsman H:r Peter Schlyter wedh det förregifwandhe som berördhe Putkoin 1676 om sommaren skolle Caverat för
4,s1,0078_0079,"irf- woin häller Pölloin mindre någen omtahla penningar hoos sigh hafwa, för än dhe till Nyien hoos handelsman H:r Condrat Siliakus kommit, hwarest hans wåtsäck jämpte någre andras ifrån Kärisörieby saaker uthi"
5,s1,0079_0080,lldigh af Egen medell  honom förnöia och söcke sedan sin man han förre Caverat. Vthi Rätten inladhe handelsman i Nyien H:r Hans Pölkins Köpswän Berendh  Håffner En Räckningh Emodt fordom Borgaren här i stadhen 
6,s1,0082_0083," gifwit  tillbakas 6 D:r, och på des wägnar betahlt till Anders Tuckoin 3 D:r, Men  der Emodt haf:r Handelsman H:r Hans Pölkin (medh hwilken Mårthen hand- lat inbehållit af des till Pölkin sålde Smör och Tiära "
7,s1,0084_0085,"skiähl ärh, ty dömdes han dhe 1 D:r 24/öre att betahla. Så frampt Oloff Pullkin intet bewijsar medh handelsman i Nyien H. Heinrich  Cuurs Attest att han igenom Thomas Turikain denne höst haf:r betahlt  dhe 2:ne"
8,s1,0106_0107," Närwarande Rådmannen. Martinus Canutij, Påhl Warroin, Johan Mutka, Jacob Thomasson, Jöran Wallius. Handelsman i Nyen H: Hans Pöllkins kiöp swän Berendt Höffnär begiärte hans huussbonde måtte förhielpas till si"
9,s1,0134_0135,"tteborgh på grundh låp, och Pullkin lådian der ifrån af halp sampt sedan till Nyen styrde. Företogz Handelsmannens i Nyen H:r Didrich Bloms Rächningar, dhem Mons: Bruun Olofsson warande Blomens fullmächtigh uth"
10,s1,0136_0137,"en Martinus Canutij. Påhl Warroin. Johan Mutka, Jacob Thomesson, Joran Wallius. Inladhe uthi Rätten Handelsman från Nyen H:r Petter Schlyters Köp- swän Mårthen Grään En specification på någre Borgare här i Stad"
11,s1,0138_0139,"ndre än dhee 24 D:r Cronones Peningar som Borgmästare Johan Mether honom ländt, sampt 26 D:r Koppar Handelsman i Nyien H:r Petter Schlyter rättmätigen effter sidst hållen och den 23 huius här på Rådstufwon oprä"
12,s1,0142_0143," Johan Mutka, Jacob Thomasson Jöran Wallius Kyrkioheerden Wähllärde herr Mårthen Thora- nius, angaf handelsman ifrån Nyen Mons: Christian 141. Christian Sahlo att han skohlle i afftons på håfwet medh Någre förs"
13,s1,0182_0183," saaker tillstodh, och Enkian effter des Sahl: Man blifwit behållen, föruthan een halfft lådia, som handelsman i Nyen H:r Petter Schlyter för giäld tagit, ett Rödt Stodh, som Kyrckioheerden för Lijkstohl och Pr"
14,s1,0297_0298, á 30 D:r KM:tt som Borgaren Staphan Lödiöin för honom i Nyen d. 2 October sist ledit åhr 1688 till handelsmannen H:r Hans Polck måst Effter ågången Caution betahla; dy afsades det han samma 30 D:r till honom b
15,s1,0317_0318,"ti, Påhl Waronen, Jöran Wallius, Thomas Immoin, Thomas Hulckoin, begge Borgare. Samma gångh förekom Handelsman ifrån Nyen H:r Johan Kröger, inlade utj Rätten Een Rächningh emoot Tarasia Pukari, bestående uti 28"
