,file,context
0,0017_0017," hans prasumption eij kan fyllest giöra, det Thomas aff borttagen Johan Kijskim någre Allner grofft lerfft skall emoot Tillförs stycken kiöpt, som och een Bysa aff Michel Pullika i Airandeby /:hwil- ka Tålf"
1,0018_0018,"Timmer och 27 stycken Grååwärk, 2½ mk:r Toback, Et litet Biörenskin, 113 alnar medell måttigdt Rysk lerfft, 2:ne stycken förgifft, Contant 2:re Rubl:r och 6 denningar Ryskt Myndt, sampt eet Mårdzkin, hwilka"
2,0044_0044," för 22 D:r kopp:r och 1 Timmer Gråå wärk för 5 D:r Dito myndt oppå Credit att betahla Ryttken medh Lerfft och det senast uthi midfasto tijdh hwar hoos och då köpet giordes warit Jacob Jeremieson, såsom och"
3,0079_0080,"äins  Enkia Ingredh Påhlssdåtter Kosman wedhkommer, som redan för 12 åhrs tijdh  giordh ärh, igenom lerfft och Blagarn Sahl:gh Mätäin tagit af Hyrtt och och till Cajanaborgh fördt att sällias, men sedan der"
4,0079_0080,"ännes Man  hoos warit, då han till dhen ända reeste åth Cajanaborgh att penningar af- fordra häller Lerfftet igen, och då samma gångh der död blifwit, hälst som Mätäins  Enkia framlägger Ett Attestatum, som"
5,0079_0080,"n Sahl:ge Mans gömor  finder, af Kyrkioheerden i Sotkamo Soken H:r Erich Cajanus, att Hyrke på sit  Lerfftz afbetahlningh redan der fådt Contant 50 Dr, dhem hans reese Camrat ifrån Kerisörieby Heinrich Hirf"
6,0132_0133,"o giordhe ansökningh till Erich Afwinen om 680 D:r Koppar Myndtz betahlningh, huilket wärde i kött, lerfft och tallgh och fläsk han denne Sommar Klimpo tillhörigh Hafft i Stockholm till at sällias, såssom o"
7,0332_0333,"n blifwit fäst. 4:o Son berättar att Modhren icke allenast i förledne Åhr låtit wäfwa 40 al:r grant lerfft uthan jemb- wähl nu i åhr har hoos Wäfwaren oinlöst för deelningen skull 40 al:r äfwen grant, såsso"
8,0332_0333,"oos Wäfwaren oinlöst för deelningen skull 40 al:r äfwen grant, såssom och på landet 3 wäfwar grofft lerftz, hwar af han."
9,0333_0334,"en, Rätten sände dy effter lijnwäfwaren, Erich An- dersson Reina, att desto bättre ehrfara om detta lerfftetz beskaffenheet, som bekänner sigh wäfwit åth det Sterbhwset i fiohl 40 al:r af wär- de 1 D:r alne"
10,0333_0334,a in emoot 70 st: Skiortor hwar uth af dy Son intet mehr har at förwänta. Men emoot det fiohlgambla lerfftet 40 al:r till dömdes Son af det lerfftet i åhr är wäfwit där emoot igen 40 al:r doch att Modren oc
11,0333_0334,y Son intet mehr har at förwänta. Men emoot det fiohlgambla lerfftet 40 al:r till dömdes Son af det lerfftet i åhr är wäfwit där emoot igen 40 al:r doch att Modren och Son betala halfwa wäfare löhnen hwarde
12,0333_0334,"Son betala halfwa wäfare löhnen hwardera, Wäfwaren tillsades och emoot arbeetzlöhnen tillställa det lerfftet Son och icke Modhren och Son att dehla medh Moor sin öfwerskottet af 40 al:r blifwa skulle. 5:o H"
13,0333_0334,"ar sigh oppå intet fått som sigh boordt, har han intet att förwänta, effter han sin fulla deehl uti lerfftet bekommit. Iblandh detta protesterade Enckian emoot denne åhrs handelen, bestående, sedhan giälden"
14,0339_0340,"ergerat een lööskarl wedh Nampn Lars Pipuin, hwilken stulit uthaf Kyr- kioheerden på bleket 30 al:r lerfft á 1 D:r alnen och 1 dreng Skiorta, Begiärandes det Rätten techtes tillhålla Climpo, effter han den "
