,parent,file,context
0,s1,0007_0007,"app:r hemma medh sigh mät i Säcken, men här man 18 bekommit, slutandhes således Taskins Nelick el:r mått aff 4 Capp:r hwar medh han måtte, stoor warit, klagandhes han Tillikain an för oredt mått, hälst ef"
1,s1,0007_0007,"lick el:r mått aff 4 Capp:r hwar medh han måtte, stoor warit, klagandhes han Tillikain an för oredt mått, hälst effter intet Stadzens Märke oppå Nälikan warit, Taskin swaradhe alldrigh honom bewijsas skal"
2,s1,0008_0008,"a i Säcken mätt och medh hwadh kärill, då förrehöltz Taskin att han orätt giordt i dhet han omärckt mått brukar och att dätta wore straff wärdigit, swaradhe han sigh först dhen Nälick giöra låtit, och med"
3,s1,0008_0008," sigh först dhen Nälick giöra låtit, och medh högt bedyrandhe sadhe sigh aldrigh någen hwarken medh måt el:r wicht tänkt bedraga el:r skada, mindre att han skulle sådant giordt häller föröfwat. Sent: Eme"
4,s1,0189_0190,". till höst, kommit ifrån Ingermanlandh hit till Godzet och Staden begiärandes att henne tillfråges mått hwar ifrån hoon kommer, sampt 2. hwadh för bewijs hoon hafwa kan, ifrån henne, kånan swarar och ber"
5,s1,0211_0212,"- ken Mutka först klagat, begierte att han Mutka för dess obewijsli- ge beskyllningh och angifwande mått afstraffadh blifwa? Mut- ka R:de, att emedan som han lefwer i träta medh honom, som Uthi een slagzm"
6,s1,0213_0214,"ar gardh, hwar öf:r Råd- mannen Martinus Canuti skal, som för  detta, opsickt hafwa och det i lihka måt- to, så frampt dem kiärt ähr, att Undwij- ka dett straff som för dheras mootwil- ligheet kan påföll"
7,s1,0244_0245,"gr Uthgifwit och Underskrif- wit af d 23 Juli förwekne, begiärandes  kyrkioherden Thoranius att det måt- te ransakat blifwa huru hoon den då när dhe bem:te Citaon dijt burit swarat? Då R:de så wähl Skole"
8,s1,0356,"lförende, att hennes Mans 123 D:r K:r M:t som   han Sterbhwset, för dheras sammankombst, försträckt måt-  te blif:a af dhe Penningar som sidsta handeln af sigh kåstat   och uthi Seqvesto satte ähro, beta"
9,s1,0360-83,"i Landet får sigh wittnesbörder skaffa och bewijsa det  aldrigh för om hans beswikande i Wicht el:r Mått wa- rit klagat mindre påbeskyllat, hwilket honom icke för- wägras kunde, hälst och eftter desse åkl"
10,s1,0360-83,an Walllius och Isack Mackoin förordnades  af Rätten at noga efttersee här i Stadhen Borgerskapetz  Mått och Wicht och jembföra dhem medh Sordawala hofz  på det allmogen el:r någon annan icke finge orsak 
11,s1,0394_0394,es Borgare Eedz afläggiande Johan Jöran Mårthensons bewijs om des förehållande här Stadhen gerskapz mått och Wicht Jacob Johan Fol: 4: 5: 7: 21. 26: 28. 32: - - re 41: 42. 43: Johansson komans bewijs om d
12,s1,0421_0421,"un icke aldeles wetat uthaf, helst sielfwa Sum- man af handeln flytande, har han nembl:n Climpo för mått aff fordom Rådman Sahl. Martino Canuthi, uti då Borgmestarens fråmwahro Arrest hoos sig på dhe lius"
13,s1,0423_0423," dy H:r Slåtzfougden låtit fängzla honom, till des han skulle förnöija Brun, hwilcket han icke för- måt giöra, oansedt han under denne wachten månge uthwägar där till söökt, sedan han dy effter med följa"
14,s1,0485_0485,"äst förmantes samptl:e Stadzens Borgerskap, att  dhe låtha forderligast probera och justera dheras  Mått och Wicht hoos Rådman Mårthen Taskin, som  det att giöra anbefalter är af Rätten; Och den som  betr"
15,s1,0485_0485,"  det att giöra anbefalter är af Rätten; Och den som  beträdes här effter att haf:r orätt wicht och Mått,  sedan dhe nu således blifwit tillsagde måge icke  förebära någon owetenheet här uthaf, men hafwe "
16,s3,0017_0018,"ioffs Attester [1]691 in Julio daterade, hwilcka förmäla  att dhe ingen orichtigheet medh wicht och Mått i någon handel  eller elliest af Immoin förspoort då dhe utj många Åh:r medh  honom handlat och dhe"
17,s3,0018_0019,"ch berättelser, att dhe all den tijden honom medh dhem handel hafft, intet Sweek eller Bedyägerij i Mått och Wicht med honom förspoordt, och 8:o Aflade Imoin, deße skiähl föruthan till öfwer- flödh att be"
