,file,context
0,0020_0020,"rfahren- heet kommen ähr, som skall Ifwan Pukello underslef bruka uthi 17 uthi handlandhe i det han Salt uthaf fremmandhe Rysar tager och licka som deras tienare det småningom för billigare prijß än andra"
1,0021_0021," stoop, En Ny lådie- warpa aff hampa, otiärat till 90 famnar, så och 40 fam- nar Bastreep, Men Malt Salt och Rågh, hwadh litet war, bårt kom alldeles, En Harskins fäll bleff på Hållman Något"
2,0039_0039,"nu i någre åhrs tijdh handlat här å orthen och altijdh hoos sin swåger Simson Sinkin  hafft humbla, Salt, Ryske rennar och hanskar att sällias och när han under- stundom hädan till andre orther reest haf:"
3,0048_0048,"as folk stundom medh någre waror hit  kommit och han dhem sådant af köpt, haf:r han strax penningar Salt el:r  andre waror igen gifwit, och lika som andre fremmandhe dhem i hand- len bemödt, Hwilket bleff"
4,0049_0049,"e sin refu- sion aff des effterlämbnat ägendom, det och Rådman Martinus Canutij  äfwen om 3 Nelikor Salt innestår, som han 1676 om hösten till fiskian wedh Janulax fiskerij till fiskens insaltningh Lefrer"
5,0049_0049,"ian wedh Janulax fiskerij till fiskens insaltningh Lefrerat. Hwadh wedhkommer om 4 tunnor 12 Cappor Salt som Johan Mutka, Oloff Afwin  och Matz Juain twistar medh Staphan Klimpo, det dhe seijia sigh till "
6,0049_0049,"twistar medh Staphan Klimpo, det dhe seijia sigh till kårt kommit, då dhe 1676 sendt om hösten sitt Salt i Klimpos lådia inskeppat  bleff altså för skiäligit ehrkändt, att hwardera lydher 1½ Cappa på tunn"
7,0059_0060,"n fohla som kiöpt för 4 weckor sedhan, och nu aff idell Tresko honom med Löije  afspisar, biudandes Saltt och andre waror som eij i kiöpet Nämbt warit, uthj bettahlning, oppehål- landes der igenom denne f"
8,0060_0061,"f Juans egen Mun  fällas, samma Morgon han dagen effter från  fahrkåsten landhstegh, då han om sitt Salt Tahlte,  och befahlt sin Son dett försällja så frampt dhe  någorstädhes skulle infrysa, hwilcket ta"
9,0060_0061,"er han befalt sin Son som på lådjan qwar bleff, att der dhe någorstädhes skole infryssa, skall  han Saltet försällja, hafwandes sigh till wittne Båtz- man Simaka Sinckinen, hwilcken tilbödh sigh Edheligen"
10,0060_0061,"åst in fräst då dhe från Stockholm kommo, denne höst Kiöpt  aff hans Son ett barn aff 13 åhr; 9 T:r Saltt för  15 D:r Tunnan, williandhes han Juainen intett Kiöpet beståå, der till swarar Klimpo sigh will"
11,0067_0068,"garen Mårthen Putkoin warit, angåendhe nå- gre otillbörlige ordh Putkoin låthit falla, för dett han Saltet eij så snart uthur sin skutha tagit och pas- nerene tilldeelt, ophäfwes effter Putkoin sine ordh "
12,0071_0072,"re böndher som till Stadhen medh deras waror ähnar komma opsnappa, dem wa- rorna af kiöpa, och sitt salt till dem försällja, derennest måste desse sittia och sådhant anhöra i Stadhen och int- tet handla f"
13,0076_0077," Rautia Disputerar och föregifwer sigh allenast 3 tunnor låfwat Emodt dhe 8 D:r Koppar och 7 Cappor Salt han samma gångh af Taskin tagit, kundhe dåch sådant intet medh sin Edh bekräffta, ty lath Taskin fa"
14,0076_0077,"kräffta, ty lath Taskin falla sin klagan, allenast han bekommer dhe 3:ne tunnor för penningarne och Saltet Rautia tagit, dhem han och dömdes att betahla. Aldenstundh Pamphillia Klimpo intet och ehrhålla k"
15,0077_0078,"ch utfööre för tunna tagit. Resolverades att Matz Juoin betahlar för sit ifrån Stockholm kommandhe  Salt oppå Staphan Klimpos Lådia fracht 3 D:r 24 /öre der till han sigh för  wägrar, Effter Klimpos lådia"
