,file,context
0,0128_0129,"arn hafft. Hwadh Thomas Kägäräins klagan Emodt Ondruska Ifuanof Kuhnoin wedh- kommer, angåendhe det Talgh som Ondruska 1682 tagit under sin handh att först förtulla för Talgen i Nyien och sedan föra dhem "
1,0128_0129,"in wedh- kommer, angåendhe det Talgh som Ondruska 1682 tagit under sin handh att först förtulla för Talgen i Nyien och sedan föra dhem till Stockholm att sällias, der Emodt Ondruska sigh försedt, och Eij "
2,0128_0129,"chningz eller Kä- karain bekänner, Nu ähr och owist om ickie Ondruska lämbnat jäm- wäll af sin egem talgh otullade, och säledes förorsakadt Confiscation öf- wer fahrkåstens intressenter att komma, ty döme"
3,0128_0129,"iscation öf- wer fahrkåstens intressenter att komma, ty dömes Ondruska att betahla Käckarain 10 Llb Talgz wärde medh 6 D:r för Llb: det som giör 60 D:r Kopp:r, effter heela oredan förmedelst hans försende"
4,0128_0129,lst hans försende tillkommit Äf- wen och dömmes Anders Taskin betahla till Brusius Lämbinen 6 ½ Llb Talgz wärde medh 39 D:r Koppar Effter han medh dhen Emodt Lämbins be- fallningh (hwilken lydt att Taskin
5,0128_0129,"en H:r Jöran Fors Attestatum Daterat den 26 Maij 1683 af Nyiens Licent Cammar uthwijsar, der effter Talgen på En gångh och af En fahr- kåst Conficerat blefuen ähr; Men huadh heela skuthelagetz klagan öf- "
6,0133_0134,"r, för dett Ondre förledit åhr hans sacker som 38 Tunnor Tiära i Nyien, och andre waror beståndhe i Talgh och lärfft för såldt i Stockholm till 200 D:rs wärde, giordhe alltså Ondre och här i Rätten inladh"
7,0157_0158,"era månde, Christer haar der Emodt betahlt som Putkoin tillståår 2:ne Unga Köhr á 6 D:r giör 12 D:r Talgh Contant 10 D:r, 1 Llb: Smör 3 D:r, 1 Llb á 3 D:r 24 /: öre, 4 st:r fååhrskin som Christers Sohn ko"
8,0177_0178,"llsammans leja, der emodt betahla frahtarena 1 D:r 16 /: öre för hwart Skeppund dhe inlasta, kiött, talg, flesk, heller annat, Effter Stockholms wicht; Såsom och för hwarie uprågat Spannmåhls Tunna 1 D:r "
9,0219_0220, öhl                      8 /:	Rester		9 D:r 6 /:   Contant                             3 /: 6 mk:r talgh á 8 / mk:r   1 D:r 16 / 4 C:r rågh á 10 /: C:n      1 D:r 8 /: Contant                            
10,0307_0308,"or betalt, medh 3 th:r och 9 Cap:r Skarpsädh 16 D:r 13 /:, En koo 9 D:r, En T:a tiära 3 D:r, 7 mk:r talgh á 7 /: - 1 D:r 17 /:, Men dhe 23 D:r 23 /: som länge om Disputeras om Disputeras giordhe Peter Luk"
11,0311_0312,", altså bekiände Matikain betahlt först een koo för 8 D:r En T:a Rågh 8 D:r Smör 11 mk:r 2 D:r 2 /: Talgh för 12 /: öre, hafra för 16 /: öre, höö 3 D:r holm 1 D:r, häst hyra till Enikunemij 1 D:r 8 /:öre,"
12,0311_0312,igh 1 D:r 6 /: öre till Matikain dhem han och afsades att betahla. Påhl Warroin brachte före 6 mk:r Talgh som han igåår ährnat Kiöpa uthaf Bengdt Ilonpoika i Koukunemi by och Låf- wat 7 ½ /: öre för marck
13,0311_0312,"onpoika i Koukunemi by och Låf- wat 7 ½ /: öre för marckpundet, men då han begyntte effter see, war Talgen förfalskat, och war beblandadt medh wattn sampt Miölk och måste Ilonpoika det sielf tillståå, att"
14,0311_0312,"elf tillståå, att des hustru wattn lagdt iblandt, då han sielf sinker warit, men effter honom såg 8 Talgen då han den försällia skolle och intet till förändrandet togh bekymber uthan beswijkeligen försåld"
15,0311_0312,tigit godz hwar före fältes han till sijne 40 mk:r effter det 3 Cap: Kiöp måhl: B: Stadzlagen sampt talgen brännes på tårget. Alldenstundh
16,0329_0330,"5 T:r sigh haf:a att fordra effter 12 Cap:r Rågh á 7 D:r T:r giör 37 20 gammal Rächning, det 8 mk:r Talgh á 7 /: öre mk:n 1 24 och Bonden tillstår, Nembl: 80 - 8 mk:r lijn á 12 /: mk:n 3 - 1 häst och 1 Ko"
17,0329_0330,"- hafft hans häst uti 8 weckors tijdh på forder á 16 /: wekan 4 - rester ännu 12 20 xg 97 - xg 97 - Talg: 328 25. Talgen, lijnet och Boosmans löhnen wille Immoin intet bestå, föregifwandes sigh andre wahr"
18,0329_0330,"äst uti 8 weckors tijdh på forder á 16 /: wekan 4 - rester ännu 12 20 xg 97 - xg 97 - Talg: 328 25. Talgen, lijnet och Boosmans löhnen wille Immoin intet bestå, föregifwandes sigh andre wahror där emooth "
