,file,context
0,0018_0018," Tistell, sampt Rådmännen Jöran Pusa. Martinus Canutij Påhl Warroin. Ifwan Pukello. Företredde sigh Tobakz Pesökaren Eskell Thomasson, och fullmacht haf:r opsyyn att hafwa om Landskiöp, och klagadhe uthöf:"
1,0018_0018," under Juhlehögtijdhen, som Nembl:gh  11 stycken Räfskin, 6 Timmer och 27 stycken Grååwärk, 2½ mk:r Toback, Et litet Biörenskin, 113 alnar medell måttigdt Rysk lerfft, 2:ne stycken förgifft, Contant 2:re Ru"
2,0019_0019," ähr ifrån Ryslandh kommen, medh fördt 9 Räffskin, 6 ½ Timmer Gråwärck 100 Arsin  Rysklerfft, 2½ lb Tobak, der emoot för wändhe Eskell Thoma- son, att dhe män som Attesten underskrifwit intet wore Edeligen"
3,0019_0019,"ifft medh sigh förer, ty bleff Heiskan tillfrågat landet igenom medh någre waror, besynneligen medh Toback och förgifft, hälst uthan Pass, och att han Intet gådt i sinnat  hwarföre som wedh sin genom reesa "
4,0019_0019," i Karpen fördt, men det in tet rördt el:r optagit. Eskell Thomason förebahr att han skall een Påst Toback i höstas från Nyenshantz fördt, hwilken han så på desse orter som i Ryslandh för yttrat och uthi an"
5,0020_0020,"tet haf:r Eskell Thomson kunnat Heiskain binda, till det han honom månde beskylla, att han olåfligh Toback skall ifrån Nyenshantz fördt och förhandlat, Men för sitt bedrefne landzkööp haf:r han om förskonin"
6,0021_0021,"nelse Sahl:gh Konungh Gustaf Adolphi allernådigste placat A:o 1678 om Landzkiöp; Men wedh- kommande Tobaket dhe 2½ mk:r som Eskell Thomason påståår Heiskainen skall förrestraffas, ophäfwers till des Eskell"
7,0021_0021,"om- son medh bättre wittnen inkommer, då saaken honom öppenståå skall, Emedhan han dätta till reesa tobak kiöpt och intet bewijsligit ähr honom något försåldt. Pålades Thomas Turikain att oppbära aff Stadh"
8,0021_0021,"r dhe reest ifrån Kexholm haf:r uthi Båten warit, een tunna medh 2:ne Båtnar tillslagen och wa- rit Tobak uthi, men wiste intet om dhen full war, dåch in- tet een karl uthan 2:ne tunnan ifrån Siho Michelss"
9,0021_0021," Michelss Strande- bodh till Båten föra kunnat, sedan haf:r och 3. Ståkruller och 3 små rullor medh Toback alldeles orördhe warit, och 3:ne slagz klädhen, eet stycke gröndh kläde, som kunnat kåsta 1 RD:r Al"
10,0022_0022,"llier :/ en Rulla Toback kiöpt, der emot sadhe Poutian igen wist och fast kiöpt af honom Juhledagen Toback, och Rullan der aff han sålde war liten, och intet mehr än ungefähr 5 häller 6 allnar, så sadhe och"
11,0022_0022,"kenhagen ifrån Nyien, sampt hwilken 19 /: hwilken medh Compagnie Consens toback sällier :/ en Rulla Toback kiöpt, der emot sadhe Poutian igen wist och fast kiöpt af honom Juhledagen Toback, och Rullan der a"
12,0022_0022,"an uthaff H:r Henrich Blanckenhagen ifrån Nyien, sampt hwilken 19 /: hwilken medh Compagnie Consens toback sällier :/ en Rulla Toback kiöpt, der emot sadhe Poutian igen wist och fast kiöpt af honom Juhledag"
13,0022_0022,"dell der medh brukat, och skall honom aldrigh bewisas att Poutian, el:r andre af honom Juhletijdhen Toback kiöpt, men om sedermehra skedt wore kan han intet neka, Emedhan han för 6 weckors tijdh sedan uthaf"
14,0022_0022,"k kiöpte som han sålde till Poutian, som och huru mycket han der af hafwer, slagande han sigh intet Tobak hafft, mindre någon handell der medh brukat, och skall honom aldrigh bewisas att Poutian, el:r andr"
15,0022_0022,"mhafwa dätta, och om Rättens uthslagh sökia; tillspordhes Påhl Ryttken hwarest och af Hwem, han det Tobak kiöpte som han sålde till Poutian, som och huru mycket han der af hafwer, slagande han sigh intet T"
16,0022_0022,"te Framträdde Tobackz Besökiaren Eskel Thomason och klagadhe uthöfr Påhl Ryttken, att han olåfflige Tobak skall hafwa försåldt, förleden Juhldagh åth Peter Poutian i Kymola by, framläg- giandhes eet qwarte"
17,0022_0022,"ymolaby hoos denne Enkias Granne Kymencken Hinrich Johanson, haf:r han Poutia der suttit och Mahlit Toback, då Eskill, det han än igen oskurit hadhe /: och på Bordet lågh :/ bårttagit, och strax gådt hit ti"
18,0022_0022,"amma wara skall som Poutia kiöpte, ty framropadhes Peter Poutian och tillspordhes hwarest han dätta Toback kiöpt, han svaradhe aff Påhl Ryt- ken kiöpte iagh Juhldagen Emellan Predikorne ½ alln för 3½ öre Ko"
19,0022_0022,"kall hafwa försåldt, förleden Juhldagh åth Peter Poutian i Kymola by, framläg- giandhes eet qwarter Toback, som dhet samma wara skall som Poutia kiöpte, ty framropadhes Peter Poutian och tillspordhes hwares"
20,0022_0022,"Eskell att han widare bewijsa will, det Ryttken förlehden höstas medh sigh från Nyienshantz hämptat Tobak, då han ifrån Stockholm kom, då Påhl Ryttken denne Eskell medh otillbör- lige ordh tilltahlte, och "
21,0022_0022,"hr i denne saak att wittna; dätta bleff Annoterat och Coroll till laga bewijss meddeelte Framträdde Tobackz Besökiaren Eskel Thomason och klagadhe uthöfr Påhl Ryttken, att han olåfflige Tobak skall hafwa fö"
22,0022_0022,"tta, som redan Juhledagen passerat ähr, icke tilförandhe oppenbarat, swaradhe sigh hafwa hit wäntat Tobakz Compagnie Inspectoren Hr Erich Hanson. hwilken saaken optagit skollat och anklagat, men effter han"
23,0022_0022,"för oliudh fältes till sine 3 mk:r; Poutia förrehöltz att han medh sin Eedh skulle behålla, det han Tobaket aff Ryttken kiöpt, det hon och frij- willeligen giöra wille, men Ryttken badh det honom ingen Edh"
24,0024_0024,"ångz drängh Jöran Jurfwain först för hemgångh anklagat, och sedhan olageligen medh honom förlicktz. Tobakz Besökaren Eskell Thomson framkom och sadhe sigh hafwa Påhl Ryttken efftergifwit, det han medh olyd"
25,0025_0025,"Sedhan ittererade och Eskell sin klagan Emodt Påhl Ryttken angån de olåfligh Tobackz handell som jämwähl förledhen den 10 Martij förre war, Och badh om uthslagh uthi saaken, bleff alt"
26,0025_0025," förmådt öfwertahla honom till förlijckningh, derföre han och honom 5 D:r förährnadt, men intet för tobakz Action skull, Effter han sigh intet behöfwer fruchta som intet brutit, sadhe då Eskell sigh inge a"
27,0025_0025,"he då Eskell sigh inge andre wittnen denne gångh wiste till gåå, uthan wille ifrån Nyienshantz, der Tobaket kiöpt ähr, widare wittnen sigh een annan gångh förskaffa. Sent. Opå dhe skiähl som här för Rätta "
28,0025_0025,"tet witzordh gifwas i saaken Emellan klagaren Eskell Thomson och swara den Påhl Ryttken om olåfligh Tobackz handell, uthan Ryttken befrijas för Eskelss till tahlan denne gångh och till des skall medh bättre"
29,0025_0025,"tka resolverat, effter Eskell inge andre wittnen tillgåå weth än Poutias folck, som skall aff Mutka Tobak kiöpt, och Mårten Poutia, för det han aff Mutka förledhen höstas penningar stulit; bleff straffader"
30,0026_0026," Borgare. Jöran Pusa. Martinus Canutij Påhl Warroin. Anders Taskin. Johan Mutka. Föreställte sigh i Tobakz Besöckiaren Eskell Thomson och framladhe i Rätten een stycke Toback till Proff, som han Juhledagen"
31,0026_0026,"Johan Mutka. Föreställte sigh i Tobakz Besöckiaren Eskell Thomson och framladhe i Rätten een stycke Toback till Proff, som han Juhledagen Emellan Predikarne tagit haff een bondhe ifrån Kockaniemijby Påhl Se"
32,0026_0026,"ilken stådt uthi Borgaren Jacob Affwinens farstufu medh To- back och sagdt det wara Anders Nefwoins Toback då Eskell det bort togh, men samma bondhe ähr nu intet tillstädes, ty badh Eskell  det Nefwoin för "
33,0026_0026,"l det bort togh, men samma bondhe ähr nu intet tillstädes, ty badh Eskell  det Nefwoin för olåfligh Tobackz handell straffas måste, Wedh dätta framstegh Nefwoin och nekade alldeles sigh intet Toback hafft, "
34,0026_0026,"låfligh Tobackz handell straffas måste, Wedh dätta framstegh Nefwoin och nekade alldeles sigh intet Toback hafft, eij häller då sällia kunnat, Emedhan hans hustru förste- Predikan om Juhledagen gick till Ky"
35,0031_0031,"ande här behålla, ty tillspordes Båken om Rådman H:r Timmerman skall wara kunnogdt, det Inspectoren Tobaket hit fördt och här uthlefrera will, på det han der emoot kunnat sin fullmäch- tigh i det att aff E"
36,0031_0031,"ullmächtigen Peter Båck än widare, det den- ne Stadz Magistrat på mehra bem:te Rådmans wägnar wille Tobaket Emodt taga och till des affordrande här behålla, ty tillspordes Båken om Rådman H:r Timmerman ska"
37,0031_0031,"t offta bem:te Rådmans fullmäch- tigh D:r Johan Johanson Green Anprasenterat blifwit att emoot taga Tobaket, och att han sigh der till för wägrat, ty begiärer fullmächtigen Peter Båck än widare, det den- n"
38,0031_0031,"en uthi Nyienshantz Wällwijse Berendt Timmerman att restitueras el:r deß wärde att betahla. Och som Tobaket medh denne stadzwicht ähr H:r Timmerman från wägit, ty badh och Inspectoren det åther honom samma"
39,0031_0031,"r till Protocollet förras måste Och honom uthaff Rätten eet Attestato meddeelas, Angåndhe dhen Påst Tobak som Kongl: Gen: Com:ti i Collegi i Nådigast be- hagat De Dato Stockholm den 3 Septemb. A:o 1674 ehr"
40,0031_0031,alltaren Jacob Lahrson sampt Rådmännen Jöran Pusa. Martinus Canutij: Påhl Warroin. Samson Sergioff: Tobakz Compagnie Inspectoren wällbetrodde Erich Hanson inlade uthi Rätten igenom Besökieren Peter Båckd e
41,0032_0032,"andell dem tillskyndas :/ befrija, tillbiudandes än ytterligare någre Borgare aff nämeriet och frij Tobakzhandell medh Companie Godz, hwar ifrån sigh alle aff sadhe intet williandes der medh och befatta, m"
42,0032_0032,"ans, kundhe det så wähl Comparniet garna, som Borgarena ifrån den olycka /: hwilken igenom olåfligh Tobakz handell dem tillskyndas :/ befrija, tillbiudandes än ytterligare någre Borgare aff nämeriet och fr"
43,0032_0032,", Jacob Jeremia- son och Anders Tukoin, att dhe till Wijborgh pomit A:o 1673 om Sommaren och wellat Tobak opkiöpa hoos Compagnie fullmächtige men intet fådt, då sadhe och Inspectoren, att han haf:r intet s"
44,0032_0032," haf:r honom förorsakat tilldätta fördristandhe, och att Bor- garena honom trägit på låtit, det han Tobak förskaffa skulle, så intygadhe och Borgarena Mårten Putkin, Jacob Jeremia- son och Anders Tukoin, a"
45,0032_0032,"f hwilken Eskell sin Besökiare Fullmacht hafwer, ty framladhe Eskell sin fullmacht uthaff för dätta Tobakz Directeu- ren Giärdt Störningh De Dato Stockholm den 8 Maij A:o 669 bedyrandes der jämpte alt stad"
46,0032_0032,"it, dhem fördristat och sålledes förledt eliest och haf:r uthi 2:ne åhrs tijdh ingen Pipa Compagnie Tobak här i Staden el:r på Orten warit, uthan att Borgmästaren uthi Nyienshantz, wäll wijse H:r Heinrich "
47,0032_0032,"tten betrachta skulle att dhe eij aff sin egen bewågenheet sigh understådt medh Tobak handla, uthan Tobakz Besökiaren Eskell som här på Compagnie wägnar warit, dhem fördristat och sålledes förledt eliest o"
48,0032_0032,"rena och badh det Rätten betrachta skulle att dhe eij aff sin egen bewågenheet sigh understådt medh Tobak handla, uthan Tobakz Besökiaren Eskell som här på Compagnie wägnar warit, dhem fördristat och sålle"
49,0032_0032,"nnan Eskell gif:r honom fullkombligh till- ståndh 2:ne llb att opkiöpa, effter här intet Colapagnie Tobak i Staden fans, men på dhe 18 llb hafwer han ingen Zedell, dåch till ståår 29 ståå Eskell siölf hono"
50,0032_0032,"ningh De Dato Stockholm den 8 Maij A:o 669 bedyrandes der jämpte alt stadigit det, att mangell oppå Tobak haf:r honom förorsakat tilldätta fördristandhe, och att Bor- garena honom trägit på låtit, det han "
51,0032_0032,"kz handell, framhafwandes först Jacob Af- win medh tillfrågan, huru mycket och hwadh tijdh han sigh Toback till kiöpt, medh hwems förlåff och uthaff hwilken, hwartill Afwin swaradhe det han förledne Wåras o"
52,0032_0032," Erich Hanson trädde för Rätta och framhadhe någre Borgare, som skolle wara beträ- de medh olåfligh Tobakz handell, framhafwandes först Jacob Af- win medh tillfrågan, huru mycket och hwadh tijdh han sigh T"
53,0032_0032,"lbetrodde Johan Tistell sampt Råd- männen. Jöran Pusa Martinus Canutij Påhl Warroin. Anders Taskin. Tobakz Compagnie Inspectoren Wällbetrodde Erich Hanson trädde för Rätta och framhadhe någre Borgare, som "
54,0032_0032," Lands höfdingen i Kexholm :/ Tenor att effterlefwa, då må In- spectoren all den intagande skada på Tobaket härliggiandhe reesse Expensser hinder och skada söckia och prætentera. Anno 1675. den 6 Decemb: h"
55,0032_0032,"l kiöpt, medh hwems förlåff och uthaff hwilken, hwartill Afwin swaradhe det han förledne Wåras oppå Tobaks Besöckiare Eskell Thomassons Tillåtelse, uthaff S:r Christian Huuck uthi Nyienschantz kiöpt 18 llb"
56,0032_0032," fullmächtigh Tobaket aff fordrar der icke H:r Timmerman då till den 31 Näststundande Januari låter Tobaket affordra, el:r medh des förClaringh inkommer medh hwadh skiähl han sigh förlwägrar och undandrage"
57,0032_0032,"ch behålles för än Rättens swar aff H:r Timmerman ehrhämptas, och att han igenom någon fullmächtigh Tobaket aff fordrar der icke H:r Timmerman då till den 31 Näststundande Januari låter Tobaket affordra, e"
58,0032_0032,"toren wälbetrodde Erich Hanson tilllåtes här att nedsättia, och aff ttoo wärdiga låta opwäga i Påst Tobak som han obligeras effter Kongl:s Gen: Com:tei Collegi doom Daterat Stockholm den 3 Septemb: A:o 167"
59,0032_0032,"hans fullmächtigh Tobaket effter höghbem:te Kongl. Gen: Com:tts Collegi doom anpresenterat bleff, hwar oppå Rätten till eff"
60,0033_0033,"ra; ty slötz till effterfölliandhe. Förmedelst det Rådmännen intet tillstädes häller hemma ähre och Tobakz Compagnie Inspectoren som een resander, och om doom uthi saken söcker, ty afladhe Jacob Thomson Ma"
61,0033_0033,"ns förbrytande straffas; Tillspordes alltså Afwin uthaff hwadh skiähl han nu widare understodh sigh Toback att sällia effter han så högeligen förbödz senast här på Rådstufun, då sade han sigh intet wetha nå"
62,0033_0033," sin uthfäst låfwen, här på Rådstufun sidst förleden den 6 huius, uthur igen i gåår, såldt olåfligh Tobak, och licka som uth förtreth 30 förtreth Kongl:gh Placat att öfwerträda, intet achtadhe mindre fruch"
63,0033_0033,"ste lydelse, jäm wähl och för Hwart llb bötha, och för förbodz bryttande dobelt, sedan och för dhet Toback nu fans som till 3die gångens förbrytande straffas; Tillspordes alltså Afwin uthaff hwadh skiähl ha"
64,0033_0033,"geligen alldrigh fregendt williia förorsaka Inspectoren uthöf:r dhem att klaga, förmedelst olåfligh Tobakz handell, så Ändådh Inspectoren påstodh att, Borgarena som Besökiaren straffas skulle, så leth han "
65,0033_0033,"pt Råd- man Jöran Pusa, och effterskrefne Edsworne Borgare Jacob Thomson. Matz Juain. Johan Haltin. Tobakz Compagnie Inspectoren wällbetrodde Erich Hanson leth igenom Besökiaren Peter Båck een Supplic uthi"
66,0033_0033," oförståndh här tillkommen ähr, som och då dhe Borgare /: hwilka medh Eskelß förlåf från Nyenshantz Tobak kiöpt och här försåldt :/ förreträdt och Jämwähl bodo Rätten som och Inspectoren det deras förseend"
67,0033_0033,"t Besökaren hade förlåff, understådt sigh gripa till eet wärk, som alldeles emodt Kongl:h Placat om Tobackz handelen sträfwar :/ iämpte Besöckigaren allfwarligen skulle straffas, anhållandes här uthinnan ee"
68,0034_0034,"Sent: Ändåch Jacob Afwin förleden Rådstudagh högeligen förbödz til det ringaste mehra medh olåfligh Tobakz handell sigh befatta, och der han igen komma skulle, då wore det förige jämwähl honom öppet, det h"
69,0034_0034,"eesan fälltes till sin 16 D:r Sölf:r m:tt, Och till 40 mk:r för förbåd förbryttandhe och miste dhet Tobak som Conficerat ähr, effter Kongl:gh Maij:tt Allder nådigste Tobakz placatz 12. Puncht Daterat A:o 1"
70,0034_0034,"rbåd förbryttandhe och miste dhet Tobak som Conficerat ähr, effter Kongl:gh Maij:tt Allder nådigste Tobakz placatz 12. Puncht Daterat A:o 1671, dåch hwadh Inspectoren påståår att han och nu för dhe 58 llb "
71,0036_0036,"bedyrandes högeligen och nekar, uthan berättar sigh den gångh till sin Granne Pusa kommit att kiöpa Toback hwilken honom bedt nedsittia, det och han giordt, Men säger att sedan han medh Pusas Swärfadher kom"
72,0038_0038,"ifrån håfwat om En affton  halffdruckne, och sigh der nedsatt att ätha, och sedan sutit och druckit Tobak, der effter kom houptman rijdandes huuset förbij, då haf:r Nämdeman Matz Natrij och Johan Wannin fr"
73,0049_0049,"ningh få inkomma sade sigh aldrigh betahla willia, för än Tipen honom nöiachtigheet giordt, för det tobak honom och Afwin tillhörigit, som Tipan winteren för än dhe Sommaren effter Spanmåhle i Ryslandh kiö"
74,0049_0049,"n säger att Ryttken och Afwin dhå dhe om sommaren ditkommit Spanmåhlen att kiöpa, (hwafe) hafwa dhe Tobaket från Tipan bårttagit, det längre op i Ryslandh fördt och bortsåldt, förklarar sigh altså intet wi"
75,0050_0050," Explicerade Rysen Tipan saaken, och  sade att Enähr Ryttken kiöpte Rågen i Ryslandh, sålde han sit Toback till  denne Terro, Emodt Sölf:r Pandt, hwilken Pandt Ryttken igen satte  hoos Michifara Pamphilioff"
76,0050_0050,"en igen satte  hoos Michifara Pamphilioff för Rågen i underpandt, will altså nu Terro intet betahla Tobaket för än han kan sit Sölf:r igen fåå, icke häller gifwer Michifara sölfweret uth för än Ryttken siö"
77,0079_0080,"uppoin dömdes betahla till Rådman Påhl Warroin dhe 6 D:r han siölf tillstår sigh skylldigh wara för Tobak, och 4 D:r för Huushyra, imedlertijdh be- håller Warroin hans saaker, som ännu En deel hoos honom ä"
78,0083_0084,"denne stöldh betahla, swarar och säger sigh i  Kiddis Soken och JurickJerfwij by hafwa för uthdeelt Tobak något at  fordra, som hoos Nämbdeman Jöran Ukonen 4 D:r, och af Pålaken  ibm 6 D:r, sampt hoos fler"
79,0084_0085,"dh 2:ne stycken små barn. Effter sluthen Räckningh Emellan Clemet Heinen och Börgel Hanska om något Toback dhe sins Emellan hafft, att sällias under wägen till  Sawolax, bleff Heinen skylldigh En dahl:r 8/ö"
80,0105_0106,"oop medh Anders Rautia kiöpt, derpå denne Kijskin redan be- talt Een tunna Tiära för 5 D:r och medh Toback 24 /: öre, för dee resterande 21 D:r lofwade han i Wåhr 5 tunnor wällfylte Tiära, och så- dant utha"
81,0112_0113,"odigh slagit, Ehnnär Waris dijt kommit effter Ondruskas faders begiäran, att taga sin betalning för tobaket han deras Swåger gif- wit, sampt 6 mk:r för een pust effter det 12 Cap: i Dito Balck, än till 12 "
