,file,context
0,0014_0014,"fwan Pukello. Förekom, Jöran Räppoin ifrån Illomans Socken, och begiärte Bur- skap uthi denne Stadh winna, framläggiandes eet Attestatum från häradzRätten der sammastädhes aff Dato den 12 Septemb:r Hujus"
1,0021_0021,"aff Stadhen Mäsewijn penningar för dätta åhr 3 öre Kopp:r aff hwarie gårdh, och der Matz Natri, som wijnet håller kan bewisa framndeelz att han intet niutit wijnpeningar för 1672 aff Stadhen. Då skulle bo"
2,0021_0021," aff hwarie gårdh, och der Matz Natri, som wijnet håller kan bewisa framndeelz att han intet niutit wijnpeningar för 1672 aff Stadhen. Då skulle borgarna honom hans uthlagde penningar refun- dera och till"
3,0021_0021," dera och tillställa, hwilket bewijß han aff Kyrkioherden H:r Johan Pulskiano /: som för honom Mese wijn hållit :/ skall framtee. Anno 1675 den 20 Martij höltz ordinarie Rådstudagh Närwarandhe Rådmännen J"
4,0029_0029,"ptman här sammastä- des fådt förlåff sigh ifrån landet, begifwa, och i staden inkomma Bur- skap att winna, ty tillletz honom sin Borgare Edh affläggia effter det 15 Cap: Konnungz B: St: L: Alldenstundh B"
5,0032_0032,"ågre Borgare, som skolle wara beträ- de medh olåfligh Tobakz handell, framhafwandes först Jacob Af- win medh tillfrågan, huru mycket och hwadh tijdh han sigh Toback till kiöpt, medh hwems förlåff och uth"
6,0041_0041,"stadhen någon handell föröfwa. Ty fälles Juske Wasillioff till sine 40 m:r Sölf:r Myndt, medh bren- wijnetz som till ringaste 60 kannor och bewisas warit förlust á 1 D:r kanna jämpte hwadh annat Godz kan "
7,0045_0045,"nesbördh att affläggia uthi Johan Könonens saak ifrån Pelgejerfwij, hwilken beskyllder ähr förleden wintras på kyndermäsa dagen under Predikan drukit, och stoort oliudh giordh Här i Stadhen, effter och K"
8,0045_0045,"Kymolaby och Peter Peterson Pesu från Worsansallmij, sampt Pafwel Metoin från Ryttis, och begiärthe winna Burskap här i Stadhen, ty tillspordes samptelige Borgar 42 garskapet om deras förrehållandhe, sås"
9,0046_0046,"llmars kafftan  fådt, som Tasckin på hans Lijf igen kände (honom) sigh tillhörigh wara och förleden wintras bårtstullen blifwit. Anno 1679 den 10 Martij höltz ordinarie Råstugodag, Närwarandhe Rådmänen o"
10,0047_0047,"derson Nefwoin här i Grefweskapet och i Ojallanranda by födder, och begiärthe här i stadhen Burskap winna, bleff Altså der på dhe tillstädes Swarande borgare förrekallade och tillspordes om dhe medh denn"
11,0049_0049,"llia, för än Tipen honom nöiachtigheet giordt, för det tobak honom och Afwin tillhörigit, som Tipan winteren för än dhe Sommaren effter Spanmåhle i Ryslandh kiöpt, uthi Nyein och fördt till Salmis Godz o"
12,0051_0051,"igh bondhe, Medh sin Inspectors Consens ifrån sitt hemman sluppen, stego fram och begiärthe burskap winna, bleff altså dhe tillstädhes warandhe Borgare till spordt om desas förrehållandhe  hwilka alle om"
13,0062_0063,"tego Inhyssmännen här i Stadhen Matz Mickoin, Påhl Kiskin och Clemeth Heinoin, och begiärte Burskap winna, på dhet dhe såssom andhre Borgare må få  någon handell bruka, blef altså dhe tillstädhes waran- "
14,0064_0065,"f- wi medh Johan Noppoin från Tochmajärfwi frijherskap, Alledesse begiärade här uti Stadhen Burskap winna,  Alldenstundh Landskiöp å alle orther förbiudhes, och dhe  doch uthan handlandhe intet kunna til"
