,parent,file,context
0,Kexholm,0096_0098," och att honom hans förtiente löön måtte til ställas, hwilket ährende så wäll Rådhmännen som gemene Borgenkapet communicerades; hwilke sigh Een hälleligen der öfwer förklarade, att dhe honom heeker i någon,"
1,Kexholm,0099_0101,"er förra Stadh skrifwar Christian Heeter, till H:r Landzhöfdingen att förhielpa hans af denne Stadh Borgen, dopp till hans för tiänte Lööhn, och så frampt, Bårgerschapet honom Heeter icke kunna be- wijßa ha"
2,Kexholm,0101_0103,", derifwit till wällbne Landzhöfdingen, Datum Narfwen d. 6 Aprilis innewarande åhr af förmälan, det Borgen, hapet skulle tillhållas att afbetala kyrkioherden här samma städes M.r Hinrich Böössman åhrligen H"
3,Kexholm,0142_0144,"ndre Städer sedh wenligen är, och lofwade dherföre giöra en tribut, så mycke som 2 eller 3 andre af Borgenskapet åhrligen uth gifwi; hwilket hans begieran och Rådet blef el.r låtet N:o 45. Dito Ahnhöll Borg"
4,Kexholm,0143_0145,"h benhendelig må deß stelle äpha och förordna, och ehuru wäll Rådzmanne Jochom freß och dett gemene Borgenskapet icke wed förre Rådstugudagerne om något Borgmästa äro ense wordne, ehuruwäll Rådmannen uppå S"
5,Kexholm,0144_0146," wijd sin förra uthsagda meningh wara nämbl: Stadzsecretarium att begiera allenast dher nå- gre och Borgenskapetz meeningh tillkommande Rådstugu agh höra måtte, benöijandes sigh sädan hwad öfwerheeten her u"
6,Kexholm,0147_0149,"n sin Börgelige Edh och waan denne Stadz Burschap, och lofwade gifrutel Staden 12 Dr Kop:r M:t Hans Borgen och än wore Rådmannen Erich Simonsson och Johan Månßon N:o 67 Dito framkom tridie på ingen Johan Pä"
7,Kexholm,0158_0160,"rd: Rådstugudag, närwa- rande på Wällb:ne H:r Landzhöfdingens wäg:r Renk:ne Zacharias Jönßon, sampt Borgen Gabriel Hinnel Suderman, och Rådhmannen Michel düster Johan Månßon Jacob Grelson, Larß Larsson N:o "
8,Kexholm,0189_0191,"n, och d 30 Jan: 1660 till b:te Postmästare; att hwadh han till dee inkommande Commissarier, hwilka Borgenskapet underhålla skulle till b:te under han tribuera kunde, wille b:te Borgare honom effter en rich"
9,Kexholm,0189_0191,"Erich Kossma för d: utan gifwandes tillkenna, huruledes Simon Brusisen honom i förleden Sommor uppå Borgenhaget wägnar 40 Dr Km:t hafr tillsagt förmedelst sin giorde reesa med deß klagoschriffter till Narfw"
10,Kexholm,0203_0205,"nera; dy dömmes han b:te att betala till Sigfrijd frister, innom Sahl- sättning 14 dagar, och satte borgen för sig sta det 16 och 10 Cap: i Rächstugu B. D 23 dito D 23 dito weed ord: Rådhstugu dag närwarand"
11,Kexholm,0207_0209,"esterande 12 Dr 14 öre kop:mt till Grelst Erichßon att betala, innan Soolsättning 14 dagar o stelle borgen för sig, effe det 16 och 19 Cap i Rådh B. No 45. Dito Tillsade Elias Lijnwäfware sig war borgen war"
12,Kexholm,0207_0209,"lle borgen för sig, effe det 16 och 19 Cap i Rådh B. No 45. Dito Tillsade Elias Lijnwäfware sig war borgen wara för Hinrich Hinrichßon, för en obarkadt huudh af en 4 åhrs Oxe, att betala innom 14 dagar till"
13,Kexholm,0207_0209," af en 4 åhrs Oxe, att betala innom 14 dagar till Räntmästaren Zach: Jons N:o 46. Dito lofwar Elias borgen wara för dee 13 Dr 14 Hinrich Hinrichßon skylldig är, till Grelß Erichßon att betala innan 2 weckor"
14,Kexholm,0211_0213,. Patrick ogilwie emot Johan Matzon An. 2. N. 18 19. p. 14. 17. N:o 20. p. 21. Parrick ogilwie emot Borgenskapet. 41. N. 22 p. 22 Petter Slöter emot Simon Brusisen A. 1 N. 27 p. 25. S. Samuel Person emot He
15,Kexholm,0217_0219,":r der till, och ehrläggie gielden till hinrich Blankenhagen innom fiorton dagars förlop och stelle borgen för sig, efr det 7, 6 och 19 Cap: Rådhst: B. Orkar han eij botum eller gield sin gior gånge då han,"
16,Kexholm,0217_0219,"er, äf:r dess Obligations lydelse bör gifwin, år 166 3/3 Dr SM:t effter Blankenhagen, för b:te uthi borgen ståår och fullmächtig är, för hielpas kun- ansedt hans Mortomer uthi denne saak lagl: Citerat är, h"
17,Kexholm,0217_0219,"r med hufwudh sakerna som är 166 3/3 Dr Sm:tt och ehrlägge dem annan Soolf min 14 dagar, och sätt i borgen för sig, efr dett 16 och 19 Cap i Rådst: B. Ockar han eij botum er gield sin gielda, gånge då han s"
18,Kexholm,0217_0219,"sakena som ofwanb:te är med sinom 3 m:r och ehrlägge den samme innan Soolsättning 4 dal:r och sätti borgen för sig, efr dett 7, 16 och 9 Cap i Rådstugu B. Orkarhan eij botunn eller gild sin gielda gånge då "
19,Kexholm,0224_0226,"a igenom 50 p from, och till bakarß, 5 gånger gatulop, Dito oppsade Räntmästaren Zacharias Jon- son borgen för Petter Lijnwäfware, at gående der pgr han till kyrkian skylldigt N:o 19. Fram kom för Rätten Je"
20,Kexholm,0236_0238,"Km:tt dy dömmes han dem betala innan, Sootsättning 14 dagar af- det 16 Cap: i Rådstugu B. och sätte borgen för sig effter dett 19 I förberörde B. d 8 Martij weed ord: Rådstugudag, närwa- rande Borgmäster oc"
21,Kexholm,0242_0244,"å att des der med wijdare sig ey hafwa att bychärffa eller att swara; dy pålegges honom å Nyo sådan borgen att ställa, som herr Directeuren ne och käranden kunde förnöijas åth: effter dett 19 Cap i förb:de "
22,Kexholm,0261_0263,"ffan Jäskäläin sig med tillbudin Eedh wille befrija ifrån en beskyllningen att han icke hade gådt i borgen för någon bonde i detta fullit dij ehrkänner Retten honom frij, och honom sedan oppgaffz, efr dett "
23,Kexholm,0269_0271,Contentera effter dett 16 Cap: i Rådhst: B. innan Saelsettning 14 dagar eller sätt- borgen för sig effter d 19 Cap i samme B No. 14 Dito Pålades Mickas hustro att bewijsa de ahn fordran hon 
24,Kexholm,0283_0285,"ation war, ty efr lätz honom 6 ckekors tijd dilation med executionen, men interim sätt för sig full borgen, till des han hoos Hs Exall:s kunde om till gifft supplicera. No. 34 Dito upplödz borgare Hinrich P"
