,parent,file,context
0,Kexholm,0068_0070,"gh Eedh wedh ordinarie Rådhstugu der och producerade Powoi Demitroff och Mijska Kan noff för sigh i Caution Dito d. 14 wåre Borgmestar och Rådh opå Rådhe tillsammans, då icke något förekom. Sammaledhes den 1"
1,Kexholm,0070_0072,per Grönninsks gamble tienare Johan Larßon Saickonen sin Borgerlige Eedh under Borgme- starens egen Caution.
2,Kexholm,0087_0089,"s Copion Hindrichsson b:d sin friäldh 75½ D. K M:tt, för hwilcken bondhe, Mad hämelein hafuer gåt i Caution för 71½ D. K.M:tt af dato 656 d. 29 Aprilis, hwilcken Caution o handhskrifft medh ofuan b:de Penzel"
3,Kexholm,0087_0089,"ken bondhe, Mad hämelein hafuer gåt i Caution för 71½ D. K.M:tt af dato 656 d. 29 Aprilis, hwilcken Caution o handhskrifft medh ofuan b:de Penzeler och Penrik ger han inlöst hadhe, och samma i Rätten i lefue"
4,Kexholm,0087_0089,"a fullmächtigh at annama Penning der Nembl: 75 1/2 p. K. M:t, såsom och sin uthgifne obligation och Cautionskrifft, den Hl. Larß Stephan skrifuit hafuer, igen bekommit: Dy erkennes Bon- dhen Mattz Hämelain i"
5,Kexholm,0113_0115," han på sin gård i nästkomman de åhr bekomma kan, fram för andre sijne Creditorer och upphäfwes den Caution som hampne bönderne giordt hafwa. Dito framkom Kaukumattig Enkia och förlijktes medh Larß Tirrainen"
6,Kexholm,0129_0131,"ätten, en skrifft, emot Rådmannen Wäll:tt Michell düster, hwar uthi han prætenderar sigh hafwa uth: Caution gångit för b:te Rådomen, i förleden åhr 1664, uthi Nyen shamt och honom förphaffatt 33 t:r Salt der"
7,Kexholm,0165_0167,"ifrån Nyenschantz Hustru Jonßon beswärandes sig öfr borg een Simon Brusison, att han intet hafr sin Caution tillfö- giordt den han för sin M:r Jacob Brusison uthfäst hafwer d 19 Aug. 665. Tillspordes Simon B"
8,Kexholm,0165_0167," för sin M:r Jacob Brusison uthfäst hafwer d 19 Aug. 665. Tillspordes Simon Brusison Frij han samma Caution icke fullgiordt hafwer i hwar till Han swarade, sig willia till nästkommande, om dag d 16 hujus, sa"
9,Kexholm,0195_0197,"t instella dilationeras måtte, och sädan sin sak wijdare att fullföllja, doch interim tillbiudandes caution till sin Pärsons säkrare infinnande; hwar med fullmächtigen å Man han tagens wägnar, Jochim Garling"
10,Kexholm,0199_0201,"hagen, effter nu terminen uthi wore uppå hwilken Inspectoren ifrån Sordawalla Mathias Alhenius, sin Caution stelt wid d 26 Junij, honom, här för Rätta, att swara sampt efr sin obligations lydelse af d 28 Feb"
11,Kexholm,0199_0201,"fundera, haste och wijd d. nästförledne 26 Junij, förmed Capiteinen, menhafftig Peer Spång sig till Cautio= nist, det han weed detta datum, sig inställa, och sijne saker till liqvidation bringa skulle; och "
12,Kexholm,0199_0201,"orde öfrkommit? hafwer å Capiteinen till den fordrande betallningen  Obligationen af d 28 Febr: och Caution d. 26 Junij sig förplichtat, att ehrläggia och fullgiöra. Men Såsom Inspectoren Mathias Alhenius si"
13,Kexholm,0236_0238,giorde terminen; men begiära ähn ytterligare ollution. här oppå här oppå begierade Simon Hinrichßon Caution. Men såsom Matz olkonen icke någon förskaffa kunde; ty slötz saken till effterfölljande Sentens. Så
