,parent,file,context
0,Kexholm,0078_0080," 39 D:r ifrå Decebr:de herom General Com¬ mendeurs förtäring herrörer, må han sigh iämpte der andre Creditorer holla till Cronan, och taga een bewijsa uthaff Ingeneurens hustru huru myckit han der till lefw"
1,Kexholm,0100_0102,"r, wara skyldigh blefwen 675 Dr 8 ör K:M. hwilken wield han uthfäster sigh, att freda för all andre Creditorer be:te Bößman att contentera och för nöija willia, förden skull be:te förste nu på sin Swågers w"
2,Kexholm,0113_0115,"ter sig betala med den humble han på sin gård i nästkomman de åhr bekomma kan, fram för andre sijne Creditorer och upphäfwes den Caution som hampne bönderne giordt hafwa. Dito framkom Kaukumattig Enkia och "
3,Kexholm,0121_0123,"m så at sijne medel förringat hafwer, att ingen ähr man man, kan fördrist at blifwa honom något att Creditera här på begierte Postmestaren att han wille honom så- dant medh skiäl öfwertyga, och medh wittne "
4,Kexholm,0175_0177,"de winter 662, och resten om ammaren der effter, richtigt contentera och sådant fram för alla andre Creditorer hwilken b:te gield och tillförende, här uppå lad hwßet protocollerat finnes; begieran- des alts"
5,Kexholm,0175_0177,"lförståndig Jacob Boisman dett b:t Rådmans obligation klarligen Exprimeret, och fram för alla andra Creditorer att Contente ras skyldig blefwen är. Dij dömmes mehlsse Lådman Michels dotter samma gield annan"
6,Kexholm,0185_0187," sin Moders wägnar säger, att hans slodar nu intet hafwer att betala med emädan hon till syne andre Creditorer betalt hafwer hwad som efr hennes Sal: man hafua kun- funnit, och weet så icke dett ringaste at"
7,Kexholm,0207_0209,"htare, att han honom skylldig war pgr 13 Dr 14 ör km:t för undfung Tobak begierandes kunna till sin Crediterade schuld och Ähn fordran, förhulpen blifwa. Swaranden Hinrich Hinrichßon kan emot ofwanstående a"
8,Kexholm,0586_0588,lf:r mt: och 8 tun- nor Spanmåhl Pantsätter till Renttmestaren bem:te sin gårdh fram för andre hans Creditorer; Och på dett Rätt nestaren måtte giöra sig så mycket mehra om denna för- trächning igenbekomman
9,Kexholm,0586_0588,rsträchningar gården effter des wärde antaga och här uthinnan alldeles åthniuta fram för alle andre Creditorer beneficium ordinis till gedo så frampt Fältskären eij kan sin skuldh på annat sätt förnöije.  E
10,Kexholm,0591_0593,risterar att Annoterat blifwa. Debet Per Balance _ 27: 20: fadderpenningar 47. Öfwerbekommit 13: 88 Credit. Affäres fadderen tätningh Till Måns ohlof- 30:- sson.... 43:- Noch een bonde i Mielis – „ 6: - Nil
11,Kexholm,0595_0597," 65 D:r Kopp:r m:t, sammaledes Borgmäst:n Hin- nets 10 D:r 2 öhre kappar mtz att den fram för andre Creditorer, hwilka till dato eij låtit sin gäldh lagli- gen verificera må framdeles af Johan Muhallssons b"
