,parent,file,context
0,Kexholm,0102_0104,"upp, och icke begiära någon hynes derfört alt så wille de intet wijdare af denne Kyrkioheerdens ähn fodran weeta, stöliandes sigh och uppå den byen kuningains wijd Unikoski som Staden hafwa förskaffat af Ko"
1,Kexholm,0103_0105,"effter uppsatt Wijte och 3 Aug: förleden, Lijkawist, medan köpet sär giord under om Syten skuldz in fodran, altså blifwa desse trenne för denne gången medh 40 mkrs 20p i straffade, och förskonte men Simo La"
2,Kexholm,0105_0107," sin Swåger Jöns Pärßon ifwit i wästerwijk d 1 Decemb: 660 uthi hwilket förmå les, hwadh honom till fodrande war af sitt arf der sammastädes, uthi hwadh Partzeler dhet bestodh. Detta är uppå hans egen begie"
3,Kexholm,0108_0110,"en emedan Borgmästaren som nu pro tempora närwarande ähr medh sampteligit Rådhet leke om samma hans fodrande alnaleel /: som ehuru wara En salfkanna om 81 lodh twenne Croner och twenne helss bandh, såsom oc"
4,Kexholm,0496_0498," landet om hinrich för Rätta sielf tillstådt sig bekommit och uthi dee Partzeler mehr intet hafr at fodran gifwit hafr, ut ex actis. Doch der Hinrich förmenner sig i annan ägendom mehra tillkomma? kan han J"
5,Kexholm,0522_0524,"ns. Såsom Jöran Rassmusson med aflagden Eedh befriadhe sigh hafwa betalt med arbete till Samuel sin fodrande giäld, att så ehrkienna och Rätten för Samuels tillstahlan här effter frij men för dhe oqwädins o"
6,Sordavala/s1,0431_0431,"rande öfwer Anders Heickurinen - 44 Johan Kiuckoinen J Johan Kuckoinen Arresterar Petter Härckäises fodran  Johan Mutka för hans hästz förderfwande, hwilcken Ar- rest under H. Simon Hoppenstångz Caution sed"
7,Nyen/RO_1684-1687,0035_0035,"wara här 32 uthi at uhrsächte; Anlangandhe den prætension hoos Sahl: Wargens Enkia wille actor dhen fodran ey wydhare an- taga, än sielfwa panten derföre förslå kan, på ståendhes, at Förmyndaren måtte derfö"
8,Nyen/RO_1684-1687,0206_0207,"he så ransedt Swaranden be- rätter, at kiäranden för dhetta tillbudit honom at wela uthi sin skuldh fodran till kåranden, låta sig decouutera dhen giäldh, som Swaranden är skyldigh åth Handelssman Jost Stew"
9,Nyen/RO_1684-1687,0206_0207,"f derjämte till ståår at sådant kä- randens tillbudh ähr skedt, för en Stewen war för äkredt om sin fodran och för ähn han ärsökt een doom derpå, samt at käranden då begärte at låta decou- itera hela Stewen"
10,Nyen/RO_1684-1687,0271_0272," orditera skall wara sinnadhe at jämwäl sigh till säkerheet för dheras hoos honom hafwandhe skulldz fodrande låta förteckna dhes huuss at sådhant intet måtte skee till predice af deras rätt, för hwilcken ha"
11,Nyen/RO_1684-1687,0322_0323,"m och 55 cophia Greij d: 13: huius i Nederrätten här sammastädes ähr afdömbdt, angåen dhe een gield fodran må å nyo på Rådstugun uptages och skiärskådas, emedan han i samma dommen befinner sig wara mycket G"
12,Kajana/RO_1659_1699,0284_0284,"e peng:r Nämbl. 15 D:r 12 öre Kmt som han Sahl. Erich Person försträckt Åhr 1685, iag och denne sin fodran i Rätten uptäckt A:o 1637, då ej mehra fans af Erich Persons Egendomb i qwar- sad än som 2:ne skoph"
13,Kajana/RO_1659_1699,0288_0288, åhret så upwjste Johan Frantzson Kyrkioherd:s H:r Johan Antilij qwitans at han bem:te löön för sin fodran aff Sahl. BefallningzMan Isach Hanßon bekommit för Åhr 1684. fin- nes och Petrellij Enckians hustro
14,Kajana/RO_1659_1699,0288_0288," dy frantzson sin Eed, att han ej någon penning bekommit, sig till nytta; dy ehrkänner Rätten Rysäs fodran af inthet wärde. fältes Hans Lejnonen för Citations för- sittiande emoth Christopher Hambn till 3 m"
15,Kajana/RO_1659_1699,0293_0293,an doch nu ej kunde intyga. Sjra påstod ständigt att han måtte blifwa förhulpen till sin rättmätige fodran effter hans peng:r en lång tijdh ute farit Ulfwjken war än begiärtze att gå med sin Cre- ditor till
