,parent,file,context
0,Kexholm,0069_0071,"o uthi Stockholm 500 D:r K: M:t till låns taget, dähr uppå Capitain sin obligation gifuit, hwilcken Giäldh Sifwo Mickel offentligen bekändhe wara sigh richtig af h:r Capitain betalt, men sielfwa obligation "
1,Kexholm,0104_0106,"garen Petter Hackarain hafwer pant satt hooss Sippi Meelmatti; tillåtes hans hustru egenlöijssa att gield nägre kunna der igenom effter Cvokam komma till sin betall ningh, afuanne penningar, emädan dhe upp"
2,Kexholm,0119_0121,"mun slagh gifwit hafwer, för dett han Ryßen, hafr sagt, att hans hußbonde, Båtzmannens hafwer flere gield äf- låren på hufwudet, men med inge skieldz ord hafr om rysten öfwerfallit hwar uppå Ryssen icke al"
3,Kexholm,0121_0123,"breeff hwarigenom dhet skall annorledes blifwa medh honom meenandes intet annat, dher medh ähn dhee gieldh be som be:te düster, hans swåger freßens, Jacob Boißman gifwit hafwer, begierandas här på Hr:tt för"
4,Kexholm,0129_0131,"å skull. I blandh annat allehanda Oliud inför Rätten Freesen höll för dhet öfwerstl. begierade hans gieldz book, att see, ahngående den nästförgående actum, sade Freßen, rag är en ährligh man, hwarföre skal"
5,Kexholm,0132_0134,"äll:tt Hans Monts meer, sampt Rådmannens Michel düsters hustru, och förlijktes sigh emellan om dhen gieldz prætension, som dem hafwer emellan warit, hwilket dhe ehn modade uthi Stadzens protocoll, skulle fö"
6,Kexholm,0137_0139," uthan Miska Cananoff allenast samma bodh för sin ahnsökningh tillställes h änkian sådan förwijdare gieldz prætension, befrijas, efr intet af hans egendom sigh till nytto brukat, eller resict fwer, hwilket "
7,Kexholm,0139_0141,"rroihnen säger sigh intet landtköphat begådt uthan hwadh han här hafwer till Salu fördt haf han för gield af Bönderne tagit, förmodar altså dher med ingen hafwa præjudiceras. Emädan blefwen förrahring gaff"
8,Kexholm,0140_0142," till Arendatoren Andres Grabbe, hwar uthi han honom wid säger der han, Arendatoren, icke honom sin gieldz prætention eläggia wille skulle honom en ohympt wederfahras, ten han i skifheet icke worde förgätan"
9,Kexholm,0140_0142,"fdingen det oförståndet, att en b:te Arendator thulle låta inhämpta för sin parti- flier skulld och gieldz ahnfordran, så wäll som han hafwer på Wällb:ne Hr Landzhöfdingen Osanningen wättat, i dett han Wäll"
10,Kexholm,0141_0143,"Wällb:ne H:r Landzhöfdin gen ähn hålla, att hon skulle få rätt på Arendator Andres Grabbe, för then gield han honom wore skyld der då hans hustru intet Wällb:ne H:r Landzhöfdingen menningh bättre hafwer fö"
11,Kexholm,0141_0143,"dt, ähn wällb:ne Hr Com- höfdingen skulle hafwa lofwat sända effter b:te ar= rendator för samma sin gield skull, effter skällb: H:r Landzhöfdingen hafwer begiärt henne sigh här i gella wijd samma termin so"
12,Kexholm,0141_0143,", ij han hafwer det intet annars förstådt, uthan Målls h:r Landzhöfdingen skulle hafwa sagt om hans gieldh fordran, weetandes intet af act b.te Arendator, skulle något till Cronom skyldigh wara eller lin nå"
13,Kexholm,0141_0143,"wara eller lin någon annan tänckte altså wara af Wällb:de H:r Landzhöf- ingen sagt allenast för sin gield skull. Resolutio Emädan såsom Retta befinnes denne saak wara af den beskaffenheet, att hon först dh"
14,Kexholm,0143_0145," ifrån Nyniska 3 Mons:r Hinrich Jonsson, begierandes af Rätten att kunna för hulpen blifwa till sin gieldz prætension som han hade Till Borgaren Jacob Brusson, för åtskillige Part= zelen, som hans inlagde r"
15,Kexholm,0143_0145,"gr 88 Dr 28 öre Kop:r M:t. här om tillspordes aff Retten b:r Borgare Jacob Bru= sison, om han samma gieldz ahn fordringh tillstoodhe hwar till han bejakade, men wiste icke huru han det nu strax ehrläggia ku"
16,Kexholm,0143_0145," annammat, ähn resterer 113 Dr 12 ör K. M:t är uppå tillspordes wärdzren Jöran Rennare, ne han b:te gieldz ahnfordran tillstodh? war till han swarade alt wara rätt, så när som en unna salt honom påföres för"
17,Kexholm,0144_0146,"et bestode uthi 74 Ors: Summar. här uppå tillspordes Rådmannen Wäll:tt Michell Düster, om han samma gield tillstodo? hwar till han icke neekade, uthan nu strax uppå b:te Rest lef- wererade 1½/2 tunna Smör,"
