,parent,file,context
0,Kexholm,0101_0103,"ns Broder Mårten winter Ifrån Wyborg hafwa warit tillstädes och således sin quota, som och dhe gode Intressenters än heel, till dhem som wederböhr afftagit samma ledes skall och denna Jürgen Klains swåger her"
1,Kexholm,0111_0113,"ti Sippi, Raßi Mattinpoika, att han intet betala wille, förb:te andeel och portion, medh hwilka han intresserat wore i förr benämbdes häste kiöp; hwar till Rassi Mattinpoika swarade sig intet wara skyldigh, e"
2,Kexholm,0112_0114,"synnerligit wittne eij kunde frambringe att be:te Rassi Mattinpoika skulle wara uthi samma häst köp intresserat, ty upp= skiötz till nästkommande Rådstugu dagh, att han då bättre thäll framten, skulle. Dito f"
3,Kexholm,0188_0190,"att ehrläggia och Contentera, och wijdare sökia sin regress hooß ren, som der uthi kenna saak weeta intresserade wara och wederböhra. D. 24 dito wedan Rådhståndh sades warande på Wällb:ne h:r Landzhöfdingens "
4,Kexholm,0195_0197,"ns:r Hinrich Blanken= hagen, på dher 247 Dr och 20 ör kmpt der eronen öfwerades all expens, med deß interesse ehr obligationen, hade att inwända; Men efr som han seder mehra förnimmer, der af förseen de wara f"
5,Kexholm,0199_0201,"17 ⅓ öre Sölfwer. Inspect. Mathias Alhenius, efr sin obligations lydelse af d. 8 Febr: A:o 1667 med interesse och expens. der det till 7 Aprilis ejusden Anni, icke ehrlagt blefwo, uthan der öfr för drögt worde"
6,Kexholm,0199_0201,"at; Altså, emädan Capiteinen der- emot att inwända icke hafr, ehrkennes han ofwanst penningar sampt interesset ifrån d 7 Aprilis, till d 2 20 hujus, med andre bewijslige expenser för reesor och omkostnadt, som"
7,Kexholm,0213_0215,"lket Compagnies Tobak icke skall warit dett Zachariæ Werman wore wäll kunnigt, doch till Compagnies interesse, uthi ken intet giordt; hwar utlöfa han begierte, att Särkinen nåtte sådant bewijsa; eller derföre "
8,Kexholm,0216_0218,"en Johan Matzon, till den obligation hen A:o 1661 d 16 Aug: på 102 Dr 13 öre Sm:tt med deß opplupne interesse, är obligationen, ifrig hafr, lagl:n Citerat wardt, och sig sådant till efr- rettelse intet, ey ell"
9,Kexholm,0216_0218,"ls wittne instält tagit; altså fälles han till treem markom, och till ofwämb:te hufwudsaak, med deß interesse, efr dett 1 Cap: Rådst: B. och ehrlägge mehrb:te gieldinna col sättning fiorton dagar och sätti bor"
10,Kexholm,0221_0223,"rsons Son och beswärade sig öfr borgaren här samma ledes, Jacob Brusison oppå 124 D:r 4 ör Kmt: wed interesse, som Rächningen uthwijsar dat: 2 Martij 668 Kexholm Jacob Brusison neekar intet till gielden kenner"
11,Kexholm,0222_0224,"ä 12 öre. Men interesset will han intet afwe och hafwr här uppå lefwererat 3 ℔ och 5 mkr à 3½ Dr belöger 11 Dr 12 ör, men b"
12,Kexholm,0230_0232,"thi Stadzens gömmo; efr dett 35 Cap i Rådst Balk, med dem andre hans Cammerater, som uthi så ma sak interesserade warit hafwa, blef opphutit till des man dem ifrån landet hem bekomma kan. Detta således wara pa"
13,Kexholm,0233_0235,"måla B. St. och handlingz ordinantiens 12 och 13 Articulio, plichta och umgälla, hwadh ahnbe langar Interessenternes Diffidys och twistigheeter; så nu der sådant medh hwar andra öfwerns komma och Lap- sökia, e"
14,Kexholm,0240_0242,"t à 10 mk:r Km:tt och förwägrar sig tillförende tt betala, till deß Enkia honom lijkmätigt der inre interessenterne betalar kin föregif:r honom intet hafwa något wist till sagt, icke eller hade Alhenius denne "
15,Kexholm,0247_0249,"er förtäring, här i Kexholm, uthi påstående action undsatt hafr; och af h.te Rätte uthi samma actio intresserat war hafwer dher och af honom, en portion der till opplärit Resolutio Såsom Borgerskapet äro till"
16,Kexholm,0325_0327,"rwar os hans föräldrar, och effter denne wore äldste bro- deren, och wore ähnnu uthi ett oskipt boo interesserade // han och derföre måtte til saken wara, inrich förehoin swarar, att han intet har warit 7 gömt"
17,Kexholm,0350_0352,"gen afhämptat, och fördt till Tiu- rula, att der måtte Edeligen examinerade blif: effter Compagnies interesse der uthinnan versserer. Föhrmannen Tynnis Hinderßon wardt fram kallat, och alfwarligen förmant att "
18,Kexholm,0355_0357,"som hin- in till Compagniet satt hafwr uthaf den deel - Henrich kan tillfalla; begiärandes der hoos interesset för Compagniet pgr som så lenge hafwr et warit, så wäll som reesorne hon i ahnfordran- i giort hel"
19,Kexholm,0356_0358,"äfwr ofwanskrefne proportion; Men der re- rande 52 Dr och 16 öre Km:tt som Scheder för penninge nes interesse, så wee som reesor och andre aff ser, hon med sin ingifne rächning prætendera der blifwa för denneg"
20,Kexholm,0371_0373,"odten, opå hwilken borgaren Hinrich Orduska skulle sig instält honom till swars om der expenser och interesse som han af honom försyne pgrs bortarerande sökte; Men såsom, han ähnnu sig intet instälte. ty oppsk"
21,Kexholm,0371_0373," Inläggiandes sin räfning om war Dat: d 31 Aug. 672, hwar uthinnan han Kalluncerar Wildman för eges Interesse, och andre expenser som uthi Rächningen Specificeras, till 12 Dr 12 öre Km:t hwilke efr der alle to"
22,Kexholm,0371_0373,", hijtt till ocholm att inställa; undrijkandes der med der många reesor och omkostningar, sampt det interesset som Inspectoren för Compagnis egrs bortawarande skäligen kunde fordra. ren såsom Willman alt sådan"
23,Kexholm,0371_0373,"et; ty hafwer Rätten icke kunnat skiäligen annars finna, ähn att om betalar till Inspectoren, först interesset soct der 256 Dr 24 öre Km:tt från d 28 feb: 671"
24,Kexholm,0372_0374,betalas innan S: ättning 14 dagar lijkmätigt det 7 och 16 Cap: I an- stugu 83. sampt Kongl. May:ttz Interesse-Placat är Executions Stadzens 4 punct uthgången 669. Men man der 100:de dal:r interesse ifrån d. 14
25,Kexholm,0372_0374,gl. May:ttz Interesse-Placat är Executions Stadzens 4 punct uthgången 669. Men man der 100:de dal:r interesse ifrån d. 14 feb: 672./. ähn då weed Actions begynnelse resterade blifwa här med opphäfne så wäll so
26,Kexholm,0423_0425,"0 D kommit weligen tillsagt, hwilket på 2½ åhr belö¬ per 50 Dr Km:tt 21 Men Samuel prætenderade opå interesse, för syne för- truchte pgr N. á 50 Dr km:tt Ifrån d 7 Juny 671 och ill 675 samma tijdh är fyra åhr "
27,Kexholm,0423_0425, á 50 Dr km:tt Ifrån d 7 Juny 671 och ill 675 samma tijdh är fyra åhr belöper effter Kongl: Maij:tz Interesse a å 6 pro Cento 12 Dr bem:te nen å 30 Dr i 2 åhr ifrån d. 31 July 673 till 675 wid om åhret giör 3 
28,Kexholm,0423_0425,ij effter de- 6 Cap i Rådst: B oppfylla och Grelß decourtera samma huußhyra 15 Dr 16 öre Km:tt uthi interesse för Samuels pgr. Lijkmätigt Kongl. Maij:tz interesse lacat à d 14 Novemb: 1666. Sammaledes framhade
29,Kexholm,0423_0425,ourtera samma huußhyra 15 Dr 16 öre Km:tt uthi interesse för Samuels pgr. Lijkmätigt Kongl. Maij:tz interesse lacat à d 14 Novemb: 1666. Sammaledes framhade Samuel Pålson en Stadzens bonde Matz Jöranson Apuine
