,parent,file,context
0,Kexholm,0097_0099," deranorlunda befins, då uth= kofwar han Johan Kebså, att wela swara till all hinder och hade sampt prætention som inspectoren Herman Brandt då sin herres kregnar hafr att fordra och tilltala och dher på gaffz"
1,Kexholm,0112_0114,"eneral Gouverneuren till denne Rätten sin recom= pendation, att han måtte förhulpen blifwa till den prætention, som han tilförende ahngifwit hafwer, i Arfrätt bestånde, effter sin morfade och Syster Sal: Sonka"
2,Kexholm,0127_0129,"Men emedan sådant icke effter kommet är, hafwer Rentmästaren begiert Arrest till afrächningh på sin prätension, dhe 100 Dr Kop:m:t som Perwoi Mitrioff honom, Unhagen, skylldigh är N:o 3. d 18 Februarij wijd or"
3,Kexholm,0130_0132,"a tillbakas igen när Rådmannen däster honom dhem försäkringen gif:r att han för alt ahädeståndh och prætension, som Monsr Wegner kunde Mortomer tig rächna, liberera vice så wäll hwadh Mortoiner för Em egen per"
4,Kexholm,0130_0132,"ers wägnar En rächningh emellan sin fader och handelsmannen wäcktt Hans Mortomeer. Om desse parters prætensioner wart opphutit til deß dhe hafors annors inlagor öfwersee kunde, och der på tillbörligen swaras N"
5,Kexholm,0132_0134,"Hans Monts meer, sampt Rådmannens Michel düsters hustru, och förlijktes sigh emellan om dhen gieldz prætension, som dem hafwer emellan warit, hwilket dhe ehn modade uthi Stadzens protocoll, skulle för- fattas;"
6,Kexholm,0137_0139,"Miska Cananoff allenast samma bodh för sin ahnsökningh tillställes h änkian sådan förwijdare gieldz prætension, befrijas, efr intet af hans egendom sigh till nytto brukat, eller resict fwer, hwilket och medh g"
7,Kexholm,0140_0142,"rendatoren Andres Grabbe, hwar uthi han honom wid säger der han, Arendatoren, icke honom sin gieldz prætention eläggia wille skulle honom en ohympt wederfahras, ten han i skifheet icke worde förgätandes, refer"
8,Kexholm,0143_0145,"Nyniska 3 Mons:r Hinrich Jonsson, begierandes af Rätten att kunna för hulpen blifwa till sin gieldz prætension som han hade Till Borgaren Jacob Brusson, för åtskillige Part= zelen, som hans inlagde rächningh u"
9,Kexholm,0144_0146," måtte tillhållas, at betala på sin patrons wäll:de Hans Wegners wägnar, de återstående schulld och prætension, han Rådmannen stoo Mehrb:te Wegner skylldigh wore, hwilket bestode uthi 74 Ors: Summar. här uppå "
10,Kexholm,0148_0150," som b:te Grabbe honom afftagit hafr om uppå resterer 100 ¾ Dr K:M:tt begierandes för hielpas a sin prætension, Insinuerandes der bredewijdh en obli- tion af Arrendatoren Grabben, På en Post Spanhl 200, Ennor "
11,Kexholm,0153_0155,"3 M „ 18 „ 16 ör Resolutio Såsom Borgaren Susma Erich icke kunde neka sigh wara skyldigh till samma prætension som öf- Specificeras, hwarföre lofwar han godwilligen så- dant Rentemästaren refunderas, doch för "
12,Kexholm,0160_0162,"ito Inlades uthi Rätten för detta Stadz Secret: Erich Arwijdsson Lijtzens breff ahngående en gieldz Praetention, han förmenar sigh aff Staden för giord tienst hafwa aff bekomma; Men såsom Borgmästaren Sal. Casp"
13,Kexholm,0181_0183,"tz Rådmannen Matz Jatinen, ahngå de Stadzens privilegier. P. 3. N: 5. p: 6: N. 8. Borgmester änkans prætension emot Stadzens frij- heter. p. 22. N:o 36. Borgmästaren emot Zacharias Bragh p 27. N.o 40. Berendt,"
14,Kexholm,0185_0187,"Rådikan på 2 eller 3 åhr att Con- sentera, för bligerat hafr. Behrmest och 6:de aug. ma, uppå samma prætention mehr eij hafwa opp luff i ähn 200 Dr. Knt uthi Rittigtiden att b:te Enkia och dher återstående 800"
15,Kexholm,0235_0237,"ynens hållande for Staden förorsakas sig att påtaga, föran delst Landzhöfdingen Hr Jacob Törnsköldz Prätentio oppå oppå Stadzens ägor, som han menar ehäligen kunna giöra, effter lagläßaren Zacharia wahmans dom"
