,parent,file,context
0,Kexholm,0070_0072,"bia Lasse, huru såsom han, af hennes Sohn, een häst för 36 D. K: M:t kiöfft hafwer, producerade een räkningh at borgaren bleef henne skyldige 27 D. 25½ öre K. M:tz, heremot bewijste Tobia Laße sin Contra räck"
1,Kexholm,0070_0072,"ingh at borgaren bleef henne skyldige 27 D. 25½ öre K. M:tz, heremot bewijste Tobia Laße sin Contra räckningh på 33 D. och 18 öhre, föruthan de Perzeler bondh hustrun icke will bestå sigh hafua bekommit, Nembl"
2,Kexholm,0070_0072,"ichsdotter præsen- terade sigh wilia gå Eedh at hon samma Pertzeler icke skyldigh war, eller effter Räckninghen undhfådh hafuer dij sadhe den loflige Rätten, det Tobbla Lasse, bondhe hustrun Margreten 15 D. K:"
3,Kexholm,0113_0115,"iöra, Emedan för detta Stadz Secretarien Wäll:tt Erich Arfwidßon litzen, samme gård å sin lööns och rächningh bekommit hafr. Anbelangandes dhe 64 Dr kopp:r som præsenderes att Sal: Claß Christersons Enkia, sku"
4,Kexholm,0130_0132," igenom sin son Erich düster, öfwer lefwererat. Dito Inlade Rådmannens Son, på sin Anders wägnar En rächningh emellan sin fader och handelsmannen wäcktt Hans Mortomeer. Om desse parters prætensioner wart opphu"
5,Kexholm,0137_0139,"lm och sädan ifrån Kurkijocki och till Kexholm ehrläggia böör. No. 25. Dito Inlade Simon Larsson en räckningh uppå nå gre Partzeler, som Henrich Jöranßon pijpa, skulle blifwit honom skylldigh, bestående i 43 D"
6,Kexholm,0143_0145,"z prætension som han hade Till Borgaren Jacob Brusson, för åtskillige Part= zelen, som hans inlagde rächningh uthwijsar, bestående uthi pgr 88 Dr 28 öre Kop:r M:t. här om tillspordes aff Retten b:r Borgare Jac"
7,Kexholm,0148_0150,"chelßon, Lars Larßon p Lamskom Borgaren ifrån Sordewalla, Mäntt öran Meyer inläggiandes i Rätten nu rächningh wet Arendatoren Andres Grabbe, ahngående någre ortzeler, som b:te Grabbe honom afftagit hafr om upp"
8,Kexholm,0148_0150," blifz hwijd sijne 100 ¾ Dr Km:tt hwilken grööra sigh af 24 ℔ smör, sampt någre andre Part- ler öfr rächningens uthwijsande, som Grabben honom är i Kexholm tillsade, och i Sordewalla tin att lefwe- ma, hwar p"
9,Kexholm,0167_0169,"ör. Medh denne saaken bleff upphutit till dess Casper Martin af Huken på inlefwererat godz -richtig rächning inlefwereras kan, och hwad ähnnu protesto finnes; så wäll som hu- ken om denne saken notificera. Di"
10,Kexholm,0172_0174,"ll nästkommande Juul betala och Contentera. N:o 43 Dito framlade Handelßmannen Hans Morto- meer, en rächning emot Josep Matzon, hwilken gield Sal: Johan Lyhapä wore skyldig till handelß- mannen i Skantzen wäl"
11,Kexholm,0179_0181,"Blankenhagen sade nöij, att han in- gen betallning bekommit hafr Då framlade freßen Blomkenhetrenne rächningar, hwar uthinnan befans, honom stun- dom högre och stundom lägre werderningarnij i godzet uppsatt /"
12,Kexholm,0179_0181,"m lägre werderningarnij i godzet uppsatt /: förstämdes detta, att han fört helerna i den förstgifne rächningen mindre wärderat hafwer, ähn han såsom ne Partzeler i dee seder mehra giordt månde :/ så wäll som "
13,Kexholm,0179_0181,"der mehra giordt månde :/ så wäll som dett, att han på sitt godz något uppburit hafr dett huus egen rächning uthwijsar. Dito begierte Parterne, att dee hwarannan Rächningar igenomser måtte om en fast den dher"
14,Kexholm,0179_0181,"dz något uppburit hafr dett huus egen rächning uthwijsar. Dito begierte Parterne, att dee hwarannan Rächningar igenomser måtte om en fast den dher twistade om, till nästkommande Råd stugu dag, hwilket dem och"
15,Kexholm,0179_0181,"n dher twistade om, till nästkommande Råd stugu dag, hwilket dem och effterlätz, och be- faltes dem rächningarne igen i Rätten inlefrerera. D 10 dito wed ord: Rådstugu dag när- warande på wällb:ne H:r Landzhö"
16,Kexholm,0179_0181,"rese ända skulle och gaf tillkenna, att han hafwer förlijktz med Postmästaren Jochim Freße om sijne rächningar, att dher nu intet dher om hafwa att säga mehr. Sentent."
17,Kexholm,0189_0191,"et underhålla skulle till b:te under han tribuera kunde, wille b:te Borgare honom effter en richtig rächning deedeligen Contentera för obligerandes sig en för alla, och alla för en ståå willia hwickan på åter"
18,Kexholm,0189_0191,"ig en för alla, och alla för en ståå willia hwickan på återtogh willia; Läggiandes inuthi Rätten en rächning af åthskillige Partzeler, belöpandes till 67 Dr m:tt begierandes till sitt förhulpen blifwa om deße"
19,Kexholm,0189_0191,"elöpandes till 67 Dr m:tt begierandes till sitt förhulpen blifwa om deße förb:te Partzeler som uthi Rächningen nu förde äro, bewinnar Elias hwans hustru /: som af af borgarne och sin egen man der till förord¬"
20,Kexholm,0189_0191," Krijdi emot sin gifne obligation f d 30 Jan: 667, sampt Postmästarens Jochim Fresses inlefwererade rächning, angående det för dhett, som Postmästaren till der inkomne Commissarier, på Borherskapetz wägnar gi"
21,Kexholm,0190_0192,"/: som Sal. Kyrkioheerden till bte Zitting skylldig wore contenterade blefwo, hwer uppå han och sin rächning anlade: Ty blefwo b:te Saaker M seqvestro, så länge arfwin- gare tillstädes kommo, och om samma ähr"
22,Kexholm,0204_0206," wägnar. så säger Postmästaren Jochim dem bestå, i der 50 Dr han sig befinner, effter hin- öfrgifne Rächning till huussen tillförende skylldig wara. Det och Presten bewijste. Med denne sant wardt oppehutit ti"
23,Kexholm,0215_0217,"n att han hade ingen tiänst giordt, derföre kunde in icke heller någon löön för wänta, Såsom contra rächningen, den i Sal. Borgmästarens ord giord är klarligen uthwijsar, elliest och swa- dee borgerskapet. At"
24,Kexholm,0217_0219," 8 mk: i förberörde B. No. 7. Sammaledes föredrogh Casper Mart; in huruledes Hans Mootomer, efr sin rächning lydelse de 27 Jan. 665, och Mortomars egen skriftelige bekennelse af d. 17 Februarij 668 till han W"
25,Kexholm,0221_0223,"eswärade sig öfr borgaren här samma ledes, Jacob Brusison oppå 124 D:r 4 ör Kmt: wed interesse, som Rächningen uthwijsar dat: 2 Martij 668 Kexholm Jacob Brusison neekar intet till gielden kenner att han A.o 1"
26,Kexholm,0224_0226,"o 22. Framsteegh för Rätten borgaren ifrån Nyen Mons:r Hinrich Blankenhagen och lade uthi Rätten en Rächning emot Oluf Johanßon Lijhapä oppå 254 Dr Km:tt och 18 ℔ Smör, besirandes till dett sinigit förhullpen"
27,Kexholm,0225_0227,"gen. N.o 24. Framtredde Jochim Gardelink, full- tiga Befallningman Nielss Olufßons  inläggiandes en Räkning emot borgaren Jö= ran Nielson haike der uthinnan hon Prӕten= derer 449 Dr 24 ör, Km:tt begiärandes "
28,Kexholm,0225_0227,"l dett hinigit förhullpen blifwa. Swaranden Swaranden Jöran Nielson Heike inlefrere- rade en Contra Rächning emot Befallningz- mannen Niels Olufson, men såsom han intet verificera kunde, hwadh han der uthinna"
29,Kexholm,0235_0237,"lef. d 20 dito weed ord. Rådstugu dag, närwarande Borgmäster och Rådh. No 4 Sammegång blef Stadzens Rechningar för Berga- skapat oppläßne, och nenonstrerat till hwadh uthus Stadher inträder ahnlagde äro. Dito"
30,Kexholm,0236_0238,"ffa kunde; ty slötz saken till effterfölljande Sentens. Såsom Matz Olkonen befinnes, efr en richtig Rächning, wara ähn nu skylldig till Simon Hinrichsson 36 Dr Km:tt dy dömmes han dem betala innan, Sootsättni"
