,parent,file,context
0,Kexholm,0078_0080,"Pertzeler, derföre kundhe han icke gifua kan nen ifrån sigh. Sentens Emedhan Simon Larsson sielfwer tillstår, at Inge= neurens hustru, kannen för 14 D. K. M:tt i pant satt och honom sielfwer giäldhen uthi Ry"
1,Kexholm,0079_0081,"ill pa Hafft 1. håcka, men om dedh andra riste han ingen dingh. Effter Peter Sigfridhson Liuro icke tillstadz war opskoff saken till nästa Rådhstugu daghen. Den 16. Septembr Confererade Borgmestaren och Rådh"
2,Kexholm,0093_0095,"off tagne ifrån Sigfridh Matzsson på betalt ningh, hwilket Swaranden lijkas son Treta nu sedermehra tillstådh, och ehuru wäll fadhret medh godzet i Ryssernes hender bort bleff so hafuer Sonen Tretko sin fadh"
3,Kexholm,0098_0100,"an gon skeenligen, det hon både hafwer flickan spijssat, såsom af hennes dotter och egen berättelse tillstådt, sigh dhen tryck och öhl som eij hafwer förmåt uppdricka på hennes pijßöhl eller tahre tunna upps"
4,Kexholm,0098_0100,"na uppslagit, och eij föräldrarne sin en upprichtigh menniskia till Anna gifwit dotteren Mari sielf tillstådht som in actis förmäles medh henne Carin till 20 penningas i handlingh warit, dij ehrkänner henne "
5,Kexholm,0100_0102,"ell düsters handz ehrifft uthgifwin i Wijborgh då 24 februarij 666, dher uthinnan han Michil duster tillstår och förbinder sigh be:te Bössman för af kiöpte köpmans wahror, wara skyldigh blefwen 675 Dr 8 ör K"
6,Kexholm,0103_0105,"cke hafwa uppkiöpt, uthan allenast uthi sin boodh insatt tillköpz. Sentens Ehuruwäl Rätten hade; dt tillståndh och fogh att fåkfelle Rådmannen Michel düster Simon Brusikoin, och Jö= ran Rennare, till 40 mkr "
7,Kexholm,0106_0108,"ifwa be- talt Dito. Tillsattes Larß Petterßon kämpe till Corporat uti Pecko Hackarains Stelle. Dito tillstå Henrich Hinrichßon Krijt, sigh hafwa öfwer roodt på rij sijdan, och köpslaga medh bönder na som sin"
8,Kexholm,0113_0115,"rr Specificerat är. Resolutio Emedan Borgmester, kan och hennes fullmechtige angrihen Arendt Beijer tillståå att samma Silff komma hafwer warit i hennes Sol: mans för- warningh medh halßbanden och Cronorne D"
9,Kexholm,0113_0115," i 12 3/4 D:r K: 2 Cronor och 2 halsbandh. effter Sal. Borgmestaren dett uthom rätte arf- wingarnes tillståndh försålt, och uthlefwererat, hafr. Men gårdzwärdet 60 Dr K:ne tillståår honom Staden att satisfac"
10,Kexholm,0113_0115," uthom rätte arf- wingarnes tillståndh försålt, och uthlefwererat, hafr. Men gårdzwärdet 60 Dr K:ne tillståår honom Staden att satisfaction giöra, Emedan för detta Stadz Secretarien Wäll:tt Erich Arfwidßon l"
11,Kexholm,0120_0122," H Landzhöfdinge ahn modan och intercession, ahnseedt mestendeeles denne wäll- Mårten Rättos slätta tillståndh 8 T:r Smöör, och 4 t:r Salt /: hwilc- alt Capitein Spångh annammat hafwer :/ tillijka med sin sk"
12,Kexholm,0129_0131,"n för Retten nedersatte, hwilket doch af Rätten tillåtit bleff undertijden, för öfwerstl: siukelige tillstå skull. I blandh annat allehanda Oliud inför Rätten Freesen höll för dhet öfwerstl. begierade hans g"
13,Kexholm,0133_0135,"et skiält Erich Olufson för hanery emädan han honom håårdrogh, och intet annat mehr; och wid dufron tillståår sammaledes honom Düster igen skiäldt hafwa, ut in actis förnimmes, och Eris Olufson prӕtenderade "
14,Kexholm,0147_0149," tillhållas sådant bewijsa, dhet han honom skylt och tillmätt hafwer. Dito Rådmannen Michell Düster tillståår, att han haf förwägrat Johan Pärson uppmäta sin öret, medh någon wämmande bessman, för ähn Borgmä"
15,Kexholm,0151_0153,"t Thurckain en kinpust, för det han först slogh Johan Eskillßon, hwilket både Thurckain och Rotinen tillståå. Sententia Såsom Änte Thurukain tillståår sigh hafwa gif- Johan Eskillßon Kinpäst /: som i Stadzen"
16,Kexholm,0151_0153," slogh Johan Eskillßon, hwilket både Thurckain och Rotinen tillståå. Sententia Såsom Änte Thurukain tillståår sigh hafwa gif- Johan Eskillßon Kinpäst /: som i Stadzens ährende uthsänder war :/ dy felles han "
17,Kexholm,0152_0154,"an skulle uppbyggia sin stugu, hafr tagit pgr aff honom för näfwer 7½ mk. kop.r Cussma Erich sielff tillståndsmen höll intet lofre 151"
18,Kexholm,0162_0164,"t hafwa, gifwandes Inspectoren så wäll som Cammerera re wäll:tt Nilß Olufson, eller deras Arfwingar tillståndh och fullmacht uppå sin B:rs wärnar samme 2400 Dr K:tt af Brodeckars att lagsökia effter egen Bod"
19,Kexholm,0187_0189,"rich Kuissma att han honom hafwr lånt 7 Dr Km:t i förledne Sommar i Narfwen, Swaranden Erich Kosma, tillståår sig sådant wara skyldig, och lofwar sig sådant i morgon willia betala. yttermehra ahnklagar Johan"
20,Kexholm,0187_0189,"Gröön och intet weetat rättare ähn dett der wore richtigt lefwererade. Sententia Såsom Erich Kossma tillståår sig hafwa undfån git af Johan Brönen 7. D. Km:t förledne Jonas i Narfren, och nu med fåfänge till"
21,Kexholm,0195_0197,"hafwa, icke der emot något schiäligen kunna att prætendera, uthan således wara passerat bekänna och tillstå; Ty dömmes der mehrb:te skulldfordran, nämbl:n 535 Dr 16 ör Km:tt Innan 14 dagars förlopp, efr det "
22,Kexholm,0218_0220,"rucken och wiste icke der af uthi hördt säijas att andre skole något hwardera gior Till dett andra; tillstår han sig en gång hafwa uth fängelset uthgångit sädan, dett wart sönderså git; beroopandes sig på Wä"
23,Kexholm,0220_0222,"ningar e- expenser 100 Dr SM:tt godwilligen Abuera en lån der ingen annan wiste som deras saker och tillståndh bättre bekant wore, och dätt för dem beställa kunde, Uppå detta gaf Borgmästaren Borgar, Lar til"
24,Kexholm,0236_0238,"hafr weetat annars ähn dee wore ächta; Men såsom der honom sielf ärte mehr ähn 11 mk:r Kop:tt kommo tillståendes, dy hafr hafr han förnekat Philip sig med dett köpet skulle befatta; för omänskapz skull, när "
25,Kexholm,0240_0242,skyldig 24 Dr 24 öre Km:tt begiärde att kunna komma till sin betallning. Swaranden Mathias Alhenius tillstår gielda nen säger sig hafwa att fordra af Fyll Thomn om 10 Dr Km:t förmedelst dett han hafr efter l
26,Kexholm,0244_0246,"ak bort du af- ankade hundzfotz. Sententia Emädan såsom Påwel Christen, så wäll sielf en öfwertygat tillstår, sig hafwa kommit uthi Constablen Thomӕ Carlssons gårdh, sökiandes att inna hämpnas å honom, för d"
27,Kexholm,0250_0252,"aren Hinrics Willdman, ahngående dett Tobaket han skulle hafwa olofligen in fördt och för söldt. Då tillstadh Hinrich sig hafwer hafft wahr Tobakz ifrån Narfwen, säijandes sig hafwa dett ähn- gifwit hoos Bef"
28,Kexholm,0254_0256," som Wildman med aflagden Edh å lagbook bekräfftade sig hafwa af Befallningmannen Nilß Larson Lundh tillståndh hafft att frijt försällja här i Kex= holm, så wäll Inspectoren Erich Hanßon honom dett tillgifwi"
29,Kexholm,0255_0257,"ty blef saken slutin till effter fölljande Sentens. Emillan såsom Grelß frijßon icke allenast sielf tillståår, uthan och lagl:n öfrtygat, sig hafwa åtta 47 6# Engelsk tobak uppköpt uthi Narfwen mot Kongl: Ma"
30,Kexholm,0255_0257,"uthi allo, eller och en satt; werde då för dett öfrigit straffat obitraliter, och hafwe sådan frijt tillståndh n regress att sökia, hoos dem han weet weder- böra, som bäst han förmå. Dito wardt Grelß Erichßo"
31,Kexholm,0259_0261,rr Gustaff Soop resolution af d 11 Martij Anno 16bs således att Karfwen och Nyen skall hafwa frijdt tillstånd Tobak ifrån främmande orter att förskrifwa och förhällia till Ryßar; doch med sådan Condition att
32,Kexholm,0270_0272,"rilis 670, uthi Retten, gifwin af andt fischalen Matzia Alhemio oppå 89 m:tt hwilken gield Fiscalen tillståår wara opprichtig, lofwandes och den fram för någon annan, först af sin gårdh här i Staden, så myck"
33,Kexholm,0288_0290,"någre bättre skiäl oppwijsa kan; lijkmätigh d 1 Cap. I JordaBalkes Landzlagen; och hafwer så frijdh tillståndh der han har landh att bruka och des strandh, efr som icke kan bewijsas att der till Cronones beh"
34,Kexholm,0288_0290,"ätten umdt Fischalen Alhemij twenne Obligationer ene daterat d. 11 Aprilis 670, hwar uthinnan hulen tillståår sig wara opprigteligen ledigh till Rautmästaren 89 Dr SM:tt dem lofwar framför någon annam af sin"
35,Kexholm,0293_0295,"ee 2 rullar Tobak, som han säger att besökia skulle af dett confiscerade godhet bortagit besökiaren tillståår sig hafra den ens wäl som allenast något opå botn igen war tagit och deelt emellan dem som talan "
36,Kexholm,0293_0295,"ldt uthi Kaika Mathis gårdh, Men intet wiste han om dett war af botn, eller dem heela rullen. medan tillståår sig hafwa något lijtet och så ma botn försåldt Krögaren Matz Matzon Poika, sade sig willia giöra "
37,Kexholm,0293_0295,"nat tobok, af sam- ma Confiscerade godz försåldt, ähn allenast dem ene rullebåten, som Eskiäl sielf tillstår sig hafwa tagit. Ryßen Ryßen hade han trodde honom wäll uthan Eedh Eskill hade dett öfrige wäll ku"
38,Kexholm,0299_0301,"hafwer han där andre bonden förbättrat Andre gamble bandh, som förr hade wart större tunnor. utorne tillstå, att Såfring hade sagt i för dher wåhr, att han hade alla bärden på git, föruthan der 2. nederste b"
39,Kexholm,0303_0305,"taphan. Påwel Andersson tillslogh att der hafre leget nu samma på Lodia, och ingen af borgarene med tillsta 2dr Om Eskills pgr få räll som Staphan wore mähr Behnämmens wadh uthi hampum R qr een Eskill hade t"
40,Kexholm,0313_0315,"h Pirhoin med sin son Ekill, neka  alldeles sig hafwa honom någon Löön tillsagt, eller  tingat; men tillstå sig hafwa weelat med honom här i hampnen hafte betingat om styrmans Löön, de  Samuel intet sådant h"
41,Kexholm,0313_0315,"wara? Då hade Eskillss fader och svarbruder  befallt, att Eskill skulle föllja ander skutas effter  tillstår och Eksill att hafwa sagt, att om iag icke kan minresa bortsättia? Så will iagh omstunda och mitt "
42,Kexholm,0315_0317,"s 14  Swaranden Alhenius hafwer emot h:te obligation gield intet att inwända, uthan den richtigt tillstå:ne præsenterandes sig till Cautions sättningh, och lofwade till Morgons affton att willia förskaffa"
43,Kexholm,0316_0318,"ågon. betal- ning denne saken slös till affterföllande Sentens. Emädan såsom Jacob Hinrichßon sielf tillstånd sig hafwa gifwit opå borgen, till Soldaten Jacob Manhain, tobak för 2 örekm:tt hwilket han uthi s"
44,Kexholm,0322_0324," beswärandes sig öfwr borgaren samma Pålsson, att han wore skylldig honom 95 Dr 8 ör ku och der opå tillståår wara betalt 20 Dr 10 öre, för uthan hwad Frachten kan belöpa, som hennes wor- skylldig till Samue"
45,Kexholm,0322_0324,"onom liugare, Tillspordes Samuel om hon intet wille tillåta Henrich till Eedhz, effter hon ju sielf tillståår att hon har försåldt hinrutzwahror, som hinrich uthi sin räckning hafr oppfördt; och Samuel kan i"
46,Kexholm,0326_0328,"wel Båtz- nonnen ett blodh ståår igenom öfer löpz lukan. m:r kuärn med en stångh; detta blodh såret tillståår och för detta Amptmanen Jacob Larßon, sig hafwa sedt; mehr tiste Gabriel intet att berätta. Sedan"
47,Kexholm,0328_0330,"fattade sig då, med ndzens bönder, äfr dee den gången lågo i Stridh lagläsaren, och Lagläraren hade tillståndh Stadzens under att afdömma wed tinget; Ty kunde Barn- ästaren der till intet giöra, förr ähn sak"
48,Kexholm,0330_0332,Prästen. Denne saken lötz till efr fölliande Sentens. Smädan såsom Stadztiänaren Larß kauppan sielf tillståår sig hafwa stulit uthur Rådhstugun wäd kiortill á 32 Dr sampt 36 Dr Km:tt altså hennes han af Kong
49,Kexholm,0337_0339,"ch ähnnu fr att fordra 21 Dr hw:t dem han begierte, att änna till förhielpas. waranden Erich Nilßon tillståår gielden, men äger sig intet hafwa pgr. uthan biuder Kymneken en häst och att han måtte få tillbak"
50,Kexholm,0345_0347,"åtte Spanmålen Om han hade hördt honom begiära af nå- om, att dee skulle mäta 2 V:r öfr R. neij Man tillståår att han har oppmätt först f:r at sädan har han begynt Spanmålen göra med Hinrichz hustroor, 2 ski"
51,Kexholm,0348_0350,"n ährlig och opprichtig bod gare Tillspordes Johan Heuri om han oppskref, de der byro R. neij. dito tillståår Staphan Pelli at Eskill har williat i hambnen fall sin egen Spanmål, och icke kior Jöms- R 27 Jan"
52,Kexholm,0351_0353,"e Km:tt som hin er samma gång då gifwit till Thoman, och ade detta skedt 6 weckor för Påska. Thomas tillstår sig hafwa bött 3 mk:r för orätt Vitt nde. Sådan framhade Thomas Caelson en i wäfware gesäll, huari"
53,Kexholm,0352_0354,"rföre tilliat swara enne saken slötz till effter, efterfne entens. mädan såsom Hinrich Suikan sielf tillståår"
54,Kexholm,0355_0357,"ildman allenast skriffteligit swar opå Citationerne till Ingecko, i skickat hafr, hwar uthinnan han tillståår ähnnu 100 Dr Knt: skylldig wara, dem hon ost in octobri 672 richtigt lofwade Contente- a. Men sås"
55,Kexholm,0355_0357,"l sig dhe komne Citationer, sielf Pärsonligen icke instält; uthan i sin skrifwelse af d. 27 Junij 2 tillståår och bekänner sig wara 100 D:r Km:t skylldig till Inspectoren H:r Petter Scheder, den en sig lofka"
56,Kexholm,0361_0363,"ade warit hoos Capitein, sagt at Capiteins har lofwat strax att skaffufolk, hwilket han och giorde, tillstår och denne Ryttaren att Hoppman Ortken har slagit Soldaten Parda en Lind Pust, och fördh honom uth,"
57,Kexholm,0364_0366,"ade gården, strax öfr Strömmen wijd Staden beliggiandes. Copian af Leutnamptens Attets Underteknadt tillstår och bekänner att förleden den 2 Martij, innewarande åhr be- gerte Corneten H: Hans Hinris Rebinder"
58,Kexholm,0367_0369," Nötheborg öfwer Natten, och denn bonden reste uthaf befästningen med Saltsta till hakelwärket, och tillståår denne bondet att han sådan om morgonen kom igen till Jatinen, och wille hafwa honom bort med sin,"
59,Kexholm,0367_0369,"ppe alt åth Prästen Ambrosium, hricket och bonden Perkom, och då rörses der intet mehra; Men atinen tillståår sig tillförende sielf hanfer wit om morgonen der med Wachtmästarens sten, och då haf:r han soldt "
60,Kexholm,0386_0388,"oren Zacharias Månßon, hwar uti befinnes Kem:t Thomas Olkonen, som är hoos bem:te Inspector tyttars tillståår sigh be:te peningr wara Skyldig, der lofwa- nu – „ 20 D:r och i Näst kommande Winter betahla, och"
