,parent,file,context
0,Kexholm,0148_0150,"ari pånadt 663 när han af b:te Meijer wore richtigt Con- nterat; hwilket skedde när Meijer honom en Wexel frå på Evert Huch i Skantzen, hwar medh Grabben wo- på afrächningh Content, hwilket och Meijer efft"
1,Kexholm,0148_0150,"hningh Content, hwilket och Meijer effterkom exelen bestående af 1 200 Dr K:mt Men wart honom henne Wexel af Arendatoren igen Erikat, medh begiä en wille honom Corrigera, effter det formular han, litren ut"
2,Kexholm,0148_0150,"nam derefuer, hadet Tochmojerfri fulle honom fråntagas, hwilket och skedde, befruchtade in någon ny Wexel att under skrifwa, behölt altså Schularen, med den förra gifne Wexeren; om henne föresagde Spanll p"
3,Kexholm,0203_0205,"mwahrar  schylldig wara. Swaranden Postm:re Jochim Freße; bewisar uppå denne ahnfordran, efr hukans wexel af d 21 Jan: 664 3 och 4 ör Km:tt betalt hafwa. Noch en Assignation d 3 febr. 664 26 Dr Km:tt Dito "
4,Kexholm,0652_0655,"rdrar för 7 al:r Rask så blifwer dher medh opskutit till dess lagligh beskendh och Attestatum ifrån Weckelax 11. Weckelax inkommer, om samma Rask på huus Hyran eller påbetahlningh ähr lefwererat. Hans Gutz "
5,Kexholm,0652_0655,"l:r Rask så blifwer dher medh opskutit till dess lagligh beskendh och Attestatum ifrån Weckelax 11. Weckelax inkommer, om samma Rask på huus Hyran eller påbetahlningh ähr lefwererat. Hans Gutz mesten breef "
6,Nyen/RO_1684-1687,0059_0059,"etahlningh som honom uti Rächnin gen påföres, och såssom H. Öfwersten berätt? sigh gifwit Torsbergh vexel till Ståckholm på samma 1000 D:r och Vexelen intet kommit med protest till bakars förmodar altså si"
7,Nyen/RO_1684-1687,0059_0059,"s, och såssom H. Öfwersten berätt? sigh gifwit Torsbergh vexel till Ståckholm på samma 1000 D:r och Vexelen intet kommit med protest till bakars förmodar altså sigh haf:a præferentien till Räntemästarens g"
8,Nyen/RO_1684-1687,0171_0171,"obefogat. Så bewijsar Actar, der emoth 1: huru såsom han strax A:o 656 uthi Septembr har begynt per wexel at infordria dhe nu strijdige medel, och då dhe samma honom wägnades låtit förmedelst Notarii publi"
9,Nyen/RO_1692,0040_0040, huru såssom han uppå undfångne ordre af Köpman Jacob Stampel Hinrichsson uti Newal effterfölliande wexel¬ Amsterdam 22 April 1692 ö: 330 Cassa Dier Wecken haar sicht geliest te betahles egende ordre van m
10,Nyen/RO_1692,0040_0040," Petter Ladden an¬ gående, hwaruthinnan han giordt sig skyldig en Upt Dett leff Jochims framteer en wexel af Am- sterdam."
11,Nyen/RO_1692,0041_0041,"haf:r, men för än han Ausen fåår sin Satisfaction här uthinnan, kunde han intet myckit mindre denne wexel af 330 gl. betala; Altför¬ den skuld protesterade bem:te Deblef Jochins å sin Pen¬ cipalis wägnar, "
12,Nyen/RO_1692,0041_0041," gl. betala; Altför¬ den skuld protesterade bem:te Deblef Jochins å sin Pen¬ cipalis wägnar, effter wexel Noustume på all hin¬ der, skada och omkåstnadt, som igenom det, att Råd¬ man Hucken denne wexlen ei"
13,Nyen/RO_1692,0147_0147,"hias Pilse Handelsmän, för¬ ordnades til bijsittiare uti kembner Rätten Dettlet Jochims framteer en wexel af köpman ifrån keval Jacob Stampel Hinrichson åth Rådman Hucken Dito Forbime och Johan Hinrich Fri"
14,Nyen/RO_1697,0130_0131,"era Bomgardts Hueck, att emedan han förlängst af Handelss mannen i Lubeck Jacob Hubens erhållit een wexell oppå Handelssmannen Andreas Bomgardt, hwar om han här tills een och an nan gång påminnelse giordt, "
