,parent,file,context
0,Kexholm,0092_0094,"e honom wara witterligit, at uthi samma åhr, när Ryssen hadhe wore kommer her förstadhen, sin Sahl: fadher medh Sigfridh Matzson Merron om kiöttet handlat och honom betalt, men om denne anfodringen wijste h"
1,Kexholm,0102_0104,"r blifwa, uthan här ifrån för jajas. Dewilliades Henrich Pelle halfwa delen af de Ängier effter sin fader, och den andre helfften broderen Johan 101"
2,Kexholm,0129_0131,": i Rådstugu B: till Saak 12 öre Sölf:r M:tt./. N:o 6 Dito Framkom frich Michelsson düster uppå sin fader wägnar, åkärandes på hinrich klåckares dotter Mar- gareta, att hon hafwer tagit för Jul ett faat öö"
3,Kexholm,0129_0131,"kärandes på hinrich klåckares dotter Mar- gareta, att hon hafwer tagit för Jul ett faat ööl af hans fader Wäll:tt Michel düster att försällias, och hafr peningarne dherföre icke till fyllest uthbetalt, uth"
4,Kexholm,0130_0132,"düster, öfwer lefwererat. Dito Inlade Rådmannens Son, på sin Anders wägnar En rächningh emellan sin fader och handelsmannen wäcktt Hans Mortomeer. Om desse parters prætensioner wart opphutit til deß dhe ha"
5,Kexholm,0151_0153,"Simon Larssons dotter una Simons dotter begierandes att gånge till hifftes uthi arfwet öfr sin Sal: fader och moder tad sin Styfmoder h. Elin Sawolain, hwilket och af wen Consenterat blefft, och Committera"
6,Kexholm,0167_0169,"o begierade Casper Martin, att dett måtte fattat blifwa uthi protocollet, att freßen skiälde Hukens fader för en panceroff och mäklare, Dito säger Jochim Freße, att Casper sager dett ingen ährlig karl skal"
7,Kexholm,0245_0247,"psela by, Anders Simonson Lannukain; begiärandes ett Attestatum om dett be i sanning wore, att hans fader broder samt fär- en hade warit Borgare här i Kexholm, på 5 åhr ingiörande för rupturen 656, och hur"
8,Kexholm,0247_0249,"r b:d hwilken blef tillfrågat om dett barnet hon i Lönskeläge bekommit hafr; hwil- kan som der till Fader wore? här till swarade Lönan Elin hans dotter. att den Leutnampten Zacharias Mäyer, som till- fernd"
9,Kexholm,0247_0249," Leutnampten Zacharias Mäyer, som till- fernde hade tiänt Wällb:ne H:r Landzhöfdingen wore der till Fader. och wiste af ingen annan eij eller wiste hon hwart han hafwr tagit olägen, emädan han strax effter"
10,Kexholm,0271_0273,"ådhman om Erich Erich Simonsson tillstodh wara wist, som sådant elt hafwer då af Jeremia Michelsons fader. dt, och af samma Michel Larsson tillbudit altten att behålla och der uthinnan Inter- wallade wara;"
11,Kexholm,0271_0273,"öre han och dett af Jeremij Michelson sökes: Borgaren Jeremias läger, att dett war så länge att min fader att anna fader effter den sijden lefde så wäll som dett att comendanten och war, qwar: hwarföre han"
12,Kexholm,0271_0273,"t af Jeremij Michelson sökes: Borgaren Jeremias läger, att dett war så länge att min fader att anna fader effter den sijden lefde så wäll som dett att comendanten och war, qwar: hwarföre han sådant den gån"
13,Kexholm,0271_0273,"comendanten och war, qwar: hwarföre han sådant den gången fr sökt hade? efr han wäll wiste att hans fader de köpt teglet af Commendanten, der andre 100 st: tegelstenar säger Jeremias wara länge betalt, opp"
14,Kexholm,0273_0275,"minen? Staphan Sigfrijdson swarar: att emädan af hafr nu igen funnit samma helfftuma os dig och din fader, haar uthi pgrne wore frågar iag och så, hwart pgrus hafwa tagit wäl en? till säger. Haffer icke ia"
15,Kexholm,0285_0287,ade och Ryßen att han hade gifwit Eij en halfftunna hafra och 3 Dr pgr för hwilket han skulle häste fader köpa emellan Nyen och Aunisma. Erich Erich begierte att dett måtte protocolleras att Ondri beskyllt
16,Kexholm,0304_0306,"och intet sedt att Staphans fader Sigfret hade någor annorstädes uthtagit pgr an köpslaga medh, ähn allenast af Ståål hu tunnan, efft"
17,Kexholm,0304_0306,"r, ian, fördes opp med bååt; och kunde den ugun uthi båten intet mehr föhras. gr Staphan eller hans fader Sigfred tet nämbde, att der hade ähn då en halftug i i hampnen liggiandes i lodian, Rr eij, sade at"
18,Kexholm,0304_0306," bekände, att denne tunnan nu strijdes om, war dem samma, som ill här tagit igen them hoos Staphans fader ifredh och hade han sedt när Erkill kom ifrån med medh denne tuomar som nu strijdes - hwar opå han "
19,Kexholm,0310_0312,"de budit till att willia sig 100 Dr Km:tt mehr ähn honom tillkommo, till- egna; Men såsom Pirrkoins fader, haf:r om deras köphandel noga inqvirerat och befunnit Sigfrijd wara oskiälig, dy hafr och Pirhoins"
20,Kexholm,0310_0312," haf:r om deras köphandel noga inqvirerat och befunnit Sigfrijd wara oskiälig, dy hafr och Pirhoins fader /: som och Sigrijtz Swärfader :/ intet låtit Sigfrijd b:t 100 Dr föllja. Sigfrijd swarade, sig alld"
21,Kexholm,0313_0315,"t sig påtaga; och  swarat, om något kommer skuten weed, huru will  iag dett swara? Då hade Eskillss fader och svarbruder  befallt, att Eskill skulle föllja ander skutas effter  tillstår och Eksill att hafw"
22,Kexholm,0314_0316," Stockholm öfwerfallit skull med hugg och slagh, så wäll som åthskillige skiäldzordh; skyldt Eskilß fader för- fullkomlig tiuff, såsom Gabriel Mårtenßons Attest utwijsar; och om slagzmåhlet förrige An- man"
23,Kexholm,0319_0321,"tt hon har tagit sig rat frömmande till nampn, som honom intet, uthan Adel- män till kommer. ty din Fader har aldrig amt- kallas ähn Orduska. ytterst, den Wildman reed till honom i gården så var dett af de"
24,Kexholm,0320_0322,"ampn som Skiälm: Postmästaren tillstodh sig hafwa ligt, att den som tager sig annat nampn, som hans fader hafwer hafft han är jag intet lättre ähn som en skiälm? wijdare bekänner kes, att han intet uthi fö"
25,Kexholm,0326_0328,"uthan fick honom först i håret; och sedan dher ände igen att träta, hafr Samuel sagt till Eskill in fader hafr stulit ifrån mig lijn i Tyfin: Sädan kände han och, att Samuel hade slagit Påwel Båtz- nonnen "
26,Kexholm,0339_0341,"aders gield böcker, effter Blankenhagens Sal: faders gieldböcker, äro bortkomne, tillijka med: hans fader till Rysten. Käranden Jeremias, lofwar willia wijsa gield böckarne men som sig intet weeta om der u"
27,Kexholm,0349_0351,"a hwarteera sin deel och Arf, som dee skipt hafwa med sin moder och bröder till- innan efr sin Sal: fader, innädan der i hoopa icke kunde längre förlijkas. äntan tillsade dem detta skifftet, att der och nu"
28,Kexholm,0353_0355,"ramster för Rätten Eskill Piel och begierte att få sluut oppå der beskyllning som Johan feuri, hans fader Hinetz Perichon hade tillagt, nämbl: att han skulle stulit 2 g röng ifrån Clas waro, såsom ransakni"
29,Kexholm,0355_0357,"otter, som effter aflagd ledh bekände, att Henrich krijdi hade först sagt skiämpt att Johan Matzons fader skulle frij till denne hustro, då Johan haf:r begijat att märka sk torka, och sagt att dett wore en"
30,Kexholm,0356_0358,"sig hafwa höö- att Hinrich Krydi skulle hafwa opå skämpt sagt an du skulle nu frija bort den gamble fader till denne hustrun, Helena Päderßdotter, då Intin- hade sagt, frija du bort honom, som är oskyldz t"
31,Kexholm,0370_0372,"ig. betiente altså att kunna nu till sin befallning komma: hållandes som i detta fallet weed Johans fader Rådman Mathias Jaten, som skall för sin som hast borgat. Swaranden Johan Jutinen säger sig willia m"
32,Kexholm,0370_0372,"an förrhoin emädan hwar opå hans ordh hafwer uthlefwererat Soldet 66 5 han förer, att Johan Matzons fader, Råd man Matz Sutinen, sade sig en för Rätten intet äfwa befalt, att opå hans nampn något skulle fw"
33,Kexholm,0385_0387,"rbroder Pirkoin hade wetat, at denne hade pengr utan gissat at Pirhoins Sohner, hade sådant för sin fader bekiändt, efter fadren begierte honom at spela med sigh då denne gåssom skall först i begynnelßen n"
