,parent,file,context
0,Kexholm,0550_0552,"Sal: Hopmans H. Nils Ollßons son Mr Jacob Printz, fullmechtig å sin Mo- ders wegnar, den dygdesamme Matrona hustru Elisabeth Blankenharen, begiärandes att förra Stadztienarens Heike Ripaises intygande om den"
1,Kexholm,0558_0560,"e Rådstugu, Närwa rande Borgmestare och Rådh. Hopmannens Sal: H: Nils Olofßons Enkias dygde- sammer Matrona hustru Elisabeth Blankenhagens fullmechtige borgaren Staffan Meroin beswärade sig dett Capiteinen E"
2,Kexholm,0926_0929," acht:tt Carl Printz ett Document och oprättadt testamen- te, effter dess k: huus ähras, dygdesahme Matrona-"
3,Kexholm,0927_0930,"j 3:ne främmande Mäns nährwahr giorde utslåtellße, Daterat d. 24. Octob:r sidstl:e, hwar uti bem:te Matrona Anna Bruun fullkombl:n testamenterar all dess ringa oInvente- rade qwarlåtenskap i löst och fast ti"
4,Kexholm,0927_0930,"ningh, sedan dhen högste behagat henne ifrån denne sellheeten hädan kalla. Hwilket testamente berde Matrona d: 26: hujus då hon märkiandes siuk: domens häfftigheet, låtit till sigh kalla sin Siäla- soriare o"
5,Kexholm,0953_0956,"tij, höltz ordinarie Rådstugu 3 dagh. 22. Inlade Sahl. Befallningm:s Diderich Böismans La dundefame Matrona hustru Margaretha Caprka een skrifft, hwaruti hon begiärer een richtigh och laghl:n Inventering, wä"
6,Sordavala/s1,0154_0155,"den nu mehra hoos Gudh Sahl. Johan Berentz effter låtne Enkia gudh- fruchtigh och myckit dygdesamme Matrona hustru Elisabet Holmbäkz Breff Daterat Narven den 20 Aprillis blef förretagit, hwauthinnan hon berä"
7,Sordavala/s1,0154_0155,"an Jämbwähl En rundh tijdh Bårgmestare här. Modhran icke mindre En Gudhfruchtigh och mycket dygdigh Matrona, bägge af dhe Nampn som ofwan mält finnes, så att ingen fans som annat än låfordh föräldrarne, gifw"
8,Sordavala/s1,0420_0420,"n, söker. Medelst fordom Befallningman H Arrendatorens Sahl H:r Henrich Printzses Enckias dygdesame Matrona h:o Maria Babbes till denne Rätt insändne skrif- welse af d 14 Septembr: tillspoordes Borgaren här "
9,Kajana/RO_1659_1699,0348_0348,"1 fallen, der Uhlwijken dömes som för cronones Meddell Nembl. 84 D:r 1/3 öhre Km:t till dygde samme Matrona- hust: Mertha Johanßd:r Hogstadia att betalas, jempte Hans Nådhe Högh- Wällborne H:r Landzhöfdingen"
