,parent,file,context
0,Kexholm,0088_0090,"r sigh beråpadhe wore icke tillstädz. Wijdare befrågadhes lass Sallinnes Naborska, Jacob Brusissons Modher, som tilllyka medh honom ofbrän, der war, hwilken berättadhe, at laß Sallinnen lithet föresom Eldzw"
1,Kexholm,0128_0130,"emädan uppå samma pgr: nämbl, dhe 40 Dr Sahl: ingen ahnfordran giordt är förtroor och dher hoos sin moder icke wara b:te Öfwerstl, landboo, hwarföre hon förplichtat wore honom samme pgr tillhandz bringa ut"
2,Kexholm,0151_0153,"sons dotter una Simons dotter begierandes att gånge till hifftes uthi arfwet öfr sin Sal: fader och moder tad sin Styfmoder h. Elin Sawolain, hwilket och af wen Consenterat blefft, och Committerades dem ti"
3,Kexholm,0174_0176,"; dij hafwer borthmest och Rådz sådant i consignation, förmedelst h:o Ehrewyrdigheet Prob: tens ahn moder, upptagit, Examinerandes honom D 27 dito weed ord: Rådstugudag, närwa= rande Borgmest:re och Rådh. "
4,Kexholm,0234_0236,", efer du har pgr ytterligare säijandes; kommer och du att bannas oppå mig, är det icke nog att din moder bannade mig når? här oppå sade Jochim breeß hwad weet du med min hustru. Hwadh behöfwer du tala om "
5,Kexholm,0277_0279,"rde heradzskrifwa, - Bertill Larßon inspråk opå Rådman nesgårdh, som skulle warit äfr hans Sal. wär moder, den han å 100 Dr Kmtt berüdh ar. Rådhmannen fråg Simonson bewijste ed främmande mäns betijgh intet"
6,Kexholm,0325_0327,"le ehnkomma Henrich svarade, att hon intet wiste af der pgrne se der store i Löndom gifne till hans moder, denne saken wardt remitterat till Tinget, der saken är passerat, att lagsökias och uthföras."
7,Kexholm,0349_0351,"elson, och begierte att dee måtte bekom- na hwarteera sin deel och Arf, som dee skipt hafwa med sin moder och bröder till- innan efr sin Sal: fader, innädan der i hoopa icke kunde längre förlijkas. äntan t"
8,Kexholm,0386_0388,"och icke hade der sådant fådt wetta, om icke Junij Johans gesse, hade och penbahrat sådant för hans Moder, Moder hade hade twungit denne sin Sohn at gifwa penningarne bort, då denne har gångit i Pirhoins J"
9,Kexholm,0386_0388,"e hade der sådant fådt wetta, om icke Junij Johans gesse, hade och penbahrat sådant för hans Moder, Moder hade hade twungit denne sin Sohn at gifwa penningarne bort, då denne har gångit i Pirhoins Jä- på N"
10,Kexholm,0386_0388,"nne har gångit i Pirhoins Jä- på Nya Stugu bygningen och tagit penningarne bort, och gifwit dem sin moder, då Jeremias Michelßons hustru hade gångit heem till sin Modher /: som är den samma Simon lefwoplia"
11,Kexholm,0386_0388,"penningarne bort, och gifwit dem sin moder, då Jeremias Michelßons hustru hade gångit heem till sin Modher /: som är den samma Simon lefwoplias häster då Moderen hade sagdt, at din halfbroor haar funnit pen"
12,Kexholm,0403_0405,"der denne Elin Jörans- dotter kan bewijsa att hon uthi ett bröd hafr warit tillsamman, med sin Swär moder och Sta- ger Matz Matzon Pipar, och der tillsamman en nytta af samma höst hafwa hafft, så skal dee "
13,Kexholm,0410_0412,et warit i kyrkian ihan warit reest på landet. Men Leutnampten bekänner sig hafwa sendt effter hans Moder och frågat om hon hade någon kettel köpt af Bildaten Peter Heiskanen? der till hon swarat att henne
14,Kexholm,0470_0472," att hon hade warit en diefwull, der med han hade sprungit in effter y fan; då hans hustro och hans Moder hade welat taga honom fast mindre intet kun- nat hålla honom, och när han då utslom är Corporals do"
15,Kexholm,0470_0472,"rals dottren kommit förhonom hwilken han således handteradt, som förr är för mält, bekände der hans Moder och hustro icke hade honom släpt, hade han dem wäll i hiälslage- och sädan han den gierningen hade "
16,Kexholm,0479_0481," gare här i Staden eller ey; Men han altsädan und den pråtext, att hon hafr warit tichropa medh sin moder uthi ett brödh hafr brukat sin egen handel, Staden till præjudice; hwarföre Baga skapet begierte at"
17,Kexholm,0509_0511,"uruledes dett war till¬ gångit medh dhe wahror som hon hade bortstulit, både ifrån Staphan och hans Moder, Caissa tillstår och bekienner, att Soldatz hustrun bike waraises Lastika, skulle sagt till henne: "
18,Kexholm,0547_0549,"tt hon war i stranden, då han å nyo wille henne slå, men Maria Mattzdotter uthroopade sin fader och Moder sig till hielp, och då fadren uthkom, hafwer han hafft een stamp i sin hand och slagit Isach på arm"
