,parent,file,context
0,Kexholm,0134_0136,"anden Maria Clemetz dotter läger sigh intet mehr hafwa taget ähn 6 kärfwar halm och gifwit till sin mågh Johan Pällin, och något lijtet höö på släden till qwarnen Effter som hennesmågh icke war tilstädes,"
1,Kexholm,0681_0684,"ns med Erffwin- ger måtte honom hans andra af samma præ. centimer opfylla, / d: Jeremias Michelssts Mågh Mårten Gran å samptl. Sterbhusetz wägnar infen sig Behmen till swars och swarade att så wäl hans Sn"
2,Kexholm,0704_0707, improberar och gillar. altså dömes bemte Bernt och Erich Casa tain för hwilcken nu Erich Casalains Mågh Simon Pihoin nu är fullmech tigh och här närwarande att samma restenams böön forderligast förnöija 
3,Kexholm,0714_0717, och wäl stält hafwer aflade sin Eedh och giorde denne fölliande bekennelse: att Besmen Matte ormas Mågh och Jochim Freese wore komne till henne uti krogen då Jochim af Samuel Påhlsons hustro som då warit
4,Kexholm,0758_0761,f hans Sal. Swärfaders for- som Rådmans Sal. Jurgen Starckwedh Carie Porten belägne dömpt sin andra Mågh Archli mestaren Carl knäffta att sigh derå wånachtig huus bebyggia hwilcken andeel med derå stående
5,Kexholm,0759_0762,oldt hertz att han wedh den tijdh han bödde här i staden haar medh sitt dagelige um gänge medh hans Mågh fäldskären warit ophofwet och orsaken till all den oenigheet som i Echtenskapet emellan Fäldt fören
6,Brahea,0228_0229,"dsatte åker igen bekomma emoth 25 D:r Lössn. Hedrih Glossmestare angaf Simon Blåkare som skull hans Mågh i förled: ne Sommer på ängen förbränt för honom Twå Lass höö, klåckarn sade dhet genom Wåda skedt, "
7,Brahea,0259_0260,"agh. Närwarande Borgen stare och Rådh. p. Framkom för Rätta Sahl. Hendrich Alholms Enckia, medh sin Mågh H:r Erich Wilckio, och fordrade af sin Andre Mågh Hendrich Klåckare, som hade hafft hennes And- dre"
8,Brahea,0259_0260,"för Rätta Sahl. Hendrich Alholms Enckia, medh sin Mågh H:r Erich Wilckio, och fordrade af sin Andre Mågh Hendrich Klåckare, som hade hafft hennes And- dre dotter till ächta, och dödde barnlöös, Först sin "
9,Sordavala/s1,0027_0027," Carol tillståår sin skuldh Nembl:gh 4 D:r Koppar  till Capitain Manhafftigh Lars Örn, och Capitens Mågh Mons:r Christian Bolgoi nu innestår om betahlningh, ty dömdes och Caroll nu strax denne Bolgoi som "
10,Sordavala/s1,0072_0073,"fråga här om, såssom och der hoon eij dett till giöra dem befallt, skulle hoon låtha dem igenom sin Mågh affstraffas, Men som Rådmännen wedh igenkompsten berätta måndhe  henne drängiarnes otydigheet emoth"
11,Sordavala/s1,0150_0151,"alt hwadh opkiöpt wore, bytas uthi 3:ne dehlar, Nu Ehuru wähl Mutka hemma blifwit, dåch likwähl sin Mågh med desse i sälskap sändt, dåch honom ingen medell tilltrodt, Uthan Pukari tagit hans an- deel att "
12,Sordavala/s1,0160_0161,"wadh Martinus Canuti Klagar att Mutkas hustru skall honom kallat till oreen Bårgmestare, sampt dess Mågh Simon Hurri till hoorpoijkare, som Elin Niklas dåtter be- känner sigh å hördt, hwilket wittne Mutka"
13,Sordavala/s1,0320_0321,"dä wiss wara, men sade sigh förmedelst samma Tobakz handel hafwa att fordra uthaf Michel Tårfwinens Mågh Hendrich Kåistin Tenamdk 13 D:r 16 /: öre, aldenstundh Kåistin öfwen tagit af H:r Bruun Oloffzson n"
14,Sordavala/s1,0357,"een uthaf Erfwingarne war, i det han desse Wallij   Syster till ächta hade, och nu förnimmes af des Mågh Cap-  pel: H:r Andrea Ahockio bem:te giäldbook wara gifwen åth   Petter Wallio, hwilcken jembwähl e"
15,Sordavala/s1,0399-423,"ackoin klagade uppå sine Passnerare han  i förledne höstas på sin lådia till Nyen hafft, såssom des Mågh  Staffan Löttjöin, Jöran Sichwo, Lars Taskin, Christer Marti- nen, Petter Mutka, Michel Pirhoin, Je"
16,Sordavala/s1,0399-423,"Saken emellan Borgaren Oloff Såickell och Martinus  Canuti eller nu utj des dödliga frånföllie hans Mågh  Borgaren Simon Hurri, företoogz och lefwererade Hur- ri utj Rätten een Contrarechning af Sahl: Mar"
17,Sordavala/s1,0444_0444,"tockholm d. 1 Augustj [1]692 daterat, uthaf fordom Rådman Sahl: Martini Canuti Erfwingar, såßom des Mågh Borgaren Simon Hurri, hwilcken disposition om hans qwarlåtenskap och Egen- domb haar, Etthundrade o"
18,Sordavala/s1,0462_0462,"let  införas, det han medh sin hustro, hwilcka Ålderstigne all- redo ähro, godwilligt cedera dheras Mågh Jöran Kucko jempte  den yngre Son Henrich hela dheras gårdh, dhe äga här i Sta- den, nembl:n halfpa"
19,Sordavala/s1,0467_0467,"fwande Petter, Mutka kärar till Anders Hafwerin om något Salt Påhl Waroinen tillsäger sin gårdh des Mågh och yngre Son Simon"
20,Sordavala/s1,0474_0474,"K:r m:t till borgans gifwit åth  Rådman Sahl: Martinus Canuti, icke än wara betahlt; dy dömbdes des Mågh Simon Hurri att ehrläggia till Pulckin dhe 3 D:r K:r m:t uthaf Sahl: Martini qwarlåten- skap, innan"
21,Sordavala/s1,0493_0493,"H:r Mårthen Thorapij Enckia  dygdesamme hustro Helena Colliandra, insinuerade i Rätten,  igenom des Mågh Cappel:n Wähl:de H:r Erich Bouman, een  Rechningh af d. 3 hujus, hwar uti hon förmäler sigh gif- wi"
22,Sordavala/s1,0494_0494,"om förmäles att handla  medh, Altså dömbdes Panoff dhe 69 D:r 1½ ö: K:r m:t till Enckian  ell:r des Mågh och fullmechtige H:r Erich Bouman innan  sohlsätter samma dagh, effter det 16 Cap: Rådst: B. at bet"
23,Sordavala/s2,0014_0015,"eening hon  dhe till sin Swährfader bära skulle. Borgaren  Simon Hurri bewijste att Anders Taskises Mågh Bor- garen Johan Lembinen den hoos honom, för 3 D:r i tagne  drycker af Henrich Taskises hustro, pa"
24,Sordavala/s2,0014_0015,"ich Taskises hustro, pantsatte duka- ten inlööst, den Anders Taskinen och tillstodh sigh af  af des Mågh igenfått: denne Saak förestältes Rät- ten att öfwerwäga och döma här uti som Slööt;  Att såßom Henr"
25,Sordavala/s2,0014_0015,"71 D:r Kopp:r M:t in alles bårtmist, men icke mehr igen- fått än 5 D:r m:t och 2:ne dukater, af des Mågh Johan Lembinen  och Jöran Kucko för 12 D:r K:r M:t inlööst; Altså dömbdes Anna  Sichwoin att betala"
