,parent,file,context
0,Kexholm,0112_0114,"ill den prætention, som han tilförende ahngifwit hafwer, i Arfrätt bestånde, effter sin morfade och Syster Sal: Sonkan, hwilken skulle uthi Borgmester Sal: Cas= Per grööns förwarning warii insatt; men effte"
1,Kexholm,0132_0134,"ster medh son wederpartfridh Olufzon, och beropade sigh på wittne Sal: H.r Hinrich Änkia och hennes Syster; hwarföre bleff af Rätten twänne Rådmän förskickat till dem, nämbl: Natz Jatinen, och Jacob Grelsso"
2,Kexholm,0309_0311,"2 Pirrhoins samma syster; och har altijd warit så god at med dig som honom, och hafr intet argt emot ede ingen theera. Sädan"
3,Kexholm,0335_0337,"ff I lijfwet. Rätten beslöt, att bonden Eva Mikitan poika, skulle draga hem till denne Anders Rumis Syster, och saga nycklarna med sig, han kunde till äfwäntijes derfinna bistorne, och der andresökerne; der"
4,Kexholm,0336_0338,"de han der pgrne be- kommit af Postmästarens hustro I wäfware löön Eva Mikitanpoika sade att Rurnis Syster i koka hade bekändt, att när hennes broder Änte Rumin för kom till henne med den kistorna och saker"
5,Kexholm,0336_0338,"eborg, hee- est han en Inhyßes karl warit, der och lijket igen funnit är, sampt och hans Swåger och Syster börn des örd, som mehr om detta skola weten skap hafwa, der då denne sak kan ytterligare inqvi- rer"
6,Kexholm,0392_0394,"enrich Pärrhons Son Peter Hinrichsson bände sig hafwa lefwererat der pgr tillbakars till sin faders Syster, som han hade bekommit af Thomas, och sade sig intet weetat, huru mycket pgr thi säcken hade warit"
7,Kexholm,0397_0399,"gia sin Eedh, att han intet wiste, att dett war Jeremil Michillßons pgr, som han sprhade nu med sin syster som Thomas Simßon Rr alldeles neij, och der opå aflade sin Eedh denne saken slötz till effterföllja"
8,Kexholm,0397_0399,p. I Tiufwa B. Stz. Men Hinrich Pirhoin ehrkännes wij för något wijdare straff för dett han med sin Syster Son spelade efr han dett säger sig giordt på lustigheet ut exat och icke på någon penninge winst hä
9,Kexholm,0416_0418," om i Rächningen befinnes wara oppförde Dito Pålades Paramon och han skulle skoffa beta ning af sin syster, eller att hans Syster förskaffa en annan Caution för sig till nästkommande löger; d 6 Martij wed o"
10,Kexholm,0416_0418,"es wara oppförde Dito Pålades Paramon och han skulle skoffa beta ning af sin syster, eller att hans Syster förskaffa en annan Caution för sig till nästkommande löger; d 6 Martij wed ord: Rådstugudag, Närwar"
11,Kexholm,0416_0418,"a och der opå uthslag affwachta. Afflade Paramon sin sigh att han intet hafwa godt i borgen för sin syster, som hon Tobis af henne fordrar ty remitteres Larß Larsson Tobio, att sökia Paramons Syster wed här"
12,Kexholm,0416_0418,"för sin syster, som hon Tobis af henne fordrar ty remitteres Larß Larsson Tobio, att sökia Paramons Syster wed häradztinget, effter hon på landet boor. Dit framhafdes Johan Pupput att swara till den oloflig"
13,Kexholm,0467_0469,"ler giort i weet gen, effter han war ensam och ingen der hoos om dett hafr sedt; allenast den dödas Syster lijten flicka, som begynnelsen såg och der ne lopp bort och bebådade Modren hwad färgekarl- orde, n"
14,Kexholm,0467_0469,"m begynnelsen såg och der ne lopp bort och bebådade Modren hwad färgekarl- orde, nämbl slott hennes Syster. Uthen hafwa effterskrefne främmande män deße Såår synt Nämbl. Rådmannen hinrich Michelson och hans"
15,Kexholm,0527_0529,"ärwarande Borgmester och Rådh. N:o 9 Samma gång beswärade sigh Borgaren Hindrich Pirhoinen att hans Syster Son Staphan Meroin skall skieldt honom för en Stor uthi Råsstugu förstugun, hwilket Mergin icke kun"
16,Kexholm,0558_0560,"nßon med aflagd Eedh å book betygade sig altzintet hafua, Undan- dåldt af dett arf som hans hustrus Syster Carin Johansdotter af henne nu prætenderar, som för 15 åhr sedhan effter hennes föräldrar fallit är"
17,Kexholm,0568_0570,ich Krydz och Simon Lefwoska Stadzbonden Anders Huttri instälte sig nu till swars emoot sin hustrus syster Son Soldaten
18,Kexholm,0569_0571,"- der medh sielf sins Eede, bekräffta dess wiss- och samheet, förebärandes allenast att han med sin Syster Maria, som de samma arf föll; warit små barn, ifrån så lången tijdh ey kunna minnas eller weta hwad"
19,Kexholm,0569_0571,"an eij mehra af samma barnes; emottagit haf:r Prætenderandes denne Huttri der emoot af sine hustrus Syster barn, 1 häst a 40 D:r som han sine lånt åth Eskil Melkiä widh den tijdh han dessa  Arfwet emoottagi"
20,Kexholm,0569_0571,"lig förlijk- ningh om detta twistige arfskap, I så måtto att Anders Huttri betalar till sin hustrus Syster barn Anders Mälkiä och Maria Eskilsdotters Mälkias Man Soldaten Brusi Mäskain uthi ett för alt 19 D"
