,parent,file,context
0,Kexholm,0937_0940,Corporalecne att hwar och een ansän- Cederböranderne att opstaka landzwägarne åth Nyen Wijborgh och Carelen. 19. Håppmannen Ehreborn och Wähl altt Hr Salomon Enebergs låter förmedellst Materiak skrifwde Clae
1,Kexholm,0969_0972," af Magistraten een Persohn af hwart bepo- ralskap att opstaka Landzwägarne till Wijborgh, Nyen och Carelen öfwer wuotzJerfwi, så långt som Stadzens gräntz fer sig sträckia 25 H:r Capiteinen Wällb:te Fabian "
2,Nyen/RO_1684-1687,0402_0403," stes till affträde. Och emedan kiöpgesellen Hinrich Köster för een god tijd sedan ähr förrest till Carelen; ty resolverade Rätten att han skall stämmas hijt, till att berät- ta på sin Edh, hwad han weet af "
3,Nyen/RO_1692,0026_0026,"hwilken hon berätter af Olof da- nielson wälling, hwilken är Skrijfware hoos Arren- datoren Sahlo i Carelen, hafwa aflat, och emedan hon tilförene födt horebarn, ty begärer Fiscalis, att hon derföre måtte pl"
4,Nyen/RO_1692,0026_0026,"lichta. Rea Swarade sig första barn aflat af des då trolåfwa de Brudgum, men andre gången blifwit i Carelen be- lägrat af bem:te Oloff Danielson, under ächtenskap löffte, uthlåfwandes att wela med första öpn"
5,Nyen/RO_1692,0054_0054,"til får sig haft lägersmåhl medh Smedz gesällen Petter Jacobson, som sedermehra reest här ifrån til Carelen, och berättes sär wara ihiäl slagen, men den samma hade häfdat henne under ächtenskap löffte, som h"
6,Nyen/RO_1692,0055_0055,"henne til ächta, som han henne hade låfwat, men nu för tijden förnimmes, att bem:te Petter Mätare i Carelen är ihiäl slagen. Sententz: Emedan Brijta Matzdotter haf:r bewijst, att Smedz gesäldz len Peter Mäte"
7,Nyen/RO_1692,0055_0055,"len Peter Mäter behägrat henne under ächtenskapz löffte, och att bem:te Peter förmenas sedermehra i Carelen wara ihiälslagen; ty befrijes Brijsta Matz- dotter för detta lägersmåhl, och erkännes för Peter Mät"
8,Nyen/RO_1697,0051_0052,"iborgen, om Sittmans dotter är ogift eller äger een Man? hwar till han swarade henne wara giffter i Carelen; seijandes på wijda, re tillfrågan hennes Man hafwa Mundhel: honom Matthias Wiborg prætenderar för-"
9,Nyen/RO_1697,0217_0218,"s för kyrkio- tiufnad. Denne gången förestältes Hindrich Hindrichson Huttunen, som säger sig wara i Carelen och Ke, sälax Sochn barnfödd, och för een tijd sedan an- tagen jempte någre andre wed Tyska kyrckia"
10,Nyen/RO_1697,0259_0260," Rätten in qvantum Juris låt förtekna. Då kiärde Oloff Oikonen ifrån Sie¬ kalax by och Kite Sochn i Carelen till een löös kåna ifrån Räpöwä by Agneta Grelssdotter, att hon uti Sahl. Handelssman nens Johan Cl"
11,Kajana/RO_1659_1699,0387_0387,"rgaren Anders Karpinen wedh Hol- len Kyrckio Rådz Nerwaro d 30 Julij, att denne Ca- rin 1696 Rest i Carelen medh skiutz och sagdt sigh hafwa någh penningar at betala hästlegan emedan hon Winlade at hinna sin"
12,Kajana/RO_1659_1699,0387_0387,"ll warit tillfinnandes. 3:o Berättades, at den- ne Carin Canater wedh sin ankompst sigh hafwa der I Carelen wara Kyrckio tagen Men sedermera Recuserat, och nu icke heller bewijsa Kunde, alle- nast medh swori"
