,parent,file,context
0,Kexholm,0260_0262,"gen förbiudes att ofwanb:te Tobak, som uthi der Städerne köpes skall intet uthi Kexholms löhn eller finlandh. blifwa infördt och föryttrat, uthan Arrest hållit som b:te resolution dett uthwijsar Ryssen Wasil"
1,Kexholm,0529_0531,"ampt Kongl. breef att så sökia en Collect till Stadzens Kyrkios oppbyggelse, öfwer hela Swärige och Finlandh, begiärandes at Borgerskapet wille thwällia någon af deras medell som dugelig wore och man summa ä"
2,Kexholm,0531_0533,"ll Kexholms afbrände kyrckia allernådigst be- iat är; och för des omack att kring reesa öfwer heela finland och norrbothen, är honom af samma medel tillsagt 150 C Kom:t sampt frijdt hästefoder; hwar emot han"
3,Brahea,0232_0233," i syndh; tå ther - 10 D.r Dito Waleur Effter högh Kongl. Håffrättens i Åbo, och stoor förstendömet Finnlandz resolution Anno 1674 d: 5 Augusti, höltes ordinarij Rådh Stugu dagh, Närwarande Borgmestare och Rå"
4,Brahea,0236_0237,"han henne icke ächta will; Effter högh Kongl. Håffrättens i Åbo Resolution och stoor försten- dömet Finland, böther förste gången – 40 mkr. och Kohnan - 10 D. Sölfwer myndt, effter hon andre gången j synd fa"
5,Sordavala/s1,0121_0122,", Kongl: Råd och H:r Drotzet sampt General Justitiae Directeur öf:r Swerige och Stoor- furstendomet Finland. Wälborne, Högbördige, Högachtade och widtlagfarne herrar, H:r vice prases och Samptelige Assessore"
6,Sordavala/s1,0334_0335,"hen och så uth- öfwer Wallen och uppå fiskkåhlen, öfwer Ström- men ligger till fasta landet och åth Finlandh, skilliandes den Eena Lars Käsoinen benämdh från PelisJerfwi Sochn sigh ifrån dhem widh Kirfwus Ky"
7,Sordavala/s1,0359,"ias   kunde; Näst detta witne, framhade Tölhä hoofslagaren   många wackra bewijs från alla orther i Finlandh   gifne, att han medh stoort beröm dätta sitt handtwerck   där idkat, så at ingen kan klaga sigh d"
8,Nyen/RO_1684-1687,0039_0039,"Appellationen in honorem Supe- rioris till dhen höglofl: Kongl: Aboiske hoffRätt i Stor furstendömb Finlandh har medh effter- gifwit och näst kommandhe juridica pro termino, prosequendӕ dhem före satt; S:r H"
9,Nyen/RO_1684-1687,0041_0041,r Appel- lation in honorem Superioria till dhen Höglofl: Kongl: Aboiske HoffRätt: i Storfurstendömb Finlandh här medh effter gifwifwen och nästkom- mandhe juridica pro termino prosequende Appellan- ten förr 
10,Nyen/RO_1684-1687,0095_0095,"wer migh och witna i den saak iagh eij hafwer att Beställa medh, gudh hafwer migh hullpit hijt till Finlandh han kan wähl hielpa migh hädan igen, Sedermehra wården aff Rätten befallter till att afläggia sin "
11,Nyen/RO_1684-1687,0158_0158,"blan- delse medh Sahl: H: Borgmäster Pipers dräng Anders benembd som i förleden Höstas är rest till Finlandh at hämpta sit arff men intet än igen kommen, af honom haf- hon afhgt et gåsse barn 4 Wekor för Pås"
12,Nyen/RO_1684-1687,0199_0200," hon i förstone hafft lägers Måhl? R: in edh Sahl. Capitein Klingenbergs haker skyntt, som nu ähr i Finlandh och haar hoon derföre inthet warit för rätta, men ähr lijkwäl här i Stadhen kyrkiotagen, som passe"
13,Nyen/RO_1684-1687,0199_0200,"hon för 2 åhr sedhan hafft olåfl. lägers Måhl medh een ogifft Säldat Andreas benembdt, som nu ähr i Finlandh, och aflat af honom barn för 2: åhr sedhan, som seder- mehra för et åhr blifwit dödh. Qu: om hon e"
14,Nyen/RO_1684-1687,0199_0200,"känner, sigh hafwa hafft olåfligh lägors, Måhl Medh een Ogifft Soldat Anders benembdh. som nu ähr i Finlandh och afladt barn af honom dy blifwer hon effter Kongl. Straf- ordning dhenne första gången förskont"
15,Nyen/RO_1684-1687,0511_0512,"lffert, Blankenhagen Stadz Fiscalen Almenius kärande Emot 509 241. Kånan Anna Johansdotter födder i Finland och Sullkawa Sochn, Swarande. Fiscalen anklagar Swaranden för lönskeläger; kånan tillstår, att hon "
16,Nyen/RO_1684-1687,0511_0512," anklagar Swaranden för lönskeläger; kånan tillstår, att hon för nyo åhr sedan fådt oß ächta barn i Finland uthaf een ogifft Soldat Samuel Kissken med hwilken hon och som H. Jacob ditz Dino- nus härsammastäd"
17,Nyen/RO_1684-1687,0512_0513,"till, då han bortreste uth- fästandes att wela snart komma igen och hem¬ pta een häst med sig ifrån Finland der som han föd- der ähr, men nu har han warit så när 2 åhr bor- ta. Denne kånan blef satt i Corps "
18,Nyen/RO_1684-1687,0517_0518," 515 253 koos, kiöpandes een Juftt sampt ett Snörlijff; fyra dagar der effter kom een Ryttare ifrån Finland, bewijsandes medh åthskillige skiäl, att samma wijke hästen war stulen ifrån een fougde Änkia, Tawa"
19,Nyen/RO_1684-1687,0518_0519,"örlijft. Rätten fan skiäligt emedan denne Tiufwen bekenner sig föruthan denne hästen hafwa stulit i Finland, jembwäl och säger att Skomakaren Johan som nu wistas i Luropä, skall hafwa participerat af Penning"
20,Nyen/RO_1684-1687,0528_0529,"st dhe fådt samma Ryske Penningar, dhe swarade att een Rysk Adelsman wore här som ährnade sigh till Finland att kiöpa hästar och gifwit dem Ryske denningar att förbijla, hwar på han Referet 15 RD. à 60 denni"
21,Nyen/RO_1692,0031_0031,"helgons affton näst- Matth: Almenius Ingeborg Matzdr ang: Lägersmåhl nästledne oppest här ifrån til Finland igen, berättandes der jempte, att barnet blifwit dödt födt, och att bem:te Oloff låfwat henne Ächte"
22,Nyen/RO_1697,0023_0024," fann Rätten skiäligit, i föllie af Kongl. May.tz Nådige Förordningh angående folketz wijkande if:n Finland af d. 18: Novemb:s A:o 1693, att försända deße Perssoner till arbete på Befästningen härsammastädes"
23,Nyen/RO_1697,0075_0076,"en tecke nekade inständigt, att hafwa tagit Toback af Bergen, berät- tandes att een Förrijare ifrån Finland Lorentz Berg bem:te fådt aff Handelssman, nen Berg Tobak, och han /: Tecken :/ så wij de försäkrat "
24,Nyen/RO_1697,0108_0109,"curatoren därjempte berättade, det han för dess angelägenheeter skull nödgas oiö- ra een reesa till Finlandh; altså Pyostitu¬ erade han utj sitt ställe Fiscalen Mattias Wedman doomen å hans wägnar att af sör"
25,Nyen/RO_1697,0191_0192,"z Brodze nii wägnar antagit i afbetalning af Han delssmannen Werner Wulffert, och det här ifrån åth Finland ährnat afföra, effter som han intet annars skall wetat, än ett slijkt wore tillåteligit, hwilket To"
26,Nyen/RO_1697,0191_0192," Wedman Nybergen, om han af Lagläsaren Brodzenio hafft befallning att afföra Tobacket härifrån till Finland. Hwar till Nyberg swarade, sig hafwa wän- tat effter Brodzenii befallning, men om- sijder af egit b"
27,Nyen/RO_1697,0191_0192," såssom Fiscalen Matthias Wedman påstodh Nybergen welat een Post Tobak föru- than Pass härifrån åth Finland afföra, och denne således wara een Confiscations Saak¬ B. om egentel. hörde under Siö Rätten med be"
28,Nyen/RO_1697,0208_0209,"it bortstuken, hade han i går Afftons kl. 10 har på en fror een Torpares Johan dennins Enckia ifrån Finland Agneta Mårtensd.r ben:d med een tyga ifrån Ohala Agneta Michelssdr utj dess kåhlgård attraperat, so"
29,Nyen/RO_1697,0243_0244," som SiöRätten här samma städes resolverat: Att det Tobacket som Ma- thias Nyberg skall ährnat till Finlandh afföra, och hoos honom är attraperat, skall försällias; Fördenskull Rätten paar gode Män af Borger"
30,Kajana/RO_1659_1699,0007_0007,"ättade hon den tijdh, Näml: 1653, så wäl som nu, sig wara barnfödd uthi kolisaby och Leetala Sokn i Finland, och sedermera wigd uthi förbe:te sokn widh en be:d Henrich Thomaßon, huilken förr 9 åhr ifrå den t"
31,Kajana/RO_1659_1699,0043_0043,"gesundh, Sweriges Rijkes Rådh och dråtzetz, General Directors öfwer Justitiæ wäsendet i Swerige och Finlandh medh dheß Underliggiande landh och provincier, så och lagh¬ mans öfwer Wessmanne landh Bergzlagen "
32,Kajana/RO_1659_1699,0125_0125,rån Uhlo Hendrich Madzßon Tickainen be:t för Assessoren uth den Kongl. Hoffrätt i Stoorförstendömet Finlandh Hög ah- tadt Hr Johan Wassenio förmedelst een Copia af Hopmans Manhafftig Samuel Långz uthgifne ob
