,parent,file,context
0,Kexholm,0072_0074," mehrbemelte Herren Commendanten, då han på Cronans wärfw och bestelningh war medh skamliga ordh på gatan öfwerfallet, seijandes Borgmästare Casper Bröninck, Capitain Spång och Artollerie Leutnampten Erick"
1,Kexholm,0127_0129,"jnwäfwaren, icke et ord till H:r Påwel Gröön sagt hafwer, uthan allenast till dem som medh honom på gatan stodo, och sigh till Kyr- kion ährnadt hade; orden som skulle hafwa fäldz, hafwer warit, att lijnwä"
2,Kexholm,0364_0366,"neten: igenom Stadzkorten R, han bedh honom så skulle bewijsas, uthan att han har folgt hans uth på gatan, och war glad att han blef af m honom, af han wille in på nytt igen p Janu och den andre tiänaren o"
3,Kexholm,0384_0386,"kom medh twenne drängiar, hwilcke begge hafwa hafft wärier oppå sigh; Och sedan skall Roslindt oppå gatan medh Skiäldzandh honom Sekenderat och giordt tumult, och intet för 15 skonat Wachten. Rosindt neeka"
4,Kexholm,0403_0405,"N:o 39 Sammegång framkom oskall Pirrhoin och be- warade sig att borgaren Jöran Remare hafr honom på gatan slagit på armen en blånad, begiärndes att Jöran Remare måtte derföre plichta. Swaranden Jöran Renne"
5,Kexholm,0407_0409, opå sig grå kläder; och gick denne Håckonen wäll som Johan Combinen med der andre twå- then tränge gatan wed Constabben Thomas Carlson kände och sig dätta harfwa oppenbarat för Maria elkonen och mehra wis
6,Kexholm,0407_0409,"ne, som honom ifrån etta skulle befrija sammaledes nekade och Matz Haikonen /: warit en gå nogom på gatan, Men Wierilais hustro sade hälleligen att hon talte med honom, såsom ofwanföre he berittnat."
7,Kexholm,0445_0447,"rkioheerden M:r Hinricus Böissman honom til- lagt hafwer, Neml. att Johan skulle Kyrkioheer- den på gatan öfwerfallit medh fuull mun, för dhet, kyrkioheerden honom förbudit herrans Hög- wärdiga Nattward, f"
8,Kexholm,0451_0453,"ret; då Oluf nödgades blifwa hemma, och lätt sin hustro gåå till kyrkia; Och när hustron kom uth på gatan för porten hade Samuel sagt, hwar gåår du hoora? gak til Joho Eskillssons din boorkarls kyrkia, och"
9,Kexholm,0455_0457,"arande Borgmestare och Rådh. N:o 36 Dito befaltes Borgerskapet att sammanföhra stor till Carioportz gatan, begynnandes nu straxt till kommande Måndagh, och skola Corporaterne fördela, så månge som bes opå "
10,Kexholm,0455_0457,"ning medh Maria Lars dotter, pag: 6. N. 5. Borgerskapet befalt att sammanföra steen til Caria portz gata, p. 26. N. 38 „ Corporalerne pålagdt att opdrifwa Stadz Tienarens Löhn, p: 1. N.o 2 skill Tukias At"
11,Kexholm,0476_0478,: effter Consal war af dhen Rysar pationen :/ men sådan hade Påwel hafften lijn handen och lupit på gatan; men Wasil ube Ju borta; och mehra hade denne intet sedt. och framhade Wasil nu borgare Påwel Såfpe
12,Kexholm,0476_0478,"asil nu borgare Påwel Såfpelen b: hwilken effter aflagdan Edh ta- gade huruledes han hade stådt opå gatan sedt att Wasit Lyki kommit på Påwel By elsens fönster, och begiert at Dragon, för- ydaren Hinrich f"
13,Kexholm,0476_0478,"u- it Näsan i blodh på hwar andre; Men så än der äro blefne åthskillder, hafr Wahils rössa legat på gatan, den Påwelss hustro, är opptagit och gifwit åth sin Man, hwilken an och i Styckes hafwa sönderrijfw"
14,Kexholm,0557_0559,"remias Michelßon som skulle Handelsmannen Victor Gröön förledne Måndagz affton öfwerfallit honom på gatan medh skälßord, kallandes honom åthskillige gångor för Skiälm, och Salvä veniӕ hundzfått, gifwit ho-"
15,Kexholm,0564_0566,"r Skomakarens Thomas Thomasson, som skulle han nästförledne Söndagz affton, wachtat effter henne på gatan och sedhan öfwerfallit henne uthi hennes egit huus stötandes henne i förstonne igenom dören medh en"
