,parent,file,context
0,Sordavala/s1,0114_0115,"Alldenstundh Hans Rijk tillstår sielf sigh caverat hafwa hoos Anders Tuchkoin för Sigfredh Tijtha i Kesälax by och Ugoniemi Pågost 2 Capp:r Salt á 20 /: öre, dem denne Tijta intet än betalt, Ty dömbdes Hans "
1,Sordavala/s1,0132_0133,"H:r Zacharias Månssons item Lars Staphansson Pitkein, Petter Taifwain sampt Hendrich Pesuinen ifrån Keselax Sochn huarest ingen Hopman förtijdhen ähr, uthan hafua desse Kyrkioherden H:r Samuell Johannis bewi"
2,Sordavala/s1,0360-83,"10 t:r tiära, låf- war Kåckoinen sigh wähl medh honom förlijkas. // [TK 374] 42 Såssom Bonden ifrån Keselax S:n och Ennikäniemj by Michel  Hansson sielf tillstodh sigh icke mehra betalt till Borga- ren Pette"
3,Sordavala/s1,0360-83,"å Mutka sedhan han inlastat sin  egen Tiära 150 T:r ändoch säglat till den Bonden i Villa- laby och Keselax Sochn Mattz Kätulain ben:h, af hwilcken  han uppå samma lådia eftter oprättat Accord Skriftt låf- w"
4,Sordavala/s1,0360-83,"amman  nembl:n half:a dehlen hwardera) i förledne wåhr denne  dheras Lådia frachtat åth een Bonde i Keselax S:n och Vil- lalala by Matz Kätulainen ben:dh at löpa till Nyen, Men enär  Saickoinen, som då reest"
5,Sordavala/s1,0360-83," /  55 wunna, så willia dhe taga den Skadan uppå sigh.  Men såssom Kätulain är booendes på landet i Keselax  S:n och Villalaby, där dhem emellan slutit är att frach- ten el:r ladningen skulle intagas, dy haa"
6,Sordavala/s1,0399-423,"och Mårthen Taskin.  Borgaren Staffan Lödjöinen förgaf sigh förledne  winters kiöpt af Bonden ifrån Keselax S:n och Kalata- ma by Henrich Pettersson Raninen här i Stadhen 2 t:r  Tiära, af hwilcka den eena, d"
7,Sordavala/s1,0428_0428,"få sin häst igen: Johan Sincko berättade att denne hästen blifwit hans hustro uthaf des föräldrar i Keselax pastorat gifwen, den han allenast uti halfft åhr hafft då den ifrån honom i Åtzois- by och denne S:"
8,Sordavala/s1,0428_0428,"r, uthan och den un- derste Läppan klufwen; och oansedt Thoro meente att denne icke skulle wara den Keselax Pastorat tillhörige hesten, doch lijkwähl framhade Sincko een Bonde i denne S:n Påhl Petterßon Luck"
9,Sordavala/s1,0428_0428,"de här uthinnan den bekännelsen, att denne är samma hästen som hans faderbrooder, Påhl Luckain till Keselax Pastorat försåldt, wed den tijden denne Lu- kain hoos sine föräldrar derest warit, och dy bäst där "
10,Sordavala/s1,0428_0428,ch Sincko sielf sein Eed å Book att denne wore hans egen häst som hans hustro af sine för- äldrar i Keselax Pastorat fått och ifrån honom uhr Byys- hästarne i Åtzis bårtkomen för 2½ åhr sedhan. Nu Såssom Joh
11,Sordavala/s1,0428_0428,"enast 1:o medh Bondens Påhl Pettersson Luckains witne bewijste denne hästen wara den samma som till Keselax Pastorat blifwit af hans faar- Broder försåldt, 2:o Betygade hans grannar och Rådman Mackoin, at Si"
12,Sordavala/s1,0437_0437,"Såßom Borgaren Henrich Hämälein sielf tillstodh sigh wara skyldigh till Bonden ifrån Uguniemjby och Keselax Sochn Jo- han Kijnain Siw dahl:r 9 öre Kop:r M:t för een dhem emellan wa- rande hästhandel, och Bon"
13,Sordavala/s1,0440_0440," den senare Bor- garena Simon Hurri och Henrich Hirfwoin 6. Lars Taifwain barnfödd i 14. barnfödd i Keselax Sochn och een tijdh här i Staden warit sampt i Åhr medh contribution belagdt, för honom gingo i Bor"
14,Sordavala/s1,0450_0450,"ter 14 dagar effter det 16 Cap: i Rådst: B. att betala. Då förehades Bobln ifrån Lattwasyrijäby och Keselax Sochn Tho- mas Bengdtzson Lappalain, hwilcken Kyrckiones Sexman An- ders Frantz, i gåhr under högmä"
15,Sordavala/s1,0451_0451,"garena Matz Jufwain, Thomas Immoin och Mårten Putkoin. Såssom Michel Petterson ifrån Kalatamaby och Keselax Sochn medh aflagdan Eedh å Book, den Borgaren Mårthen Kietä- wein honom defererade, bedyrade, att b"
16,Sordavala/s2,0008_0009,"ran Wallius, Isack Mackoin,  Mårthen Taskin. Thomas Immoin och Thomas Hulckoin. Såssom Bonden ifrån Keselax Sochn och Mensuvara byy  Mattz Michellson Wintur bewijste medh Borgaren  Staffan Lödjöises och Bönd"
17,Sordavala/s3,0005_0006,"aren Jacob Saickoinen pålades att skaffa medh det för- sta skriffteligit Bewijß af Kyrckioheerden i Keselax H:r  Fabian Nircko, huru det föreweter medh den hästen han  skall tagit af Saickoinen, som den uppå"
18,Sordavala/s3,0010_0011,att betala till Petter Mutka  innan Sohlsätter samma dagh effter det 16 Cap: Rådst: B. Bonden ifrån Keselax Sochn och Byy Matz Langinen föregaf  sigh kiöpt dagen för sidsta Nyåhrs dagen af Rådman Isack  Mack
19,Sordavala/s3,0033_0034, lijckmätigt dett 23 Cap. i Tiuf B. LL.  Rådhman Brun Oloffsson söökte att tillbinda Bon- den ifrån Keselax Sochn och Lattwasyria by Thomas Jä- skeläin som skulle honom sidstledne d. 17 Febr medelst  stöld a
20,Sordavala/s3,0034_0035,"de, desse  böter skall delas de fattige och excluderas här ähr. bonden + til Brun 64. Böndren ifrån Keselax Sochn och Ugoniemi by Oloff  Pöyhöin och Daniel Jeremiesson tillstodo sigh fått un- der för detta u"
