,parent,file,context
0,Brahea,0289_0291,"h 15 Capitel i Konunga Balcken och Stadzlagen. I lijka motto företredde Retten Påhl Hijroinen her i Liexa- by, och begerte att blifwa borgare, hwilken Borgmestare och Rådh emoth togh, Cautionisterna woro P"
1,Brahea,0293_0295," Påhl Turuinen, Lars Kesojnen, Hendrich Moijsejnen, ifrån Wedensuu Si- mon Söckö, Grelß Turuinen, J Liexaby Anderss Laitinen, Ilio Timitra, försekradhe Borgmestare och Rådh all Stadzrettigheet effter Frijh"
2,Sordavala/s1,0147_0148,"rlighe förhållande honom styrcker; Samma- ledes förestegh Hinrich Hyfwärinen ifrån den Re- ducerade Liexa el:r Brahea Stadh, med Inspectoren der sammastädes Jacob Böismans bewijss; i lijka- måtto Jöran Kis"
3,Sordavala/s1,0208_0209,"som war d. 16 Junij, då han war aff Thomas Hulkonen och Lars  Biörn, som för detta warit Borgare  i Liexa äskadh att wijsa dem wägen  som gåår åth Seeklax, haar denne Chri- ster, då hann kommit uthom Stade"
4,Sordavala/s1,0341_0342,"oin wed framreesan till Nyen för någon Båtzman, uthan at han sigh dijt äfwen som 5 st: Karlar ifrån Lieksa, så ssom Peer Biörn, Påhl Pardain, Petrus Laurentij, Anders Rau- tiain och Petter Kainulain med sin"
5,Sordavala/s1,0342_0343,"in ïcke leigdt Hendrich Hämäläin till någon Båtzman här ifrån uppå sin lådia mehr än dhe andre 5 st Liexa karlar, eij heller Taskin och Lembinen, hwilckas Saaker han till sköta allenast hafft, Och desse ka"
6,Sordavala/s1,0342_0343,"ian och sedhan tagit fulla frachten af desse; dy fälte Rätten så denne Hämäläin, som dhe 5 förmälte Liexa karlarne, hwilcka alla för frachtkarlar på Passet opförde stå, att betala till Hulckoin dhe 5 D.r K"
7,Sordavala/s1,0399-423," hwar utj een ben:dh Anders Rautiain,  som kallas för Stadzens Borgare, doch skall wara  een Bobl i Liexa, jempte 3:ne af denne Stadz onampn // [TK 402] 4 gifne Borgare, hwilcka in Julio [1]690 där i Safwo"
8,Sordavala/s1,0399-423,föregaf sigh för någre  dagar sedhan tillhandlat och kiöpt medh Toback af een Boo- fast Bonde ifrån Liexa S:n och Warpaises by Niels I- sachson Nickinen ben:dh á 2 D:r 16 /: lodet; Bewijsandes  det denne B
9,Sordavala/s1,0399-423,"oin, Daniel Adrahamson och Simon Hurri  i Liebelitz Kyrckia. Anders Tuchkuin och Petter Hulckoin  i Liexa där samma gången Hulckoin af fråsan Siuck legat. Johan Lembinen, Henrich Hirfwoin och Mårthen Tietä"
10,Sordavala/s1,0430_0430,s fordran af Påhl Årafwain - 11 Brun Olofson framwijses 1 lysten Sölfz: kanna kiöpt af bonden ifrån Liexa Nils Isaachson Nickinen – 15 Brun Olofsons fordring af Martino Canuti - 27 Brun Olofsons fordran af
11,Sordavala/s1,0436_0436,"Bonde i denne Sochnen och Twoxlaxby Årafwain ben:dh pantsatte till een wedh  nampn Lars Biörn ifrån Liexa, medh hwilcken Hulc- koin sammanhandel hafft, och dy honom desse Panter öf- werdragit på hans andee"
12,Sordavala/s1,0441_0441,"confiscerade.  Denne Tijain gaf här emoot till Swahrs att då han, som den tijden een Skattdragare i Liexa war, det han medh Arren- datorens wählb:de Salomon Eenberg Attest [1]689 d. 12 Martij daterat bewij"
13,Sordavala/s1,0441_0441," honom desse 8 st: Råäfskin medh haarskinen, att låtha dhem i mangel, där af någon godh beredare, i Liexa beeta och beredas, hwilcka Skinn, wedh heemreesan till Liexa, af honom blifwit confiscerade, doch e"
14,Sordavala/s1,0441_0441," mangel, där af någon godh beredare, i Liexa beeta och beredas, hwilcka Skinn, wedh heemreesan till Liexa, af honom blifwit confiscerade, doch enär Enckian dhem igen fått af Parfwiain, har hon dhem andra g"
15,Sordavala/s1,0441_0441,"it dhe sama skinnen, som Confiscerades af honom, hwilcka Sahl:e  Kyrckioheerdens Enckia honom att i Liexa beredas gif:t och att han dhem samma åhret 2:a dagen Juuhl igen be- redda tillstält Enckian. Senten"
16,Sordavala/s1,0441_0441,"ställande Enckian Skinen igen hade :/ att dhe wa- rit sama skinen Enckian medh honom, att beredas i Liexa  sändt, som af honom confiscerades, och han dhem enckian igen beredda tillstält; dy ehrkändes Johan"
17,Sordavala/s3,0003_0004,nan Sohlsätter samma dagh effter det 16 Cap:  i Rådst: Bal:n att ehrläggia och betala. Bonden ifrån Liexa Hans Wijtalain föregaf sigh för un- gefähr 9 åhr sedan bekommit uppå Credit af Borgaren Petter  Hul
18,Sordavala/s3,0031_0032,"as och förbiudas, som blef ad notam tagit.  Rådhman Thomas Hulkeoin tilltalte Skattdraga- ren ifrån Liexa anders Rautia för den förkomne  Cronones Spanmåhl ifrån Kiexholm till Nyen fort  helst han skall wa"
19,Kajana/RO_1659_1699,0219_0219,Företrädde Jürgen Sabbathin ifrå Brahæa ell:r Liexa och tilltaalte Borgarens i Uhlå Sahl. Anders Clemetßons Successor matrimoen Hindrich Cöllingh medh 
20,Kajana/RO_1659_1699,0230_0230,"derlagdt Staden. Borgerskapet beswärade wijdare sigh högel. deröfwer, att Uhlå Borgare som och ifrå Liexa och andre Ortter, Jemwähl här af bönderne, upköpes allt godz som faller och icke eens komma hijth t"
