,parent,file,context
0,Kexholm,0085_0087,"wäradhe sigh öfwer Larss Andersson Pyhronen, det hans Intecessor Lewoska Simon hadhe för honom uthi Nyen till Nicolaus Löfflingh betalt 160 D. K. M:t som des Quittens af d. 20. Octob. 653. uthwisar och nu"
1,Kexholm,0086_0088,"derföre 160 D. K: M:tt i Nyen till Löfflingen lefwa rerat, samma kiöps skall ehn Bondhe Anders Erich i Killpolaby åhört hafua, hw"
2,Kexholm,0096_0098,"framträdde H: Berwidt Zmbemans tienare. Erich dusser och inlade för rätten sin hwßbondes breef Dat: Nyen d 12 förleden Xbris, dher uthinnan honom duster luster och befahlles att förretta fordra Borgaren a"
3,Kexholm,0096_0098," annat behöör, sampt dher uthi 175 T:r tiäru, uthj penningh samma tiälru H:r Berendt Timmerman uthi Nyen hwilken han sådant skyldigh war att tillstyra, suär han nu till Götheborgh kommen war Bleff honom a"
4,Kexholm,0096_0098,"r Bleff honom at samma thieru 5 tr: aft igen till Cronones behoff medh det öfriga är han under till Nyen gången och wedh hans dijt kombst, hafwa alla Stadzens inwånare undantagandes H:r Berendt bruuk och "
5,Kexholm,0096_0098," gå under åth å minnet, i sannet att begyfwa sigh åth wij borgh, kär dhe ähro kompne Een myhl ifrån Nyen wiss Kifwisari eller Kohlusari hafwer deras lodia fastnadt wedh grunden och blifwit beståendes dher"
6,Kexholm,0097_0099," af Kiskinen uthfodrandes, här uppå mädde tes att lagligit extract. Her Barn & Franck Borgare Ifrån Nyen prætende de nu som tillförende opå 126 Dr K. M: Q som han aff Ho Söder Dementioff fordra hade och e"
7,Kexholm,0105_0107,"Matz Jatinen Framsteegh Casper Martin åkärandes, uppå sin husskan= des wägnar P:r Evert Husks ifrån Nyen på Skepparen Jöran Nielson Heike om the skutelagor som be:te Evert Falck depparen gifwa skulle, men"
8,Kexholm,0105_0107,"ygar, i wachten let på schepparen thill theß han reeßfärdig wardt hafwa så henne fördröijt att uthi Nyen, dijt bemelte fracht skulle betalas är honom hans fördeel af ehuren uppå sitt in dheppa de godz näm"
9,Kexholm,0107_0109,"tseglande, hwarföre han dem, Epenningare för wäg= ra will; Men ehrparen berättar sigh hafua warit i Nyen, och der blifwin till dömbe samma pengr, dher före uppskiötz till Hr Evert Huch- sielfwa ähnkombste"
10,Kexholm,0108_0110,"ngåendes sitt arff, som skulle uthi Borgmester och Rådh för- warningh wara in slutit, effter Sal: Saskans död men emedan Borgmästaren som nu pro tempora närwarande ähr medh sampteligit Rådhet leke om samma"
11,Kexholm,0113_0115,"fullmechtigen på Borgmesterskans wegnar Fauruhen Aron Beyer, att Jöran Hinrichson skulle hafwa förtärdt kunna sampt dhe andre spe- c"
12,Kexholm,0120_0122, Stadzens gömma förblif- närwarande Wällb:ne H:r Landzhöfdingen. Dito; framkom Wälltt Borgare ifrån Nyen inläggiande h.s Excell:tz Rådetz H:r Lorentz Creutz breeff din Wällb:r H:r Landzhöfdingen Patrick o
13,Kexholm,0129_0131,"war uthi han prætenderar sigh hafwa uth: Caution gångit för b:te Rådomen, i förleden åhr 1664, uthi Nyen shamt och honom förphaffatt 33 t:r Salt der sammastädes, af Mons:r Hans Wegner, hwilket han, Morton"
14,Kexholm,0133_0135,"thi förmäles, hurulund Simon Larsson, och Mikita Larsson Lewacka, äro och f:r Rådman frachtade ifrå Nyenskantz till Kexholm, hampn, medh 33 t:r Salt, hwarmedh dher äro hijttel Kexholm ahnkomne, och uthom n"
15,Kexholm,0144_0146,"eekade, uthan nu strax uppå b:te Rest lef- wererade 1½/2 tunna Smör, för det frijset protempor uthi Skantzen giella kan, och dhet öfrige af restente under han sigh betala sidst uthi Septembri månad hwar med w"
16,Kexholm,0144_0146,", benöijandes sigh sädan hwad öfwerheeten her uthinnan giör. N:o 57. Dito Framkom kappesellen ifrån Nyencant Hinrich Jonßon, begierandes af Retten, att dhet måtte uthi pro- tocollet fattat blifwa, nämbl. "
17,Kexholm,0145_0147,"udagh, närwarande V. Borgmästaren, och Rådet. Framlades uthi Rätten, Borgmest och Råda breeff ifrån Nyenschantz, förmälandes huruledes en bonde ifrån Tiu- rula Hinrich kirrochnen b:d hafwer dher inkommet m"
18,Kexholm,0145_0147,"ingen ahnmodar han måtte frij pass och repussera; och icke förmält om någen köpslagan, hwarföre dhe Nyenphantz eher hans we- er hafwerlåtit förbiuda, effter dhet att handt köp wore, i dess Retten ifrån Ke"
19,Kexholm,0148_0150,"b:te Meijer wore richtigt Con- nterat; hwilket skedde när Meijer honom en Wexel frå på Evert Huch i Skantzen, hwar medh Grabben wo- på afrächningh Content, hwilket och Meijer effterkom exelen bestående af 1 2"
20,Kexholm,0149_0151,"tion kunde nöijachtigh wara, beröfuar altså dhen uthgif- Spanmålen till Meijer, effter Markgången i Skantz eller Wiborgh som Contractet uthwijsar, till 14 Dr 2:ne ty hwilken Contractet först bryta, skulle? "
21,Kexholm,0149_0151,"äns betygh uthwijsa skall. Således af Rätten, att Grabben, skulle bewijsa hur högh Markgången war i Nyen och Wiborg 663. och Wåhren, och Meijer skulle oppter sijne wittnesmän han sigh på beropar hwar med "
