,parent,file,context
0,Kexholm,0101_0103," som wedh skeneste Rådhstugu dagh till städes wore. Advocat Fischalen Johannes Scheffers breff dat, åbo d: 13 Aprilis 663 Inlades i Rätten, och effter öfwerläsan¬ det sade sampteligen Rentens besittiare,"
1,Kexholm,0176_0178,"a Ordre, ifrån P: Excell:tz Hr Gen: Gouverneuren, att publicera hwad den Högl:r Kongl: Hofrätt Uthi Åbo om dher klagande Borgarne förord- nadt hafwer. Men oansedt der klagande Par= ter i rättan tijd Cite"
2,Kexholm,0209_0211," Borgmester och Rådh N:o 53 Samma gång bleff den högl:r Kongl: hofrättz dom och resolution, Daterat Åbo d 11. Novembris 667, hwilken d 22 hujus ahn= kom"
3,Kexholm,0215_0217," och förbudh, dat: Stockholm dn 2 Novembr 1667. Sannegång blef den högl:r Kongl: hofrättz bref, det Åbo d. 25 Aprilis 667 till Wäll:ne herr Landzhöfdingen skrifwit, och nu nyligen i Wiborg öfwerlefwerera"
4,Kexholm,0300_0302," annars skee wid mindre han nu skulle fullfölgt blifwa er och der med wäll bemögde att en Advocat i Åbo blefwo betingad, som saken emot läsaren kunde uthföran; och han hans iak rätt mäteligen tillkomma /"
5,Kexholm,0310_0312,"b:te talat med honom om winteren de öfr, och sagt för denne Peter Jannukain, att nå- derskrefte opå Åbo reesan, och Sigfrijd Matzons Son Staphan, skall hafwa lofwat wilia försträger denser Brusio penning"
6,Kexholm,0349_0351,"er och Rådh samma gång hatt wälb:ne herr Landzhöfding en Publicera den högl. Kongl. hofrättzdån at: Åbo d 29 Aprilis 672. ahngående den skyllningen, som Borgaren Sigfrijd Matzon wid sin som Staphan, hafw"
7,Kexholm,0403_0405,"önn i try dygn, effter det 35 up I Rådst: B. så wäll effter den högl Kongl. befrättz resolution dät Åbo de 23 Aprilis 667. D 3 Aug: wed ord: Rådstugu doch, närwarande Borgmästar och Rådh N:o 40. Pålades "
8,Kexholm,0494_0496,"la de dato d 27 Aug: Ao: 1678. Hwar uthi finnes hinrich Pierfoin för- wälde på dett landh som jdhan åbor wara straffat till 40 mkr der med bewijsandes, an tinnan ingen deel hade att prætendera af Johans "
9,Kexholm,0533_0535,"t. ty  fälles han till syne 40 mk Sölf.r m.t för förste gången effter den höglofl. Kongl. Hofrätz i Åbos Resolution, och kånan som nu förste gången med Lönskelägo sig för- sedt förskones med böterne och "
10,Kexholm,0573_0575,"z medh den sidste Påsten ankomben Nådige skrifwelse till Bårgmästare och Rådh här sammastädes, Dat: Åbo den 27: Septembr. sidstleden, Af innehåld att Kongl. Maijtt allernådigst resolverat hafuer, att all"
11,Kexholm,0726_0729," Anders Pirhoin Blef till dömbdt i föllie af den Kongl: afRätt skrifftelige ankombne ordel Date rat Åbo den 6 Decembr. 690. Soldaten Anders Forsman medh Soldaters, herber- hans Enckia Anna Andersd:r Conf"
12,Kexholm,0854_0857,rdt till åhrligh Skatt 24. Cpr: erägnandes deraf wäxten 3. t:r effter tunnan och sedan uthsädet och åboens är swode som Skattas till Eftter afdrages qwarblifwer Spanmåhls Skatten 4:r 8 Dr som uthrächnas 
13,Kexholm,0895_0898,"h¬ ren med Lana som doch allt i H: Bårgmest. Gabriel hinnels och nu warande Bårgmestarens tijdh med åboens tillstånd och minne skedt är, hwil¬ ket eij är af det importance at der af något till Skatt kann"
14,Kexholm,0896_0899,"fwer Skatten ded af således berächnat i anseende till det åkeren kann fasta af sig, sedan uthsädet, åboens Erfwode som Skattas till helften Präste och Klåckare rättigheter uth¬ äro afdragne at af dhr 1. "
15,Brahea,0191_0192," Gu Dahl.r Sölfwer myndt, och kohnan för- skones skones första gångh, effter högh Kongl. Håffrätt i Åbo Resolution, men för widh skepellße emot Partain hon föröfwat. Ehrkänner Rätten, adt hon böther - 40"
16,Brahea,0230_0231,"å fältes han till – „ 40 mkr. Och kohnan förskehras förste gången; Effter högh Kongl. Håffrättens i Åbo Resolution/. Hoata Sawanpoika Käranden emot Erich Puhacka swa- anden om - 8 Claß Halm, den som af h"
17,Brahea,0232_0233," som andre gången ähr fallen i syndh; tå ther - 10 D.r Dito Waleur Effter högh Kongl. Håffrättens i Åbo, och stoor förstendömet Finnlandz resolution Anno 1674 d: 5 Augusti, höltes ordinarij Rådh Stugu da"
18,Brahea,0236_0237,"hafft legersmåhl med Anna Kaakitar, och han henne icke ächta will; Effter högh Kongl. Håffrättens i Åbo Resolution och stoor försten- dömet Finland, böther förste gången – 40 mkr. och Kohnan - 10 D. Sölf"
19,Brahea,0292_0294,"Sölfz Mynt, och Kohnan förskones förste gången medh Kyrckiostraff, Effter Högl Kongl. Håffrettens i Åbo resolution. ANNO 1679 28 Maij Höltes ordin: Rådstugudagh Nährwarandhe, Borg- mestare och Rådh. då f"
20,Sordavala/s1,0012_0012,"e Grefwe Gustaf Adam Baners Nådigste behagh, dhet Borgmästaren här i Stadhen sigh till dhen Kongl:n Åboske håffRätt förfoga skulle hans högh Grefl:gh Excell:ss Action, emoot Maijoren Wällb:e H:r Didrich "
21,Sordavala/s1,0015_0015," eij han förledhen wåras införsittiandhe RådstuRätt 12. RådstuRätt uthi Borgmästarens frånwaro till Åbo eet laga bewijs om sit förrehållandhe uthi sin här warandhe tijdh begiäradt, der  Emodh haf:r han f"
22,Sordavala/s1,0039_0039,"dhe sådant kungiordt houptman H:r Johan Tist[ell]  hwilken sedan uthi Borgmästarens från warro till Åbo, låtit för berörde Ryse Arestera till 60 kannor bränwijn, till Borgmästa[rens]  hemkompst, dhem Rys"
