,parent,file,context
0,Kexholm,0090_0092," hafua warit, uthi Contant Penningar 15 D 1 Then talrick, gammalt Sölfer till 6 sknd wahrde och twå alnar Tobak :/ skole uthaff ehußer- dhe i Kurkola Johan Kello bortstulit Bondhen Johan Kello war tillsted"
1,Kexholm,0119_0121,"eelt och gifwit alldeles som gården beliggiande är, medh hwß bredd, och längd nämbl. bredden sextio alnar, oc lüngden femptijd säx alnar. Ör 30 dito bleff extraord: Rådstugu håll i närwarne på H:r Landzhöf"
2,Kexholm,0119_0121,"rden beliggiande är, medh hwß bredd, och längd nämbl. bredden sextio alnar, oc lüngden femptijd säx alnar. Ör 30 dito bleff extraord: Rådstugu håll i närwarne på H:r Landzhöfdingens wegnar, Reet:de Zachari"
3,Kexholm,0223_0225,"anb:t är, bekenner, man qvantiteten af tobaket, som bonden igen hade, kunde han skatta på 6 eller 1 alnar. Dito bekände Jöran Eskillßon sig hafwa warit med Hinrich Wildeman till Räwel och sedt att Hinrich "
4,Kexholm,0387_0389,"are skall swarat, sigh intet hafwa något Toboak at försällia, haf:r Elliest fått af Min wärdz några Alnar till min hustrus begrafning; då denne dickne hafwer sagdt, hielp mig som een Ärlig Man, iag will gi"
5,Kexholm,0407_0409,"ta bta uthi 7 Dr räknadt pgr i Sölfrmtt, som at 2 Dr 1 g.r och någre löösespgr och 2 Sölfwerskar 16 alnar Tolak 4 härfwor grändt lijngaren 1 brödlaka, TillDordes af Soldaterne, så wäll som der i Rätten sut"
6,Kexholm,0436_0438,"ompagnie hwilken och Inspectoren för hanßon skyklag. för oloflig Tobakz handel, hwar oppå des någre alnar oppwijste begierte att han i måtto, måtte blifwa afstraffat. Pijparen Johan Johansson, säger att ha"
7,Kexholm,0436_0438,"nast Soldt åth en skånisk Soldat för 2 öre der af, och sade kobohet i alles icke mehra warit ähn 10 alnar mehr hade han här emot intet att Inwända Sententia Såsom Piparen Johan Johanßon befinnes emot Kongl"
8,Kexholm,0555_0557,"eh i Järfwenpää angående 6½ D:r Km:t som denne Korteh af ho- nom fordrar för resterande, warde af 9 alnar walmar. Dito lofwades Stadzbonden Jören Tijra och borgaren Johan Luckarinen att rödia ett Moras sty"
9,Kexholm,0636_0639,"war- åkern och deß förmedelst förmentan sigh kunna för sin gorde Benß och omkostningh bekomma några alnar öfwer för sitt omak; Och såssom han sielstledne böndag och som war dhen 6 Augusti kom under wådrat,"
10,Kexholm,0701_0704,che Kärande och denne Stadzens Inwånare Johan Meroin Swarande angående dhe dem eij mellan för någre alnar Rasks wärde före- lupne Injurier som dee warit twistige en afsagd å Kexholms Rådhuus den 14. Aprili
11,Sordavala/s1,0018_0018,":gh  11 stycken Räfskin, 6 Timmer och 27 stycken Grååwärk, 2½ mk:r Toback, Et litet Biörenskin, 113 alnar medell måttigdt Rysk lerfft, 2:ne stycken förgifft, Contant 2:re Rubl:r och 6 denningar Ryskt Myndt"
12,Sordavala/s1,0100_0101,"D:r Decorteras som Afwin redan fådt der oppå. Men hwadh Jeremiaeson förmenar sigh dess uthom dom 70 alnar lefft á 8 öre och Contant 17 D:r medh 1 llb Smör á 5 D:r gifwit, denne Oloff och dess fader då dhe "
13,Sordavala/s1,0457_0457,"regaf sigh medh tilbuden Eedh  medelst bem:te Stöldh bårtmist 1 Rulla Toback af 9 mk:r, Item  någre alnar lerfft och någre Ryske deningar, som ihoop alt  werderades till 12 D:r K:m:t föruthan det han af gå"
14,Nyen/RO_1684-1687,0044_0044,"ngen bekommit af sahl: H: Lado. R: at han af ingen annan än af Wagener fådt Klädher, och allenast 7 alnar till en Kiortel Parterna uppå tillfrågan, om dhe hadhe något mehr at påminna här widh, swaradhe Ney"
15,Nyen/RO_1684-1687,0366_0367,å dhe taget af henne Q pår Manfolks strum por en Manfelts skiorta och een qwinfolkot särk sampt 10: alnar grofft lährefft medh 3: Drnningar 342
16,Kajana/RO_1659_1699,0033_0033,"e aldrigh hafwer warit beslagen medh något Landz- kiöp, och nu intet mehra såldt ähn allenast några alnar Hurst af dhet godz han från Rysslandh kiöpt hafwer: altså blef opå Hans HögGrefl. N:s behagh, denne"
17,Kajana/RO_1659_1699,0137_0137," honom något Tobak, hwar till Thomas intz heller neeka kunde, uthan sade sigh alle- nast hafft paar alnar på heela reesan. Sedan up- togz dheras Wäskor, och befans i Hwars Wäska Kiöpman- na Wahror, hwilka "
