,parent,file,context
0,Kexholm,0097_0099,"till någre andre personer för fragtat, Men dhen Gudh ehula freden förläsna, skulle höfwarin sin egendom wälligen bekomma. Tillspordesho"
1,Kexholm,0105_0107," på schepparen thill theß han reeßfärdig wardt hafwa så henne fördröijt att uthi Nyen, dijt bemelte fracht skulle betalas är honom hans fördeel af ehuren uppå sitt in dheppa de godz nämbligh rougen som in l"
2,Kexholm,0105_0107,"örorsakat sin rong här samma städes haf uppå, och här för sellia, Och således icke schepparen någon fracht tillstella behagar. Här uppå derparen swarade sigh ingen skulld wara. uthan be:te Össper Martin, so"
3,Kexholm,0107_0109,"es på Schepparen Jöran Nilsån Heiko, att han hade honom förpantat 50 Dr K:M:t olagligen, för schuto fracht; och efr be:te Casper föregifwer scheppa= ren hafwa haft skull til drögmåhlet, medh skutans fortseg"
4,Kexholm,0114_0116,"fwererande; men eme den som Jöranhaiko säger sigh hafwa accorderat medh Hr Evert Huck om be:te ahnlefracht, hwarföre /: Lijkmätigt rättens framgångh att han sitt sötia måd effterlåses honom Jöran haiko, att"
5,Kexholm,0115_0117,"wedo Lauri som adtestera M Erich Stiufs hafwa loffwat för 200 t:r hwardera särskildz 20 öre tunnan ifracht., framhade ähn ytte mehra Schiepparen, Mattz Hinrichßon och Johan Näfwen sombien, hwilke bewittna, "
6,Kexholm,0127_0129,"nämbligast det thinnan, att hon h: Margareta Wegner icke b:te Öfwerstl. the 40 Dr SölfrM:tt, som Confractet innehåller i rättan tijd nu uthfäst bleff, ehrlagt hafwer, hwilket war om eij höste, 667 och hwar"
7,Kexholm,0133_0135,"ication, hwar uthi förmäles, hurulund Simon Larsson, och Mikita Larsson Lewacka, äro och f:r Rådman frachtade ifrå Nyenskantz till Kexholm, hampn, medh 33 t:r Salt, hwarmedh dher äro hijttel Kexholm ahnkomn"
8,Kexholm,0133_0135,"begifwit och 2 t:r Salt dher af tagit, uthan något accord, uppå sin befallningh, Oansedt han dhem i fracht 16 ör Kopr m:tt till lagt hafwer för hartunna, när dhe hit till Kexholms hampn komma skulle; hwarfö"
9,Kexholm,0133_0135,"kada som som dher aftagit hafwer måtte honom refunderas blifwa. Swaranderne neeka icke till fåledes frachtat wara, uthan det, dhe äro bidne af b:te Rådhman Saltet wijdare till Kurkijocki framföra, hwar på d"
10,Kexholm,0133_0135,"a in för Rätten till tigel Michell, hwilcka Rådhmannen begierte måtte protocollerat blifwa Om deres Frachtz twistigheet uppskiötz till dess dhe på både sijdor betre skall fram der. Sententia Såsom Simon Lar"
11,Kexholm,0135_0137,"h at Borgaren Simon Larßon, och Michita Lewoska, hit in Kexholms hampn, medh 33 t:r Salt, och dem i fracht swar kunna lofwat 16 öre K. M:tt hwilken är dhe in hampnen kommo, äro dher medh sin kuartighet i af"
12,Kexholm,0136_0138,"e effter sitt eget Rådh dijt af gånger, säijandes sigh wara 4 öre K:M:tt tillsagt fört hwar tunna i fracht. Rådmannen Michel Düster säger sigh aldrigh hafwa talat med dhem dher om, mycket mindre dem till Ku"
