,parent,file,context
0,Kexholm,0075_0077,"er Zacharias Lechtius, profererandes huru såsom Commendanten på Michel Düsters wäg- ner åt een Rysk Kiöpman ifrån Aginissmo, Simon Borboff be:te 68 D:r Koppar Mynt betalt hadhe, hwilcke Pen ringar Michel Dys"
1,Kexholm,0100_0102,"ruarij 666, dher uthinnan han Michil duster tillstår och förbinder sigh be:te Bössman för af kiöpte köpmans wahror, wara skyldigh blefwen 675 Dr 8 ör K:M. hwilken wield han uthfäster sigh, att freda för all"
2,Kexholm,0203_0205,"on Brusison, kan icke förneeka sig 6: 30 Dr öre: skyldig swara? men läger sig willia igenom en Rijnsköpman betala honom 15 Dr i Wiborg; och dett öfrigit begierar han Dilationeras medh Klaranden säger sig me"
3,Kexholm,0227_0229,"Wildeman, med besökaren sig neder till ha nen förfogat; begynnandes Ryske köpman Mitri Pedri poika tillspörja om han icke and förbudit Tobak hade med sig att föhra; och hu- han såd"
4,Kexholm,0227_0229," med råkat uthi olycko. Denne saak af sluten till effterfölljande Sentens. Emeden såsom denne Ryske köpman ifrån Agnisma, Matri Pedri Poika, befinnes hustru och ligen handlat med förbudit godz och oppköpt, "
5,Kexholm,0249_0251,"te Ryttare folgt Grelß Erichßon till Narfwen, hwarest Grels hade försåldt 3 st: hästar till en tysk köpman och tagit i betallning 7 ℔ 9 mk:r Tobak i små Rullan hwilket tobak der hafwa sådane hijt innat Kexh"
6,Kexholm,0259_0261,"teeg Inspectoren öfwer Tobakz Compagnie wällk Peter Scheder gifwa des tillkänna, huru ledes en Rysk köpman ifrån Tijfin, Vasili twanoffz h:o skall olaga köpslagan, drijfwit med Tobak emot Kongl. Maij:ttz al"
7,Kexholm,0273_0275,"efte- rade iag dig igen något för Påska i detta åhret. Eskill säger sig denne tunna bekommit af sin köpman i Stocholm, som hade hafft af denne tunbindarens tun- nor, den han tillförende hade köpt aff Sifr"
8,Kexholm,0274_0276,"man Påwel Anderßon b: som då hade warit uthi Stockholm tillijka, och samptat denne halfftunna ifrån köpmannen; och sade sig wäll igen kunna som ma halffunna som, han hade burit. Framkallade Staphan Sigfrijd"
9,Kexholm,0275_0277,att Sådan tillspordes han om han nu kunde giore sin Eedh att denne tunna är den samma som togh hooß köpmannen i Stocholm hwar till han swarade; att intet weet iag om denne är dem samma eller eij; Men dett w
