,parent,file,context
0,Kexholm,0591_0593,orubbat wärckeligen åthniuta. Sedan ähr staden blefwen för Stadzskrifware twisten effter oprät- tat liquidation å Rådstugun skylldigh 469 D:r 4 öre Silf:r m:t hwilka Penningar hans Exell:s H:r Generalain staden 
1,Kexholm,0852_0855, Sil¬ wäst dömes till Meroin förnöija deras twistige Räckningar som ey denne saak angå blifwa under Liquidation afgode Mann opskyutne eij medan sten för deras Contrarie berättelser elliest eij haar kunnat blifwa
2,Sordavala/s1,0016_0016,"ylldigh wara uthan att hennes Sahl:gh man medh Caroll Clarerat och richtigh giordt, men Coroll wedh liquidation sagdt sigh obligation i Rysk medh förgiätit, säger altså att Coroll på Nyio betahlningh uppå samma "
3,Sordavala/s1,0024_0024,", men Rådman badh att sådane som Arester bryta skolle straffas, som och Fadhren, hwilken till ingen Liquidation medh Kyro sedermehra sigh instält; Ty fältes Anders Luckas till sine 3 mk:r för olydno, sampt och K"
4,Sordavala/s1,0081_0082,"te och intet sit wittne i sam- ma saak afladhe, och bägge stämmas Nytt. Effter sluthen Räckning och liquidation Emellan Tarasia Pukari och Mårthen Poutia, angåendhe fracht för Poutias lådia till Nyien medh mehra"
5,Sordavala/s1,0134_0135,"nnes 1683 den 7 Maij redan af denne Rätt Resolverat wara, att Littunen i Nyen medh Blomen sigh till Liquidation inställa skolle, det han eij sedermhra omsköth, uthan lämbnat det alt effter lijka som sådant in- t"
6,Sordavala/s1,0138_0139,ien H:r Petter Schlyter rättmätigen effter sidst hållen och den 23 huius här på Rådstufwon oprättat liquidation hafua böhr skolla fram- för andres fordringar och skulder tagne blifwa uthi Consideration at betahl
7,Sordavala/s1,0152_0153,"iööwägen till Nyen reesar, Ty skönies hans Contumait att willia komma denne bonde till Swars, eller Liquidation för af honom tagne waror ehrläggia. Anno"
8,Sordavala/s1,0157_0158,"hrister Lahrssons i Karmallaby begiäran blef Bårgaren Mårten Putkoin frambkal- han Putkoin lat till Liquidation för dhe waror af Christer kunnat taga Emodt Någre länthe Peningar, som Putkoin första reesan warit "
9,Sordavala/s1,0162_0163,40 mk:r för Bönedagz för bråth sampt Konugl: Maijt:z allernådigste placat öfwerträdandhe. Sedhan En liquidation Emellan bröderne Clemet och Samuel Pessuses Söner blef Uprättadt om Ett häste kiöp Clemet af Samuel
10,Sordavala/s1,0176_0177,"Johan Mutka, Jöran Wallius Isack Mackoin, Anders Tuhkoin Sedan Liquidation emellan Anders Halloin, och Oloff Aufwinen, blef igenom sedder, och förrättadt, angående dhe waror "
11,Sordavala/s1,0298_0299,igdt det 9 – och 12 Cap Såra Måhla Balken medh willia och Stadzlagen; Effter häradz retten oprättat Liquidation blifwer Nilss Mattzon Bälkj I Toxlaxby till Borgaren Staphan Lödiönen skylldigh 22 D:r 28 / KM:tt s
12,Nyen/RO_1684-1687,0004_0004,"dhens arbete, blifr här medh fört rätt ehr kiänt at Swaranden Rådman H: Blankenhagen effter omstält liquidation blifwer Kiäranden skyldig 10 D. 31 öre koppar Myndt, hwilka han bör honom godt giöra; S:r Michel Fi"
13,Nyen/RO_1684-1687,0037_0037,"wa slutit till doms; Hwar på acterne, och Räckningar blefwo noga ige- mon sedde, och der utöfwer en liquidations Räk- ning i Rätten förmerad, sedhermehra fölljande doom uthi Saker för fattat och publicerat; Sent"
14,Nyen/RO_1684-1687,0136_0136," Brökers Räckning, som Bröker seder- mehra hafwer gifwit honom om dhet resterande Arrende, hwilkens liquidation i domen ähr uthsel- tillståendes derutinnan Bröker sigh blifwa skyl digh på Arrende 2 ½ mkr Lijn oc"
15,Nyen/RO_1684-1687,0137_0137,"l: 8 Aprill, Bröker beswärar sig at uthi hans franward d: 30 Martij har på Rådhstugun är giordh een liquidation honom och Tunder emellan, derföre han anhållen at honom beneficium Appellationis der emotz må effte"
16,Nyen/RO_1684-1687,0137_0137,"z må effter låtas, framteendes till dhen ända rans penningar; Tunder protesterar der emoth, emedhan liquidationen grundar sig på een doom, som länge sedan haar nät sin krafft, och hade han under samma lig- datio"
17,Nyen/RO_1684-1687,0137_0137,"Resolutio. Alldenstund S: Jochim Bröker har hwarken d: 14 Martij sidstleden då S: Cort Tunder sökte liquidation sigh och Bröker emellan, eller någonsin tillförne Klandrat på dhen domen af d: 27 octobr: 1683, som"
18,Nyen/RO_1684-1687,0137_0137,"a skiähl, hwarföre dhen af Bröker emoth en så ostrijdigh och igenom stilla tygande för gudh erkende liquidation interponerade appel- lation kom effter låtas; Effter publicerat Resolution betackar sig Brö- ker, a"
19,Nyen/RO_1684-1687,0402_0403,"åndare Peter Nyter. Efftersåg gamblas Kyrkio Räkning de A.o 1674 och eme- dan befans att Slyter sin Liquidations Räckning derpå hafwer grundat, ty stadnade Rätten uti föl- kiande Sententz. huruwäl Snickaren M:r "
20,Nyen/RO_1684-1687,0403_0404,"t detta med M:r Johan Sigfredßon richtigt hafwa liquiderat; Till deß bestyrckiande och Slyter samma Liquidations Räck- ning af förbem:te Dato, nu utj Rätten inlefwererat; hwar uthur M:r Johan Sigfredßon den tijd"
21,Nyen/RO_1684-1687,0403_0404," war betin- gat, förfärdigar, 50 D. Kopp. restera, ty erkenner 2 Rätten skiäligt att dhet wid samma Liquidations Räckning aldeles förblifwer och M:r Johan Sigfredz son intet mehra, än bem:te 50 D. Kopp:r M:t haf"
22,Nyen/RO_1684-1687,0403_0404,"dige giör, åth honom bör be- tahla, doch att W:r Johan dhe 15. D. K. m:t som Slyter befinnes effter Liquidations Rechning honom hafwa lef- wererat uti deße 50 D. moste decourtera. Public: dn 5. Februarij 1687. S"
23,Nyen/RO_1684-1687,0452_0453,"ner skiäligt såsom Tunders fordran af 282. D. K. M:t på Bröker grundar sig på Rättens klara dom och Liquidation, och eengång reda"
24,Nyen/RO_1684-1687,0453_0454,är i Staden blef såldt; men at åth- skillia 451 125 skillia desse parter formerade Rätten fölliande Liquidations Räkningh. Eer högbem:te Kongl. Hoffrättens dom Sahl. Claes Wargens giäld ähr effter obliga¬ tions 
25,Nyen/RO_1684-1687,0457_0458,lagen; hwaremot Bröker ifrån bem:te Dato intet skiäligt kunnat byskaffa; Ty förblifwer det sama wid Liquidationen som Tunder sig beropar uppå och emedan Broker blifwer honom skyldig 282 D:r Kopp: Tij moste bröke
26,Nyen/RO_1684-1687,0464_0465,ns som af sahl. Lars Anderßons Arf- wingar i föllir aff Magistratens dom af den 18 och Magistratens liquidation af den 20 innewarande; den ne Suppliquen blef wederböranden tilsendt att för- klara sig derpå. vid:
27,Nyen/RO_1684-1687,0570_0571,"Lars Anderssons Arfwingar in p:to dl: _ „ 3. Dito emot Sahl. Claes Wargens Arfwingar angående een liquidation dem emillan... 124. Peter Hyter söker Execution på bröker Peter Starck emot Johan Schening, angåend"
28,Kajana/RO_1659_1699,0003_0003,"ch att betala till Michel Bengtßon, föruthan interesse, 111 D:r 16 ör, doch står detta till wijdare liquidation. Be:te"
29,Kajana/RO_1659_1699,0029_0029,"naborgz Stadz, uthi H.r Majorens, Bårgmestarens, Befalningzmans och Rådmäns nährwaro. Effter giordh liquidation emillan Påll Pekoinen och bonden Ragwaldh Tihinen, blef bekoinen till bonden skyldigh 4 D:r 20 öhre"
30,Kajana/RO_1659_1699,0032_0032,"etala till een Bårgare ifrån Uhlo Jacob Larßon be:d 8 D:r K. M:t som han effter giordh rächning och liquidation är honom skyldig blifwen, och dhet tilkommande winter marknan effter- komma, effter dhet 16 Cap. Rå"
31,Kajana/RO_1659_1699,0075_0075, effter dhet 43 Cap. Tingm: B. Carl Hyfwöinen skall betala till Erich Peerßon effter richtigh jordh liquidation och rächning witterligh giäldh 12 d:r 20 öhre kop.mt effter dhet 16 Cap. Rådst B. Staphan Peerßon F
32,Kajana/RO_1659_1699,0103_0103,"terligen ifrå draga låthit, och betalar till kyrkioherden dhe reste- rande 2 D.r K.r m.t han effter liquidation skyldigh blef; och för then ena kyrkiogång och 1 åhrs Påskpening:e hwarfö- re han sin Eedh afladhe,"
33,Kajana/RO_1659_1699,0104_0104,"amdeles medh sådana ordh igen kommer, dhet och af Rätten för skiäligt ährkändt bleff. Effter giordh liquidation dömes Thomas Isachßon att be- tala"
34,Kajana/RO_1659_1699,0108_0108, 4 D:r K.r M.t och då straxt lefwererat reeda peng:r til Skarprättaren 1 D.r samma M.t Altså effter liquidation blifwer förbe.t Christer skyldigh til Skarprättarn 1 d:r 8 öhre hwilka peningar Christer till honom
35,Kajana/RO_1659_1699,0147_0147," Nämbdes Rådmannen Hendrich Michel- ßon och Hendrich Knutßon at uthmätha förbe.t Arf. Effter giordh liquidation emellan Peer Hotacka kärande och Grelß Markußon Swarande, angående en Förskins Pels och försträchte"
36,Kajana/RO_1659_1699,0160_0160,"Eskelsson, at han will, intet effter låtha Under Prästebohlet af sin Tompt, Ett stugurum effter dee liquidation som Bårgmeste- ren medh Rådmän och Stadens Notarien medh honom för- ledne wåhras giordt och Uprätta"
37,Kajana/RO_1659_1699,0184_0184,":ll dhem Sahl: Wachtmestaren i sin lijfz tijdh öf:r sin löön skulat bekommit, Item seder- mehra som liquidation Skedt framwijste Befahl: Sahl: Carls zedell af d: 20 Julij 678 2 D.r K: M:t Dat: 14 Novemb: 2 D.r N"
38,Kajana/RO_1659_1699,0224_0224,"ng, Uthan begiärte, att dette måtte änn medh fremmande Männ Liqui- derat blifwa, dy förordrades att liquidationen bijwista Rådh- Man Per Hinderßon, Sochne Skrifwarn Erich Eskillßon på Besoldi wägnar, Erich Perßo"
39,Kajana/RO_1659_1699,0227_0227," „ 80 D.r Km:t. Emooth denne gield Enckian warit skylldig effter Sochne Skrifwares Erich Eskillßons Liquidations Rächning dem Emellan Nembl.n Nembl. 79 D:r 29 öre, 685 hafwa RådhMännerne brukat hem- manet till H"
40,Kajana/RO_1659_1699,0338_0338,ätten Liqviderat Rächningh och egen bekennelse dömes hustru Chatarina Josandra Lijkmätigdt oprettat Liquidation af d 8 Aprilis i Nästl. att betala till Rådman Peer Hinderßon Nembl. 4 d:r 21 Öre Km:t lijckmätigdt
