,parent,file,context
0,Kexholm,0133_0135," när dhe hit till Kexholms hampn komma skulle; hwarföre prætenderer b:r Rådman dher uppå, att honom mått hans Salt restitueras, och all hinder och skada som som dher aftagit hafwer måtte honom refunderas "
1,Kexholm,0147_0149,"h begierke att Johan Person skulle dant bewijsa, att hon hafwer honom smöret medh orätt nicht ifrån mått, Rådet begierte att Smöret måtte uppwägas på Rådstugun thi samma bytta och kappa, som det wart Rådm"
2,Kexholm,0172_0174,"C uthföra, begierandes att H:r Berens rätta nu bewijsa, hwad han Wällb:ne H:r landh= höfdingen till mått hafwer, nembl. att Wähll H:r Landzhöfdingen skulle låta inhämpta Aren- datoren Andres Grabbe, som s"
3,Kexholm,0202_0204,"tt hur antwort, des sig ders bäuren Johan Johanson Orawa, inneren helb 14 taga contentinen will, wo mått och biet- sig sigh ifr huus hu wärdaren leßen undt mit Jacob Grelson hat sin accordiet auff en mona"
4,Kexholm,0239_0241,"rmått hästen att hänger behålla i dy hafwr han och längre hon tyle för undt, bewierandes att bonden måt till sin rött förhielpas. Bonden Staphan Theri säger; att hans Son hafr såtsom hans wetskap och för"
5,Kexholm,0263_0265,"andt som i nu säger? werste icke iag sielf då till Narfwen, och war der så många dagar, Jag hade ju mått kunna sidt eder? elliest och hade i intet hafft behoff att reesa färan myhl uthi från Narfen 262"
6,Kexholm,0295_0297,"ntet hafwa gifwit: då hafwer Påwel be- at bruka innan, och sagt betala mig mitt Omet tiagh hafr opp mått till salt? hwar på Staphan hade swarat: att emädan duäst båtz nan, så bör du och hafwa omak för sak"
7,Kexholm,0347_0349,"uls tes, och war intet uthur boden, kom och dijt Co Warg, med Hinrich Kierhoin, sädan dee 4 Dr hade mått; Men Clas Werg gick bartsädan hoos hade talat med sin Son; gå om hon hade sagt sin sammerat Johan H"
8,Kexholm,0384_0386," intet wädhe deraf eller hafwer befalt Torawigz Ryttare om sådant at fråga. Dito begierte Huuken at mått annoteras det Roslindt inkom medh twenne drängiar, hwilcke begge hafwa hafft wärier oppå sigh; Och "
9,Kexholm,0534_0536,"omsijdor legat med henne i lönskelägor i twå åhr, in intet aflat med henne något barn, beder at han måt tillhållas att fullborda sin Låfwan, effter han intet an- weth med henne än ära och gådt. Swaranden"
10,Kexholm,0592_0594,"tta blef alt påbudit widh 40 mk:r wijte. Wijdare blef Borgerskapet förmanat att bruka den richt och mått som wanligit warit, der någon öfwer¬ trädes att bruka medh Bessman Tunna eller känna måhl något det"
11,Kexholm,0592_0594,"nna eller stap, den skall sökia der om Rådman Hindrich Michel sson, hwilken förordnat ähr wicht och mått här i Staden att justera och rätta. Alt enödigt inhyses folck förmantes Borgerskapet ifrån sigh ska"
12,Kexholm,0594_0596,"lighandell, så att der nog pröfwes kunna för samma  19 Arrende wara responsabel der Pirhoin i någon måt- ko skulle komma till kårta, altså blef detta effter begäran Pirhoin till et bewijs medhdeelt och E"
13,Kexholm,0607_0609," mz Nilsmanß... 19 Nils Dominer emot Cosma...... 39 p  Påbidh om Karkosten om brandwacht, Wicht och Mått, löst folk: 14: 1 Ransakninge om Johan Chiers försåldskompt till  20 Henrich Michelss och Anders Pi"
14,Kexholm,0670_0673,"a, huilket som han dhet ey præstera kan helst alt bem:te Redskap hörde helfften Auken till och i så mått opå sin egendomb ey kan beskyllas att hafwa begått någon tiufnadh deß föruthan haar Johan Re der fu"
15,Kexholm,0786_0789,"ll i lagen åsatte böter frij doch till föllie af Kongl: Maij:tz Uthgången förordningh och Placat om mått och Wicht 6. Wicht, af den 10. Martij 1665. fälles han till arbitralte Straff att erläggia till Kex"
