,parent,file,context
0,Kexholm,0223_0225,"ran Eskillßon sig hafwa warit med Hinrich Wildeman till Räwel och sedt att Hinrich hade köpt 20 små Rullar Tobak och der på wägen försåldt hwarest han hafr kommit tillwäga, och tagit 2 Dr för Skålpundet, h"
1,Kexholm,0249_0251," Grels hade försåldt 3 st: hästar till en tysk köpman och tagit i betallning 7 ℔ 9 mk:r Tobak i små Rullan hwilket tobak der hafwa sådane hijt innat Kexholm bracht, och satt dett uthi Pyhäjärfwi Sochn qwar"
2,Kexholm,0278_0280," Borgare Råman Etoloff inlade uthi Rätten om Supplic och förklar ning skrifft huruledes han hade 22 Rullar gonskt Tobak, och 3 rullar stockke godh, ifrån lonitz med sig hijt bracht, uthi dem meenin en att "
3,Kexholm,0278_0280,"de uthi Rätten om Supplic och förklar ning skrifft huruledes han hade 22 Rullar gonskt Tobak, och 3 rullar stockke godh, ifrån lonitz med sig hijt bracht, uthi dem meenin en att han sig der med till Nyno m"
4,Kexholm,0282_0284,"yßens Råmans fullmächtige ins von wangelsen, om han wille eller kunde tyga skall att han deras eene rullan bat skall hafwa undandelt till swarade fullmächtigen Hans von Wall- rsen, att han intet kunde hono"
5,Kexholm,0282_0284,thöfwer Krängen olafligit Tobak uthi Kexholms Lähn in redh befunnen är; huilket Tobet bestå uthi 22 Rullar Engelsk godh och 3 rullar stock och /: föregifwandes sig der medh till Nyen att resa sinnat warit 
6,Kexholm,0282_0284,Tobak uthi Kexholms Lähn in redh befunnen är; huilket Tobet bestå uthi 22 Rullar Engelsk godh och 3 rullar stock och /: föregifwandes sig der medh till Nyen att resa sinnat warit :/ Men såsom dett befin- e
7,Kexholm,0284_0286,"ce den öfr. Till Thomason säges tobubet intet warit ehr ähn 21 wille, der uthaf han d Ene och wände rullan, som något lijtet, war i gen uthaf, tagit och deelt der af, uth folket som wore wed honom och opph"
8,Kexholm,0285_0287,", hwilken rulle han och hafwr låtit uthi räkningen inföhra men dett att han d 2 andra och tiuguende rullan som Rysen klagar öfr, skall hafwa undan dåldt? dett säger skall skola all drigh bewijsas, beroopan"
9,Kexholm,0289_0291," dagen der effter hade gådt kändt med handen på sinckarne, och rummit der uthinnan lepat små tobak. rullar, lijka mycket uthi hwar säck; men intet wiste han huru många der kunde ara, eller huru mycket der "
10,Kexholm,0293_0295,"ri Coroloff begiär des att komma till ändskap med Tobaks besök een Eskill Thomasson ohugående dee 2 rullar Tobak, som han säger att besökia skulle af dett confiscerade godhet bortagit besökiaren tillståår "
11,Kexholm,0293_0295,"hade ti till något wittne eller skiäl R Neij om han hade något wittne der till i deet hade warit 22 rullar i alles? att han hade ingen annan ähn sin gen broder som sådant hade sagt, enä en Ondri icke war s"
12,Kexholm,0293_0295,"go uthi Humpnen och Arresterade för Ryßen Råman Groloff, hwar uthi Tobaket slågh befans icke fleere rullar ähn som 20 h En rullbotn, hwar oppå kunde wara an= gefähr 2 mk:r tobak. denne saken blef öpp skli "
