,parent,file,context
0,Kexholm,0070_0072,"för wedh 3 D. 4. öre ½ Lld: Smör 2 D. Miölk 3 D. 4 öre, Ohl 3 D:r 12 öhre Kiöt 1 D. 8 öhre, och för Toback 1 D.8 öhr Sentens Emedhan hustrun, Margareta Erichsdotter præsen- terade sigh wilia gå Eedh at hon "
1,Kexholm,0073_0075,"kaßon, Hu så såsom han för 3 daagher tillförene, af Claus Brokens Tienare Hindrich Köningk 2 me tt: Toback kiöpt hafwer, och när han ähr hemkomen det upwägandhes, har han icke mehr een den ti bekommit, och "
2,Kexholm,0073_0075,"ti bekommit, och som Mickitta Le- woskaßon icke hafuer så snart kommit tillwäge Penninger at betala Tobakat, ähr denne Henrich köningh till honom kommen ohöflige ordh, och snart uthi hans eget huuß welat h"
3,Kexholm,0073_0075," öfwerfalla; Här på af Rätten till,, frågat, Hindrich Köningh Swaradhe : att han hafwer Såldh honom Tobaket, och Mickita hadhe lofwat honom luter A: M:tt, men nu icke annat een Ryske Penningar Wesa gifwa, "
4,Kexholm,0073_0075,"er till Borgmestaren gå och beswära. Een liten Stundh där effter, hafwer Mickitta præsenterat honom Tobaket igen: Men efter han där af något at Poikarne spenderat hafwer, förwägra de sigh Köningh at kunne "
5,Kexholm,0073_0075,"en: Men efter han där af något at Poikarne spenderat hafwer, förwägra de sigh Köningh at kunne tage Tobakat igen emoot wijdare beswäradhe sigh Mickitta, Rous hafwer taget hans Missa af hufwudtedh och Capat"
6,Kexholm,0074_0076,"rckpundh för såldh hafwer, Tij straffes Rönningk till 40 m:r Sölfwer M:tt sampt förlohra de 2. mark Toback; Men han effter det honom sådant obe kanst, Wahr och förste gången, bleefwe för denn gången därmedh"
7,Kexholm,0090_0092," warit, uthi Contant Penningar 15 D 1 Then talrick, gammalt Sölfer till 6 sknd wahrde och twå alnar Tobak :/ skole uthaff ehußer- dhe i Kurkola Johan Kello bortstulit Bondhen Johan Kello war tillstedes och"
8,Kexholm,0091_0093," D. K.M:tt sampt gammalt Sölfl:e och then tali uthi legat, och nu allenast 4 D. K.M. och twå allnar Toback bort blefwit. Tillspordhes Kähranden om han några wittne hadhe, som Simon Walckoins berättelsse åhö"
9,Kexholm,0097_0099,"tta fallet wärkställigt giöras; För den- tillspordes Borgerschapet om nogon aff dem wore wara samma Tobakz handel uthaff bemelte inspector att emot taga, der till dhe swarade, nu icke giöra kunde, uthan fö"
10,Kexholm,0097_0099,"ga, der till dhe swarade, nu icke giöra kunde, uthan föröstskeedades att den som något qvantitet af Tobak hoos sigh hafwer skulle sådant wijd klockan 2 affter middagen här på Rådstugun op bringa och medh b"
11,Kexholm,0100_0102,"Rådhstugu dören bleff ahn slagit uthan och igenom Trumbslagh publicerat. Sammaledes publicerades om Tobakz olaglige Handels af skaffande, wijd böter till giörandes. Postmästaren Wäll:tt Zachim Freße oppå s"
12,Kexholm,0138_0140,"e Hr Mårten Crispinum skielt för en skielm för 8 dagar sät- Swaranden Ryssen säger sigh intet hafwa tobak om Inspectoren, mycket mindre honom på något sätt skiält Inspectoren framhade Rectorem Scholæ Hr Må"
13,Kexholm,0138_0140," sitt godz? då haf:r Ryßen swarat, att dhen Sahl icke hunden hafwer ta- git ifrån migh Plåtarne och tobaket. Dito framhafdes Skräddaren Anders Matzon Rygg, hwilken då tillstädes hoos H.r Mårten. Rectorem w"
14,Kexholm,0186_0188,"riel H: S. och Rådhmannen, Erich Simonßon Jacob Grelson, Matz Jatin Act: 1 N:r 5 Framkom för rätten Tobakz Compagnie Fullmächtige h:r Zacharias Werman gif- randes tillkenna huruledes Borgaren ifrån Sordawa"
15,Kexholm,0187_0189,"en Erich Simonsson, Jacob Grelson, Matz Jatinen N:o 6 Dito Publicerades Kongl: May:tt Placat angåen Tobaken handelen, och deß hemlige införandes: och förparterandes förbudh; och hwilken som der emot finnes"
16,Kexholm,0188_0190,"rias Wärman beswärandes sig öfte Oluf Johanson Lijsa på att han emot Kongl:ne Placat hafwr försåldt Tobak, ehuru wäl sådant förbudh publicerat wore framteendes der uppå Prob af 6:te K: bak han försåldt haf"
17,Kexholm,0188_0190,"i gåår haf:r Trobat försåldt. Swaranden Oluf lijhapä, säger sig hooß Com¬ pagnie fullmächtige hafwa Tobaket präsen terat, men b:te fullmächtige sådant sagt manen Odugeligit, williandes det intet emot taga."
18,Kexholm,0188_0190,"t intet emot taga. Sententia Emädan såsom Oluf Johansson lijhapä befinne wara beslagen, med oloflig Tobakz handel emot Kongl:te Placatz förbodh, eij eller haf:r framtedt det hooss sig warande boobak för Bo"
19,Kexholm,0192_0194,"iordes, hafr han köpt af Rundens bonde för 26 dennigar, på Sikonen wägen 4 eller 5 weckor för Juul. Tobaket hafr han köpt uthi Narfwen, och Johan Daniel Pepelman, hwilket Soldaten Salme Jöran hafr bekändt "
20,Kexholm,0192_0194,"lket Junkuren, skulle hafwa bekändt för Zackaria werman. Häs uppå blef inkallat fullmächtigen öfwer Tobak handelen Zacharias werman, hwilken uthi ochstadh bekände sig hafua hördt i dag, när han war på Slåt"
21,Kexholm,0194_0196,"r der till Deputerade af Wällb:ne Hr Landzhöfdingen, dhedde :/ framhafwes ähr han der uth innan för Tobaket och öhlet som som han wårdzlöst här hemma i Kexholm handterat hafr, är till dömbder att betala. D"
22,Kexholm,0197_0199,"on Kärandes till Borgaren Simon Brusisen, att han hade tagit af honom för 3 åhr sädan att halff St: Tobak och hwartmark pundh á 2 Dr ko belööpandes tillsamman 20 Dr.mt Lofwandes honom för det hon i 6 wecko"
