,parent,file,context
0,Kexholm,0643_0646,"lias Lijnwäfwarens Enckia gårdh, huar effter Casanen sedan skickat hans kläder föruthan byxerne aff Wallmar hwilcka han för 1 D. 24 öre Kmtt han henne ähn skyldigh behållit i Pant och ännu hoos sigh hafwer. "
1,Kexholm,0662_0665,tz Cosma Dommas att betahla till Mattz Ifwonen i Kaukola 4 Dr 16 öre Km:tt huilcka han för tillsagd wallmar ifrå Nyen häremot tagit och wallmaret ey bonden lefwererat och så frampt han eij kan förskaffa inna
2,Kexholm,0662_0665,tz Ifwonen i Kaukola 4 Dr 16 öre Km:tt huilcka han för tillsagd wallmar ifrå Nyen häremot tagit och wallmaret ey bonden lefwererat och så frampt han eij kan förskaffa innan 8 wekor Wallmaret igen skall han b
3,Kexholm,0662_0665, häremot tagit och wallmaret ey bonden lefwererat och så frampt han eij kan förskaffa innan 8 wekor Wallmaret igen skall han betahla der jempte wallmaretz wärdhe Nembl. 4: 24: Km:tt. Lars Nysanen Dömmas att 
4,Kexholm,0662_0665,rerat och så frampt han eij kan förskaffa innan 8 wekor Wallmaret igen skall han betahla der jempte wallmaretz wärdhe Nembl. 4: 24: Km:tt. Lars Nysanen Dömmas att betahla till Erich Casalain sielfständig- gä
5,Sordavala/s1,0046_0046,"t, och Taskin säger sigh de medh wellat honom till Rätta twinga, att giöra berättelse huru hon dhen wallmars kafftan  fådt, som Tasckin på hans Lijf igen kände (honom) sigh tillhörigh wara och förleden wintr"
6,Sordavala/s1,0114_0115,"kie sedan sin Man. Den gambla qwinfolkz Kiortell eller blå Susuna her kallas, sampt gamble Manfolkz Wallmars Kafftan som, Peter Radikain i Sallmis pågost och Mansin- sari by, redan för 6 åhr sedan då han här"
7,Sordavala/s1,0130_0131," lefuer tu, dhen slagne intet suarat, dher på dhe honom framför bordet i Stufwon nedh lagdt, och En wallmars Kafftan eller jacka under hufwudet, då Sijlfwoin än säger sigh förmärkt honom lijf hafft, dett han"
8,Sordavala/s1,0182_0183,"r ihoop 1 ½ D:r, Een Järn Eldh Krook 1 ½ D:r, En lith gammall Klädz Jacka ähr sålder för 6 D:r, Een Wallmars gammal Kafftan 2 ¼ D:r, Een gammall Pelss 9 D:r, Een odugelig filthatt 1 D:r, Ett Stödie- sampt Pl"
9,Sordavala/s1,0360-83,"Men sedermehr een Inhysare här i Stadhen Johan Staffan- / 33 son caverat Bon, har han gifwit bem:te Wallmar tillbakas  igen, hwarföre han begiäras at förhielpas till sin betahl- ningh af Johan Staffansson; O"
10,Sordavala/s1,0360-83,"intras, då han i  Skogen warit och arbetat, skickat medh Rådman Jöran Wallio  heem till Stadhen sin Wallmars Jacka den han säger sigh  intet kunna igenfå; Wallius berättar Jackan blifwit  bårtstulen i hans S"
11,Sordavala/s1,0360-83,"lståndh  förekom klagandes på Borgaren Påhl Mietoinen för  det han skall haf:a uthaf henne 11 ½ aln Wallmar, det  hon för een tijdh sedhan till honom pantsatt för någre  tagne wahror, menandes dhe alredo war"
12,Sordavala/s1,0360-83,"åligger honom Mietoinen att igenfå dhem  Nembl: Laman el:r des hustro dheras till honom pant- satte Wallmar 11 ½ aln, eller medh dheras minne  försällia och dhe öfre Penningarne Bonden tillställa  eftter det"
13,Sordavala/s1,0394_0394,endersson waris käran till Henrich Hirfwoin om någon resterande fracht Läman fordrar sitt pantsätte wallmar igen af Borgaren Påhl Mietoinen _ _ _ / 63. kiaises klagan på Påhl Käkärein angående Gårdz kiööp 78
