,parent,file,context
0,Kexholm,0096_0098," kut höffwerin, och låta honom Lagtijen examinera, Qura och på heradh fätt ulnmin sulit höfwerin är seglat ifrån Sordawalla 156 medh sin Lodig och huru han ifrån sitt godh skuta och Egendomb af kam gen är "
1,Kexholm,0817_0820,"en begärte att winna burskap pröfwades wara der till wärdigh emedan han för båtz man till Stockholm seglat och elliest befo¬ nes af den förmögenheet att han effter sin Wällkor kan stadzens rätt oppehålla, "
2,Sordavala/s1,0013_0013,"ij längre säger sigh förenas kunna, om dhen lå dia dhe tillsammans bygdt och nu medh till Stockholm seglat, Eme- dhan Taskin honom och hans folk skall under wägen medh olid- lige ordh öfwerfallit, begiäran"
3,Sordavala/s1,0013_0013," sadhe att Klimpo lådian förderfwat, då han denne höst wedh hemkompsten här under Stadhen uthi isen seglat,  Eliest wille Tasken honom uthlöösa, ty slöötz till effter fölliandh Sentens. Rätten ehrkänner at"
4,Sordavala/s1,0111_0112,"båtzmäns förtärningh till dett andra bewijsar han Staffan inge tankar hafft låtha lådian den Sommar Segla och för än han legat blifwit, det Rådmännen Mutka och jemwäl Warroin seija sigh af Staffan hördt, u"
5,Sordavala/s1,0177_0178,"ar, Nembl:n således att lådia Redarena, första öppen wattn och då andre fahrkåster ifrån Strande af segla, skohla desse deras lådia färdig hafwa med alt till betarfwelig och god Redskap, sampt 4 Båtzmän, j"
6,Sordavala/s1,0360-83,"l alredo woro afreeste, Medh den lådian då Mutka sedhan han inlastat sin  egen Tiära 150 T:r ändoch säglat till den Bonden i Villa- laby och Keselax Sochn Mattz Kätulain ben:h, af hwilcken  han uppå samma "
7,Sordavala/s1,0360-83,"n,  i det Mutka dröigtz länge bårta öfwer accordet, frach- tat i medler tijdh sigh een annan lådia, säglandes Mutka  lijkwähl där ifrån medh sin här inlagde tiära till Nyen.  Jurwaiset påstå icke allenast "
8,Sordavala/s3,0004_0005,"om qwellen, och då alredo heelmörckt warit,  kommit under Walamo hollman, hwar af dhe icke sedt att segla  i hamnen, uthan måst kasta Anckar för öpna Siön, så att  Anckar Tåget, af då opwexande stoor Storm"
9,Nyen/RO_1684-1687,0047_0047,"tens Högwälborne detto Wellingh Sluta warit Skeppare, hwar till dhe besannade at han i förledit åhr seglat på högwälb:te Herres Sluta för en Skeppare. 2. Kombem:t witnen icke för Botzman på samma Skutawart"
10,Nyen/RO_1684-1687,0048_0048,ankar i hange udd för det han för afftonens steenheet icke kunde begifwa sigh wijdare der ifrån att segla emedan klåckan kunde wara fyra när dhe kommo till Hangöön och wädret war stillat att dhe omöjellige
11,Nyen/RO_1684-1687,0048_0048,"des alldeles där till 10 kom de icke kunnat undwijka Skadan om dhen dagen tillförene som det skedde seglat hade, Swarades ingalunda sådant kunna in- tyga. Detta sålunda Passerat wara Attesterar. A:o 1624 d"
12,Nyen/RO_1684-1687,0110_0110,"n sigh beklagar huru såßom Rådhman Johan Beckman förhållit honom sin löön för det han på hans skuta seglat hafwer, så blef resolverat af Rätten att så frampt Rådhman icke skulle ställa honom tilfredz och b"
13,Nyen/RO_1684-1687,0133_0133,"14. Caution för sig, ty emedhan Skeppen nu begynna at segla, kunde han lätteligen draga sig undan; Förbehållandes sig at få satisfaction för sina Exnen ler, so"
14,Nyen/RO_1692,0060_0060,"yr¬ man ledt dem wid armen utur Skippet, seijandes sig wara både Styrman och Låtzman, och sedan han seglat 1/4 myl närmare hyst, kastade han där ankär¬ och Karlast in utj fahrwatnet. Skipparen be¬ tygade, "
15,Nyen/RO_1692,0060_0060,"thkastat Karlast för än an¬ karen war uthbracht på det stället, som Styrman¬ nen, hwilken tilförene seglat på denne orten, sagt, där pläga Karlast uthskiutes; Styrmannen tilstår sig esomåfftat hijt seglat,"
16,Nyen/RO_1692,0060_0060,"e seglat på denne orten, sagt, där pläga Karlast uthskiutes; Styrmannen tilstår sig esomåfftat hijt seglat, och än förledit åhr, då han warit på Petter SifwerdtzSkipp, på samma ställen kastat des Karlast, "
17,Nyen/RO_1692,0060_0060,"klaringh i detta måhl Eriksättiaren Henrich Matzson intygade, sig wa¬ rit på Wolke Dores Skipp, som seglade om tijssda¬ gen åth Norra sijdan, då han fick see att Skippare Dove hade kastat sitt ankar mitt i"
18,Nyen/RO_1692,0061_0061,"tet wetat, hwarest han skulle barlast kasta, uthan trädde den Styrman, som tilförene på denne orten seglat hade. Låtzman Christer Riddare och Henrich Riddore, berät¬ tade wijdare, att Skippet hade legat på"
19,Nyen/RO_1697,0150_0151,"ck som kiedt ungefehr den tijden afr sagde Skuta med Cronones Spanmåhl här ifrån till Narven skulle segla, skall icke allenast Skiep paren Johan Larson här i Åmunnen 3 T:r, uthan och folcket någon Rågh swa"
