,parent,file,context
0,Kexholm,0105_0107,"inen Framsteegh Casper Martin åkärandes, uppå sin husskan= des wägnar P:r Evert Husks ifrån Nyen på Skepparen Jöran Nielson Heike om the skutelagor som be:te Evert Falck depparen gifwa skulle, men Emedom ofwa"
1,Kexholm,0106_0108," hafwr icke på något sätt förhindrat be:te Casper Mårten, medh skutan att fortsegla, uthan att han, skepparen, hafwer och honom uppehållin blifwin hwar uppå han till witne hade Een båd man, hwilken berättade "
2,Kexholm,0114_0116,"rik Simonßon Michel düster Matz Jotinen Breenelss Jacobsson företredde Casper Martin, framhafwandes Skepparen Jöran Nilßon Heiko om dhen för- hålldne röngens igenlefwererande; men eme den som Jöranhaiko säger"
3,Kexholm,0204_0206,"t inbehållit hade ut ex- actis 663 2 octob: 16 dito, och d 18 Novemb: ejusdem Anni. berättandes att skepparen der till wore orsak, att ehutan bleff beliggiandes och icke fort, skyndades, begärandes 6:o 50 Dr "
4,Kexholm,0204_0206,"er der wijd hafwa kunna ope gångit uppgångit, måtte restituerat och refunde= rat blifwa. Swaranden, Skepparen Jöran Nilson hade Inbade uthi Rätten ett oakt, uthur Protocollet gifwit A.o 1664 d 4 Aprilis, hwar"
5,Kexholm,0396_0398,"att han skulle sachta hans saker som på Skutan wore R neij. Staphan säger att han hade betingat med Skepparen som war Hinrich Pirhoin, att hans Båtzmen skulle hålla wachte öfwer der sa- lerne som på Skutan wo"
6,Kexholm,0437_0439,"st sökte på honom om han hade wittne derpå att den förste Plåten bortkom. R. intet wiste han, uthan Skepparen taphan sökte på dem, derföre söke der på Eskill gen. Qr om han kan giöra sin Edt opå, att Plåter ä"
7,Kexholm,0438_0440,"nsson framkom, och tillspordes, om han kunde bewijsa, att den första Plåten bortkom? R: att dett må Skepparen weeta, hon weet de sin 9dh hwilken som gaf dem dett Rådet, att der skulle läggia Pluten på wacht, "
8,Kexholm,0438_0440," dett Rådet, att der skulle läggia Pluten på wacht, som skulle wachta effter Den första Plåtar? R.r Skepparen; 9: Om han kunde befrija sig och der Andre, att dee icke hade practicerat Plåtein uthi Eskils kist"
9,Kexholm,0438_0440,"åtein uthi Eskils kista R. för sig kan hon swärja men intet för der andre. J:r om han kunde befrija Skepparen och der andre Att der icke hafwa giordt Staphan detta af haat R. för sig sielf kan han swärja, men"
10,Kexholm,0438_0440,"an hade stulit Plåten? R han kunde honom intet tillbiuda nen den märkte Plåten funno der hoos honom Skepparen Staphan Sigfredson tillspordes huru han wille bewijsa, att dett kom någon Plut hort för honom. R. "
11,Kexholm,0645_0648,"s uthslagh emellan Handelsm:n Wal¬ Wictor Gröön Kärandhe och deße effterskrefne aff han Skuutfålck. Skepparen Erich Hansson Willand, Eskill Tukia, Henrich Larsson, Larss Kåsåin och Jöran¬ Michellßon Swarandhe"
12,Sordavala/s1,0078_0079,"t uthi  Sölfwerpeningar. Hwaroppå skall uthi senaste Häredz Tingh wara Resolverat, det Nuppoin medh skepparens (på hwilkens Lådia, dese bägge medh Michel Pöllönen från Ångamo by warit) laga Attestatum skolle "
13,Sordavala/s1,0078_0079,"n Ångamo by warit) laga Attestatum skolle sigh denne beskyl- net frångåå, Hwarföre badh Nuppoin det skepparen Anders Kobbra kundhe afhördt blifwa. Hwilken Kobbra (sedan honom ansadt bleff först sin Edh aflägg"
14,Sordavala/s1,0078_0079,"n och gifwen Edh Effter Lagh hålles så godh som gången, säger 29 Cap. Rådstu Balken. Bekändhe altså skepparen Anders Kobbra, att dese 2:ne böndher medh Nuppoin och  2:ne ifrån hans huus, warit på hans lådia t"
15,Sordavala/s1,0134_0135,"rige 2ne Tunnor till Afwinen, och sökie sit igien af fålket dhen gångh medh på lådian warit, Emedan skepparen som annors Godz Emodt tager, och weth huru mycket huar och en inlastar, böhr swa- ra och fulth ska"
16,Sordavala/s1,0311_0312,"h wäll hördt desses roop, men intet wetat hwadh sådandt betyder derföre weta dhe inthet wittna, Men skeparen Bruun Olofson som medh på lådian war bekänder alt som dhe 3 förrige, dåch som han medh Hinrich Tas"
17,Sordavala/s1,0423_0423,"a warande lådie folck, som med honom Stockholm samma gången warit och om alt dätta wähl bekant, sin Skeppare Anders Imoin och Bor- garen Matz Jufwoin, een Ålderstigen karl, hwilcka begge medh een Mun bekände "
18,Sordavala/s1,0423_0423,"stigen karl, hwilcka begge medh een Mun bekände 1:o att Brun icke med sin egen hand tagit Seglen af Skepparen Pullis Skuta uthan dhe 51. uthan dhe blifwit honom gifne af dhe ifrån Slåttet uthsändne executions"
19,Sordavala/s1,0423_0423," uti hans föllie warit, för skaffa. Här uthaf dy alt Brun menar slutas, att han hafft tillgiöra med Skepparen och Styrman Philip Pulli, som honom såledz bedragit och icke alle- nast hans eget lijff, egendomb "
20,Sordavala/s1,0462_0462," Lödjöinen, lijkmä- tigt det 20 Cap: 2 § i Byg: B: Stl:n och sökia Pampu sine inter- essanter eller Skepparen som lådian ägdt, igen, det bästa han kan och gitter. Stadzens Innwånaren Lars Putkoin föregaf sigh"
21,Sordavala/s1,0489_0489,"lckoin. Borgaren Lars Taskin förekom medh berättande, det i  förledne åhr uhr lådian, där han warit skeppare uppå,  blifwit här wedh Stadzstranden, då inlastningen höstetij- den skedt, bårtstulen 1 t:a Smör a"
22,Sordavala/s2,0005_0006,"hrkändes Petter Langinen ifrån Thomas  Immoises käran frij och otilltahlt; Och sökie Immoin här  om Skepparen eller dhe andre interessanter som dheras  Tiära uppå lädian hafft, dett bästa han kan och gitter. "
23,Sordavala/s3,0031_0032,"ers Rautia för den förkomne  Cronones Spanmåhl ifrån Kiexholm till Nyen fort  helst han skall warit Skeppare uppå lådian och tagit be- talningen för omaket uthi inskepningen, emedan han  den Spanmåhlen uptekn"
24,Nyen/RO_1684-1687,0004_0004,"paren Fredh, slåendhes honom några gånger, hafwer Swarandhen tagit honom i håret och rijfwit honom; Skepparen Sibbi Intges beswärar sig desslijkeß öfwer de injurier och Skiälssordh, som Swarandhen hafwer hono"
25,Nyen/RO_1684-1687,0022_0022,"anden framställte till wittne S:r Jacob Böis- man och S:r Christoffer Forsman, hwilke bekiändhe, at Skepparen har tagit kiärandhen i hår, kastat honom neder och slagit honom, at han något litet i ansichte ble"
26,Nyen/RO_1684-1687,0022_0022,"et i ansichte blef blodeger, då Bösman hadhe gådt emil- lan och dhem skildt åth;  Sententz Ehuruwäl Skepparen Anna Geres berättar sig in- tet hafwa kiändt kiäranden Rättegångz Tiänaren Erich Mårtenson, då han"
27,Nyen/RO_1684-1687,0047_0047,"rogatorier Kom Oloff Mattsson icke på Baron och Öfwer: stens Högwälborne detto Wellingh Sluta warit Skeppare, hwar till dhe besannade at han i förledit åhr seglat på högwälb:te Herres Sluta för en Skeppare. 2"
28,Nyen/RO_1684-1687,0047_0047,"it Skeppare, hwar till dhe besannade at han i förledit åhr seglat på högwälb:te Herres Sluta för en Skeppare. 2. Kombem:t witnen icke för Botzman på samma Skutawart hwar till dhe och samtychte at dhe haf- wa "
29,Nyen/RO_1684-1687,0047_0047,war till dhe och samtychte at dhe haf- wa tiänt i förledne sommar på H. Öfwerstens skuta. 3 Om icke Skepparen Gabriell Olofßon 682 på den reesan ifrån Ståckholm warit på H. Öfwerstens Sku- ta för en Passagera
30,Nyen/RO_1684-1687,0047_0047," wedh hängesku underwatnet, så frampt han för mothwindh skull nödgas der blif- wa liggiandes. 5 Qom Skepparen Olof Matsson uthkastat wedh han- gedd ankar dagen tillförenne som Skutan wart skadd, och afhempta "
31,Nyen/RO_1684-1687,0049_0049,n förslagh och Rächningh Rådhmannen Cratz beropade sigh på H. General In- spectorens breff som hans Skeppare Sigfred Matßon till Tullnaren öfwerlefwererat hafwer förmenan- des at såßom Niels hahl å sitt hersk
32,Nyen/RO_1684-1687,0049_0049,"legij d: 11 Januarij A:o 1681 uthgifne Resolutioners 7 punct och för den skull gifwit memorial till Skepparen Sigfredh Matßon at han skulle inhållastullen af godzet hwilket intet skall wara skiedt, Sigfredh M"
33,Nyen/RO_1684-1687,0062_0062," handfångit som han Inspectoren tillproof gifwit, hwar till han swarade och sadhe sigh det samma af Skepparen Hans Classon kiöpt Men Hans Claßon nekade der till een stendel.n och begärte att honom icke må per"
34,Nyen/RO_1684-1687,0063_0063,"rs dagh förskaffa, Den 12 Martij höltz laga Rådstugu nährwaran de Företog igen den Tobackz saak som Skepparen Hans Claßon och Hans Matsson i från Eestbytwista om, och tillspordes så först om Hans Mattsson sin"
35,Nyen/RO_1684-1687,0068_0068," beswärade sigh öfwer ållderman Petter Gertsson at han icke Clarerat för den Tiära som A:o 682 till Skepparen hadde Heddes försålt ähr, Petter hålt grofwe sade sigh icke wijdare åthniutet ähn sin portion och "
36,Nyen/RO_1684-1687,0105_0105,"a Rådstugudagh när: warande Bårgmästare och Rådh, Rådhman Hindrich Hinderßon framhaffe sin förra ga Skeppare Isack Isackßon anklagade honom det han hafwer förfarit Cronans peningar, hwilka han innehade och öf"
37,Nyen/RO_1684-1687,0105_0105,"m det han hafwer förfarit Cronans peningar, hwilka han innehade och öfwerföra skulle till Stockholm Skepparen swarade det han nödgades grijpa till penin gorne effter som han af redarn inga penningar hade, och"
38,Nyen/RO_1684-1687,0105_0105,"r, Men Rådhman sadhe det han hafwer updruckit dhe penningar som bonden sielff bekänt ifrånkußöö att Skepparen sagdt iagh hafwer 12 st: plåtar mine egne penningar men haf:r bonden wetat det skohle Crono medell"
39,Nyen/RO_1684-1687,0105_0105,"gått behåldh, Rådhman säger att Skep- paren hafwer sagt att hans kista skall wara bårt stuhlen, men Skepparen säger at han sagt att kistan ähr honom bårttagen owitterligh Tillspordes Skepparn om han kunde ska"
40,Nyen/RO_1684-1687,0124_0124,apart: 126. 130. Mag: Magnus Steen fol: 133. Hl. Baron och Öfwersten högwälborne Otto Wellingh moth Skepparen Oloff Mattsson Fol: 34. Pettersteen fol: _ 38. Petter Gertsson emoth Rådhman Beckman fol: 55. 56. 
41,Nyen/RO_1684-1687,0276_0277,"å i Stadz Protocollet blifwa förteknadt och dermedh wederbörligen förfahrit, Samma Rotistation blef Skepparen Matz Potri och S:r Jacob Boisman till dheras effter rättelsse tillsendt och sedan lagdt ad acta: k"
42,Nyen/RO_1684-1687,0336_0337,"280. Rådman trägne anhållande, och emedhan Skieparen nu står på resande foot, blef Skepparen derom tillsport, hwarpå han swarade at sådant som poiken Herman kammer skall hafwa berättadt, om T"
43,Nyen/RO_1684-1687,0420_0421,"lffert då hade fast- slutit hans krambodo der den doch elliest stundeligen plägar öpen wara, 5. att Skepparen Anna Hilken som h:r Wulffert till witnet framstelt intet kan giöra till Saken med sin bekennelse, "
44,Nyen/RO_1692,0057_0057,"th sig til Skep Båss män? R. Dore Jairick, och altså af ingen annan weta i detta måhl hålla för sin Skeppare, än honom allena. Q. om protestanten dem ifrån Holland hyst affärdi och med sin omkåstnad Underhåll"
45,Nyen/RO_1692,0061_0061,"x Sperling inkallades, och honom sådant öf:r tygade, sade Styrman, det sådant wäl kunde wara skedt; Skepparen Dawe ursältade sig, det han såssom en fram¬ mande intet wetat, hwarest han skulle barlast kasta, u"
46,Nyen/RO_1692,0061_0061,"ch Styr¬ man låtz intet dem höra, och först här i Staden på Li¬ cent huuß samma löhn af dem erlagt. Skepparen Boye contesterar med des frijwillige Edh. att bemte Låtzmän honom, oqvitterligen gåt ifrån des Ski"
47,Nyen/RO_1697,0153_0154," uthan och böta halfparten af den betingade hyran för hela resan, Nembl:n 25 D:r K:m:t Reedaren och Skepparen till tweskiptes, och sådant alt lijk- en mötigt det 4. Cap: Skipmanna Balken i Siölagen; hwilket t"
