,parent,file,context
0,Kexholm,0086_0088,"stelte Larss Pyrhonen sin Contra Wittens, Christer Matzson ifrån Pijrhonen nämi, som intyga dhe, at Skutan hadhe warit ferdigh för fiendens infall, der hoos berättadhe han och, sigh hafua af Sahl: Lewoska "
1,Kexholm,0093_0095,"den skull wiste om det förtredt godz eller kiöp warit hadhe i Sadhe och at fadhren Kyrke, men Bodz, Skuta sampt Ståthållaren Robert Gerdne och des egendoms aff Ryssen 656. om Somma wedh Taipala i hender ko"
2,Kexholm,0096_0098,tt ulnmin sulit höfwerin är seglat ifrån Sordawalla 156 medh sin Lodig och huru han ifrån sitt godh skuta och Egendomb af kam gen är hwilken närwarande effter stark adelig för namning att uthsäija sanninge
3,Kexholm,0096_0098,"till, Cnut Höfwarin, fly bort Ryßen kommer af detta ropandet hafwer hon medh Båtzmännen flytt fråsa Skutan tagandes den lille Båten eller Eßbingen och dher medh åth Wyborgh kommit lemnandes altså kutom med"
4,Kexholm,0096_0098,"war, ähr Kiskinen på D. Upest desslijkest inkommen, och uthi mångens närwaru bekiänt, att höfwerins Skuta och godz wore wäll Under hans förwarningh behållen och hade, kutan till några 93"
5,Kexholm,0106_0108,"en föregifwer som tillförende att han hafwr icke på något sätt förhindrat be:te Casper Mårten, medh skutan att fortsegla, uthan att han, skepparen, hafwer och honom uppehållin blifwin hwar uppå han till wi"
6,Kexholm,0107_0109,"hi Kexholm, Cußmo Erich, och Cußmo Heike, hwilke dijt till förbe:te hampn ryska för handewore samma Skuta att ahntasta, sampt sådant landt köp förrkomma witne och betyga, att då in puncto befunnes wara bön"
7,Kexholm,0107_0109,"r schuto fracht; och efr be:te Casper föregifwer scheppa= ren hafwa haft skull til drögmåhlet, medh skutans fortseglande, hwarföre han dem, Epenningare för wäg= ra will; Men ehrparen berättar sigh hafua wa"
8,Kexholm,0123_0125,"n Heiko, att giöra be- skeedh, huruledes han Wällb:ne Hr Landzhöfdingens ahnbetrodde godz, uppå sin skuta handterar och skiött hafwer och skiött hafwer emedan dett mäster deeles förderf- rat är wordet, och"
9,Kexholm,0272_0274,"penskap; att en halfftunna pgr bort kommo här hemma uthi Humpnen; och såsom han grannligen åte uthi Skutan henet h:te pgr skulle hafwa kommit, och kunde dem icke igen fin- na?"
